scene_id,recording_id,trajectory_source_path,trajectory_source_checksum,trajectory_source_size_bytes,trajectory_source_rows,trajectory_source_row_groups,source_recording_file,video_exists,video_size_bytes,video_checksum_policy
bellevue_116th_ne12th,Bellevue_116th_NE12th__2017-09-10_19-08-25,data/interim/bellevue_116th_ne12th/tracks_Bellevue_116th_NE12th__2017-09-10_19-08-25.parquet,b068313f869dc5d2b8e2b963b295a74593b61bb348d9cc1d6c849b6323eb1c7b,44560171,1535207,2,data/raw/bellevue_116th_ne12th/Bellevue_116th_NE12th__2017-09-10_19-08-25.mp4,True,438708285,sha256_on_demand_before_clip_or_frame_use
bellevue_116th_ne12th,Bellevue_116th_NE12th__2017-09-10_20-09-12,data/interim/bellevue_116th_ne12th/tracks_Bellevue_116th_NE12th__2017-09-10_20-09-12.parquet,bd0eca29c673aaa26f1307a0d5e552648ad838e51d238d58240912d393824c9f,11057412,334248,1,data/raw/bellevue_116th_ne12th/Bellevue_116th_NE12th__2017-09-10_20-09-12.mp4,True,340344466,sha256_on_demand_before_clip_or_frame_use
bellevue_116th_ne12th,Bellevue_116th_NE12th__2017-09-10_21-08-54,data/interim/bellevue_116th_ne12th/tracks_Bellevue_116th_NE12th__2017-09-10_21-08-54.parquet,ad024efff91a68a4ef554cfa6a9f07d34a845d242770952037688b6bfa5e6317,20254237,636188,1,data/raw/bellevue_116th_ne12th/Bellevue_116th_NE12th__2017-09-10_21-08-54.mp4,True,693257629,sha256_on_demand_before_clip_or_frame_use
bellevue_116th_ne12th,Bellevue_116th_NE12th__2017-09-10_22-08-50,data/interim/bellevue_116th_ne12th/tracks_Bellevue_116th_NE12th__2017-09-10_22-08-50.parquet,a028f4409d9ccbf84e99b842174cdb2713d4b2169522ac1718dd4320e2344500,3411991,88749,1,data/raw/bellevue_116th_ne12th/Bellevue_116th_NE12th__2017-09-10_22-08-50.mp4,True,94376249,sha256_on_demand_before_clip_or_frame_use
bellevue_116th_ne12th,Bellevue_116th_NE12th__2017-09-10_23-08-29,data/interim/bellevue_116th_ne12th/tracks_Bellevue_116th_NE12th__2017-09-10_23-08-29.parquet,31046a227dc21d93d0d18b6bf3310b914743b8f9bd6b32b0acce705bc0a42f3a,20735095,652176,1,data/raw/bellevue_116th_ne12th/Bellevue_116th_NE12th__2017-09-10_23-08-29.mp4,True,708631365,sha256_on_demand_before_clip_or_frame_use
bellevue_116th_ne12th,Bellevue_116th_NE12th__2017-09-11_00-08-29,data/interim/bellevue_116th_ne12th/tracks_Bellevue_116th_NE12th__2017-09-11_00-08-29.parquet,500469495ba5fcd1a3a20a03d89707045e0ea04d0bd2d22ea56bba1004bef881,14572568,448236,1,data/raw/bellevue_116th_ne12th/Bellevue_116th_NE12th__2017-09-11_00-08-29.mp4,True,477705592,sha256_on_demand_before_clip_or_frame_use
bellevue_116th_ne12th,Bellevue_116th_NE12th__2017-09-11_01-08-29,data/interim/bellevue_116th_ne12th/tracks_Bellevue_116th_NE12th__2017-09-11_01-08-29.parquet,98dee9b6c58875db2988b453d0d8ea7764549ac1917a4f31d44f7b34fe7d6701,18262116,570044,1,data/raw/bellevue_116th_ne12th/Bellevue_116th_NE12th__2017-09-11_01-08-29.mp4,True,594203496,sha256_on_demand_before_clip_or_frame_use
bellevue_116th_ne12th,Bellevue_116th_NE12th__2017-09-11_02-08-32,data/interim/bellevue_116th_ne12th/tracks_Bellevue_116th_NE12th__2017-09-11_02-08-32.parquet,710673b84aaa8f1af4d66fd40e10a1a1a19e5b902b6a83e64fe10a7c051c01c9,19410341,609381,1,data/raw/bellevue_116th_ne12th/Bellevue_116th_NE12th__2017-09-11_02-08-32.mp4,True,662371618,sha256_on_demand_before_clip_or_frame_use
bellevue_116th_ne12th,Bellevue_116th_NE12th__2017-09-11_03-08-30,data/interim/bellevue_116th_ne12th/tracks_Bellevue_116th_NE12th__2017-09-11_03-08-30.parquet,bc7bfd0e5d9ee3acfd5e692ed8947ab221424b264b93e07dd47222e7cd1bb028,18814653,589886,1,data/raw/bellevue_116th_ne12th/Bellevue_116th_NE12th__2017-09-11_03-08-30.mp4,True,663376491,sha256_on_demand_before_clip_or_frame_use
bellevue_116th_ne12th,Bellevue_116th_NE12th__2017-09-11_04-08-30,data/interim/bellevue_116th_ne12th/tracks_Bellevue_116th_NE12th__2017-09-11_04-08-30.parquet,5b273d89279518df0c5b45e146bf99f90e8ba636310052acfb3e1a56e9f06fbb,19097559,593563,1,data/raw/bellevue_116th_ne12th/Bellevue_116th_NE12th__2017-09-11_04-08-30.mp4,True,684161572,sha256_on_demand_before_clip_or_frame_use
