scene_id,split,total_trajectories,valid_reference_labels,valid_coverage_percentage,entry_no_polygon_count,exit_no_polygon_count,multiple_polygon_count,illegal_mapping_count,missing_geometry_count,boundary_near_1px_count,boundary_near_3px_count,boundary_near_5px_count,boundary_near_10px_count
bellevue_116th_ne12th,target_estimation,723,657,90.8713692946,2,64,0,0,0,24,49,89,274
bellevue_116th_ne12th,model_selection,634,577,91.0094637224,7,50,0,0,0,14,48,83,253
bellevue_116th_ne12th,independent_test,964,864,89.6265560166,10,91,0,0,0,6,19,61,254
bellevue_116th_ne12th,total,2321,2098,90.3920723826,19,205,0,0,0,44,116,233,781
bellevue_150th_newport,target_estimation,2423,2327,96.0379694593,90,7,0,0,0,39,121,193,374
bellevue_150th_newport,model_selection,3101,2967,95.678813286,124,10,0,0,0,65,219,381,625
bellevue_150th_newport,independent_test,3924,3852,98.1651376147,56,16,0,0,0,35,171,322,751
bellevue_150th_newport,total,9448,9146,96.8035563082,270,33,0,0,0,139,511,896,1750
bellevue_150th_eastgate,target_estimation,8720,8474,97.1788990826,155,95,0,0,0,40,112,216,725
bellevue_150th_eastgate,model_selection,6791,6615,97.4083345604,81,103,0,0,0,25,85,212,761
bellevue_150th_eastgate,independent_test,10755,10586,98.4286378429,108,62,0,0,0,42,197,573,2480
bellevue_150th_eastgate,total,26266,25675,97.749942892,344,260,0,0,0,107,394,1001,3966
bellevue_150th_se38th,target_estimation,2482,2282,91.9419822724,142,58,0,0,0,17,131,399,1037
bellevue_150th_se38th,model_selection,2865,2648,92.4258289703,120,97,0,0,0,9,54,177,802
bellevue_150th_se38th,independent_test,3713,3422,92.162671694,180,112,0,0,0,46,459,1303,2184
bellevue_150th_se38th,total,9060,8352,92.1854304636,442,267,0,0,0,72,644,1879,4023
bellevue_ne8th,target_estimation,5576,4553,81.6535150646,77,979,0,0,0,226,929,1631,3005
bellevue_ne8th,model_selection,6321,5854,92.6119284923,86,392,0,0,0,323,1320,1962,3156
bellevue_ne8th,independent_test,8037,7510,93.4428269255,56,477,0,0,0,437,1751,2594,3955
bellevue_ne8th,total,19934,17917,89.8816093107,219,1848,0,0,0,986,4000,6187,10116
