scene_id,split,exclusion_reason,count
bellevue_116th_ne12th,target_estimation,valid,657
bellevue_116th_ne12th,target_estimation,exit_no_polygon,64
bellevue_116th_ne12th,target_estimation,entry_no_polygon,2
bellevue_116th_ne12th,model_selection,valid,577
bellevue_116th_ne12th,model_selection,exit_no_polygon,50
bellevue_116th_ne12th,model_selection,entry_no_polygon,7
bellevue_116th_ne12th,independent_test,valid,864
bellevue_116th_ne12th,independent_test,exit_no_polygon,90
bellevue_116th_ne12th,independent_test,entry_no_polygon,10
bellevue_150th_newport,target_estimation,valid,2327
bellevue_150th_newport,target_estimation,entry_no_polygon,90
bellevue_150th_newport,target_estimation,exit_no_polygon,6
bellevue_150th_newport,model_selection,valid,2967
bellevue_150th_newport,model_selection,entry_no_polygon,124
bellevue_150th_newport,model_selection,exit_no_polygon,10
bellevue_150th_newport,independent_test,valid,3852
bellevue_150th_newport,independent_test,entry_no_polygon,56
bellevue_150th_newport,independent_test,exit_no_polygon,16
bellevue_150th_eastgate,target_estimation,valid,8474
bellevue_150th_eastgate,target_estimation,exit_no_polygon,91
bellevue_150th_eastgate,target_estimation,entry_no_polygon,155
bellevue_150th_eastgate,model_selection,valid,6615
bellevue_150th_eastgate,model_selection,exit_no_polygon,95
bellevue_150th_eastgate,model_selection,entry_no_polygon,81
bellevue_150th_eastgate,independent_test,valid,10586
bellevue_150th_eastgate,independent_test,exit_no_polygon,61
bellevue_150th_eastgate,independent_test,entry_no_polygon,108
bellevue_150th_se38th,target_estimation,valid,2282
bellevue_150th_se38th,target_estimation,entry_no_polygon,142
bellevue_150th_se38th,target_estimation,exit_no_polygon,58
bellevue_150th_se38th,model_selection,valid,2648
bellevue_150th_se38th,model_selection,exit_no_polygon,97
bellevue_150th_se38th,model_selection,entry_no_polygon,120
bellevue_150th_se38th,independent_test,valid,3422
bellevue_150th_se38th,independent_test,exit_no_polygon,111
bellevue_150th_se38th,independent_test,entry_no_polygon,180
bellevue_ne8th,target_estimation,valid,4553
bellevue_ne8th,target_estimation,exit_no_polygon,946
bellevue_ne8th,target_estimation,entry_no_polygon,77
bellevue_ne8th,model_selection,valid,5854
bellevue_ne8th,model_selection,exit_no_polygon,381
bellevue_ne8th,model_selection,entry_no_polygon,86
bellevue_ne8th,independent_test,valid,7510
bellevue_ne8th,independent_test,exit_no_polygon,471
bellevue_ne8th,independent_test,entry_no_polygon,56
