scene_id,entry_polygon_id,exit_polygon_id,movement_id,maneuver_type,legally_permitted,protocol_version
bellevue_116th_ne12th,A,F,bellevue_116th_ne12th:A>F,right,True,future-transportation-polygon-reference-v1
bellevue_116th_ne12th,A,G,bellevue_116th_ne12th:A>G,straight,True,future-transportation-polygon-reference-v1
bellevue_116th_ne12th,A,H,bellevue_116th_ne12th:A>H,left,True,future-transportation-polygon-reference-v1
bellevue_116th_ne12th,B,G,bellevue_116th_ne12th:B>G,right,True,future-transportation-polygon-reference-v1
bellevue_116th_ne12th,B,H,bellevue_116th_ne12th:B>H,straight,True,future-transportation-polygon-reference-v1
bellevue_116th_ne12th,B,E,bellevue_116th_ne12th:B>E,left,True,future-transportation-polygon-reference-v1
bellevue_116th_ne12th,C,H,bellevue_116th_ne12th:C>H,right,True,future-transportation-polygon-reference-v1
bellevue_116th_ne12th,C,E,bellevue_116th_ne12th:C>E,straight,True,future-transportation-polygon-reference-v1
bellevue_116th_ne12th,C,F,bellevue_116th_ne12th:C>F,left,True,future-transportation-polygon-reference-v1
bellevue_116th_ne12th,D,E,bellevue_116th_ne12th:D>E,right,True,future-transportation-polygon-reference-v1
bellevue_116th_ne12th,D,F,bellevue_116th_ne12th:D>F,straight,True,future-transportation-polygon-reference-v1
bellevue_116th_ne12th,D,G,bellevue_116th_ne12th:D>G,left,True,future-transportation-polygon-reference-v1
bellevue_150th_newport,A,F,bellevue_150th_newport:A>F,right,True,future-transportation-polygon-reference-v1
bellevue_150th_newport,A,G,bellevue_150th_newport:A>G,straight,True,future-transportation-polygon-reference-v1
bellevue_150th_newport,A,H,bellevue_150th_newport:A>H,left,True,future-transportation-polygon-reference-v1
bellevue_150th_newport,B,G,bellevue_150th_newport:B>G,right,True,future-transportation-polygon-reference-v1
bellevue_150th_newport,B,H,bellevue_150th_newport:B>H,straight,True,future-transportation-polygon-reference-v1
bellevue_150th_newport,B,E,bellevue_150th_newport:B>E,left,True,future-transportation-polygon-reference-v1
bellevue_150th_newport,C,H,bellevue_150th_newport:C>H,right,True,future-transportation-polygon-reference-v1
bellevue_150th_newport,C,E,bellevue_150th_newport:C>E,straight,True,future-transportation-polygon-reference-v1
bellevue_150th_newport,C,F,bellevue_150th_newport:C>F,left,True,future-transportation-polygon-reference-v1
bellevue_150th_newport,D,E,bellevue_150th_newport:D>E,right,True,future-transportation-polygon-reference-v1
bellevue_150th_newport,D,F,bellevue_150th_newport:D>F,straight,True,future-transportation-polygon-reference-v1
bellevue_150th_newport,D,G,bellevue_150th_newport:D>G,left,True,future-transportation-polygon-reference-v1
bellevue_150th_eastgate,A,F,bellevue_150th_eastgate:A>F,right,True,future-transportation-polygon-reference-v1
bellevue_150th_eastgate,A,G,bellevue_150th_eastgate:A>G,straight,True,future-transportation-polygon-reference-v1
bellevue_150th_eastgate,A,H,bellevue_150th_eastgate:A>H,left,True,future-transportation-polygon-reference-v1
bellevue_150th_eastgate,B,G,bellevue_150th_eastgate:B>G,right,True,future-transportation-polygon-reference-v1
bellevue_150th_eastgate,B,H,bellevue_150th_eastgate:B>H,straight,True,future-transportation-polygon-reference-v1
bellevue_150th_eastgate,B,E,bellevue_150th_eastgate:B>E,left,True,future-transportation-polygon-reference-v1
bellevue_150th_eastgate,C,H,bellevue_150th_eastgate:C>H,right,True,future-transportation-polygon-reference-v1
bellevue_150th_eastgate,C,E,bellevue_150th_eastgate:C>E,straight,True,future-transportation-polygon-reference-v1
bellevue_150th_eastgate,C,F,bellevue_150th_eastgate:C>F,left,True,future-transportation-polygon-reference-v1
bellevue_150th_eastgate,D,E,bellevue_150th_eastgate:D>E,right,True,future-transportation-polygon-reference-v1
bellevue_150th_eastgate,D,F,bellevue_150th_eastgate:D>F,straight,True,future-transportation-polygon-reference-v1
bellevue_150th_eastgate,D,G,bellevue_150th_eastgate:D>G,left,True,future-transportation-polygon-reference-v1
bellevue_150th_se38th,A,F,bellevue_150th_se38th:A>F,right,True,future-transportation-polygon-reference-v1
bellevue_150th_se38th,A,G,bellevue_150th_se38th:A>G,straight,True,future-transportation-polygon-reference-v1
bellevue_150th_se38th,A,H,bellevue_150th_se38th:A>H,left,True,future-transportation-polygon-reference-v1
bellevue_150th_se38th,B,G,bellevue_150th_se38th:B>G,right,True,future-transportation-polygon-reference-v1
bellevue_150th_se38th,B,H,bellevue_150th_se38th:B>H,straight,True,future-transportation-polygon-reference-v1
bellevue_150th_se38th,B,E,bellevue_150th_se38th:B>E,left,True,future-transportation-polygon-reference-v1
bellevue_150th_se38th,C,H,bellevue_150th_se38th:C>H,right,True,future-transportation-polygon-reference-v1
bellevue_150th_se38th,C,E,bellevue_150th_se38th:C>E,straight,True,future-transportation-polygon-reference-v1
