scene_id,split,entry_polygon_id,exit_polygon_id,movement_id,maneuver_type,valid_assigned_count,percentage_of_valid_assigned,observed,first_five_evidence_trajectory_ids,recording_coverage_count,recording_coverage_ids,first_start_frame,last_end_frame,protocol_version
bellevue_116th_ne12th,target_estimation,A,F,bellevue_116th_ne12th:A>F,right,4,0.608828006088,True,bellevue_116th_ne12th:124122|bellevue_116th_ne12th:14937|bellevue_116th_ne12th:30333|bellevue_116th_ne12th:4700,2,Bellevue_116th_NE12th__2017-09-10_19-08-25|Bellevue_116th_NE12th__2017-09-10_22-08-50,8423,65014,future-transportation-polygon-reference-v1
bellevue_116th_ne12th,target_estimation,A,G,bellevue_116th_ne12th:A>G,straight,73,11.1111111111,True,bellevue_116th_ne12th:100251|bellevue_116th_ne12th:100739|bellevue_116th_ne12th:10224|bellevue_116th_ne12th:103105|bellevue_116th_ne12th:106507,5,Bellevue_116th_NE12th__2017-09-10_19-08-25|Bellevue_116th_NE12th__2017-09-10_20-09-12|Bellevue_116th_NE12th__2017-09-10_21-08-54|Bellevue_116th_NE12th__2017-09-10_22-08-50|Bellevue_116th_NE12th__2017-09-10_23-08-29,0,103953,future-transportation-polygon-reference-v1
bellevue_116th_ne12th,target_estimation,A,H,bellevue_116th_ne12th:A>H,left,11,1.67427701674,True,bellevue_116th_ne12th:117473|bellevue_116th_ne12th:151179|bellevue_116th_ne12th:15668|bellevue_116th_ne12th:21931|bellevue_116th_ne12th:26755,4,Bellevue_116th_NE12th__2017-09-10_19-08-25|Bellevue_116th_NE12th__2017-09-10_20-09-12|Bellevue_116th_NE12th__2017-09-10_21-08-54|Bellevue_116th_NE12th__2017-09-10_23-08-29,8169,88988,future-transportation-polygon-reference-v1
bellevue_116th_ne12th,target_estimation,B,G,bellevue_116th_ne12th:B>G,right,0,0,False,,0,,,,future-transportation-polygon-reference-v1
bellevue_116th_ne12th,target_estimation,B,H,bellevue_116th_ne12th:B>H,straight,207,31.5068493151,True,bellevue_116th_ne12th:10173|bellevue_116th_ne12th:10232|bellevue_116th_ne12th:10289|bellevue_116th_ne12th:103479|bellevue_116th_ne12th:104130,5,Bellevue_116th_NE12th__2017-09-10_19-08-25|Bellevue_116th_NE12th__2017-09-10_20-09-12|Bellevue_116th_NE12th__2017-09-10_21-08-54|Bellevue_116th_NE12th__2017-09-10_22-08-50|Bellevue_116th_NE12th__2017-09-10_23-08-29,0,106404,future-transportation-polygon-reference-v1
bellevue_116th_ne12th,target_estimation,B,E,bellevue_116th_ne12th:B>E,left,0,0,False,,0,,,,future-transportation-polygon-reference-v1
bellevue_116th_ne12th,target_estimation,C,H,bellevue_116th_ne12th:C>H,right,4,0.608828006088,True,bellevue_116th_ne12th:109585|bellevue_116th_ne12th:18142|bellevue_116th_ne12th:18881|bellevue_116th_ne12th:8049,2,Bellevue_116th_NE12th__2017-09-10_19-08-25|Bellevue_116th_NE12th__2017-09-10_21-08-54,18668,67419,future-transportation-polygon-reference-v1
bellevue_116th_ne12th,target_estimation,C,E,bellevue_116th_ne12th:C>E,straight,66,10.0456621005,True,bellevue_116th_ne12th:100909|bellevue_116th_ne12th:10389|bellevue_116th_ne12th:10414|bellevue_116th_ne12th:104933|bellevue_116th_ne12th:106247,5,Bellevue_116th_NE12th__2017-09-10_19-08-25|Bellevue_116th_NE12th__2017-09-10_20-09-12|Bellevue_116th_NE12th__2017-09-10_21-08-54|Bellevue_116th_NE12th__2017-09-10_22-08-50|Bellevue_116th_NE12th__2017-09-10_23-08-29,981,105940,future-transportation-polygon-reference-v1
bellevue_116th_ne12th,target_estimation,C,F,bellevue_116th_ne12th:C>F,left,0,0,False,,0,,,,future-transportation-polygon-reference-v1
bellevue_116th_ne12th,target_estimation,D,E,bellevue_116th_ne12th:D>E,right,6,0.913242009132,True,bellevue_116th_ne12th:17439|bellevue_116th_ne12th:1806|bellevue_116th_ne12th:34368|bellevue_116th_ne12th:38235|bellevue_116th_ne12th:899,1,Bellevue_116th_NE12th__2017-09-10_19-08-25,3021,81762,future-transportation-polygon-reference-v1
