scene_id,split,recording_id,total_trajectories,valid_reference_labels,first_start_frame,last_end_frame,valid_coverage_percentage
bellevue_116th_ne12th,target_estimation,Bellevue_116th_NE12th__2017-09-10_19-08-25,402,349,0,106404,86.815920398
bellevue_116th_ne12th,target_estimation,Bellevue_116th_NE12th__2017-09-10_20-09-12,101,95,322,43076,94.0594059406
bellevue_116th_ne12th,target_estimation,Bellevue_116th_NE12th__2017-09-10_21-08-54,136,131,0,87300,96.3235294118
bellevue_116th_ne12th,target_estimation,Bellevue_116th_NE12th__2017-09-10_22-08-50,15,15,1167,13015,100
bellevue_116th_ne12th,target_estimation,Bellevue_116th_NE12th__2017-09-10_23-08-29,69,67,1012,102674,97.1014492754
bellevue_116th_ne12th,model_selection,Bellevue_116th_NE12th__2017-09-11_00-08-29,20,19,2164,76347,95
bellevue_116th_ne12th,model_selection,Bellevue_116th_NE12th__2017-09-11_01-08-29,20,17,1010,93174,85
bellevue_116th_ne12th,model_selection,Bellevue_116th_NE12th__2017-09-11_02-08-32,13,12,3096,100524,92.3076923077
bellevue_116th_ne12th,model_selection,Bellevue_116th_NE12th__2017-09-11_03-08-30,18,15,28647,103125,83.3333333333
bellevue_116th_ne12th,model_selection,Bellevue_116th_NE12th__2017-09-11_04-08-30,47,45,11090,103668,95.7446808511
bellevue_116th_ne12th,model_selection,Bellevue_116th_NE12th__2017-09-11_05-08-39,10,9,897,11628,90
bellevue_116th_ne12th,model_selection,Bellevue_116th_NE12th__2017-09-11_06-08-30,420,378,0,106851,90
bellevue_116th_ne12th,model_selection,Bellevue_116th_NE12th__2017-09-11_07-08-32,86,82,0,11779,95.3488372093
bellevue_116th_ne12th,independent_test,Bellevue_116th_NE12th__2017-09-11_08-08-50,180,161,0,16663,89.4444444444
bellevue_116th_ne12th,independent_test,Bellevue_116th_NE12th__2017-09-11_09-08-31,351,310,0,25926,88.3190883191
bellevue_116th_ne12th,independent_test,Bellevue_116th_NE12th__2017-09-11_11-08-33,84,80,0,9158,95.2380952381
bellevue_116th_ne12th,independent_test,Bellevue_116th_NE12th__2017-09-11_12-08-33,32,30,0,3261,93.75
bellevue_116th_ne12th,independent_test,Bellevue_116th_NE12th__2017-09-11_14-08-35,166,149,0,15977,89.7590361446
bellevue_116th_ne12th,independent_test,Bellevue_116th_NE12th__2017-09-11_15-08-36,26,23,0,1853,88.4615384615
bellevue_116th_ne12th,independent_test,Bellevue_116th_NE12th__2017-09-11_16-08-37,18,14,0,1678,77.7777777778
bellevue_116th_ne12th,independent_test,Bellevue_116th_NE12th__2017-09-11_17-08-39,107,97,0,7417,90.6542056075
bellevue_150th_newport,target_estimation,Bellevue_150th_Newport__2017-09-10_18-08-24,470,465,0,107974,98.9361702128
bellevue_150th_newport,target_estimation,Bellevue_150th_Newport__2017-09-10_19-08-24,364,356,0,107973,97.8021978022
bellevue_150th_newport,target_estimation,Bellevue_150th_Newport__2017-09-10_20-08-25,298,287,0,106605,96.3087248322
bellevue_150th_newport,target_estimation,Bellevue_150th_Newport__2017-09-10_21-08-28,196,193,899,107177,98.4693877551
bellevue_150th_newport,target_estimation,Bellevue_150th_Newport__2017-09-10_22-08-28,65,62,1380,107858,95.3846153846
bellevue_150th_newport,target_estimation,Bellevue_150th_Newport__2017-09-10_23-08-29,59,58,780,107609,98.3050847458
bellevue_150th_newport,target_estimation,Bellevue_150th_Newport__2017-09-11_00-08-29,18,16,3775,104798,88.8888888889
bellevue_150th_newport,target_estimation,Bellevue_150th_Newport__2017-09-11_01-08-29,10,9,13547,95354,90
bellevue_150th_newport,target_estimation,Bellevue_150th_Newport__2017-09-11_02-08-29,3,3,28384,66325,100
bellevue_150th_newport,target_estimation,Bellevue_150th_Newport__2017-09-11_03-08-29,7,5,3910,97007,71.4285714286
bellevue_150th_newport,target_estimation,Bellevue_150th_Newport__2017-09-11_04-08-29,18,15,5621,107943,83.3333333333
bellevue_150th_newport,target_estimation,Bellevue_150th_Newport__2017-09-11_05-08-29,46,39,2152,104815,84.7826086957
bellevue_150th_newport,target_estimation,Bellevue_150th_Newport__2017-09-11_06-08-30,231,219,621,107713,94.8051948052
bellevue_150th_newport,target_estimation,Bellevue_150th_Newport__2017-09-11_07-08-31,638,600,0,107858,94.0438871473
bellevue_150th_newport,model_selection,Bellevue_150th_Newport__2017-09-11_08-08-31,853,809,0,107541,94.8417350528
bellevue_150th_newport,model_selection,Bellevue_150th_Newport__2017-09-11_09-08-30,544,506,0,107945,93.0147058824
bellevue_150th_newport,model_selection,Bellevue_150th_Newport__2017-09-11_10-08-31,421,403,0,107942,95.7244655582
bellevue_150th_newport,model_selection,Bellevue_150th_Newport__2017-09-11_11-08-32,411,395,0,107528,96.1070559611
bellevue_150th_newport,model_selection,Bellevue_150th_Newport__2017-09-11_12-08-32,477,464,0,107927,97.2746331237
bellevue_150th_newport,model_selection,Bellevue_150th_Newport__2017-09-11_13-08-32,395,390,0,95915,98.7341772152
bellevue_150th_newport,independent_test,Bellevue_150th_Newport__2017-09-11_14-08-31,614,598,0,107761,97.3941368078
bellevue_150th_newport,independent_test,Bellevue_150th_Newport__2017-09-11_15-08-32,978,959,582,107668,98.0572597137
bellevue_150th_newport,independent_test,Bellevue_150th_Newport__2017-09-11_16-08-32,1149,1125,0,107936,97.911227154
bellevue_150th_newport,independent_test,Bellevue_150th_Newport__2017-09-11_17-08-32,1183,1170,0,107920,98.9010989011
bellevue_150th_eastgate,target_estimation,Bellevue_150th_Eastgate__2017-09-10_18-08-24,738,706,0,107577,95.6639566396
bellevue_150th_eastgate,target_estimation,Bellevue_150th_Eastgate__2017-09-10_19-08-25,789,754,0,107558,95.5640050697
bellevue_150th_eastgate,target_estimation,Bellevue_150th_Eastgate__2017-09-10_20-08-25,590,570,1088,107783,96.6101694915
bellevue_150th_eastgate,target_estimation,Bellevue_150th_Eastgate__2017-09-10_21-08-28,441,428,0,107742,97.052154195
bellevue_150th_eastgate,target_estimation,Bellevue_150th_Eastgate__2017-09-10_22-08-28,216,211,0,107904,97.6851851852
bellevue_150th_eastgate,target_estimation,Bellevue_150th_Eastgate__2017-09-10_23-08-29,123,119,101,106927,96.7479674797
bellevue_150th_eastgate,target_estimation,Bellevue_150th_Eastgate__2017-09-11_00-08-29,69,65,3117,106510,94.2028985507
bellevue_150th_eastgate,target_estimation,Bellevue_150th_Eastgate__2017-09-11_01-08-29,46,45,2410,94616,97.8260869565
bellevue_150th_eastgate,target_estimation,Bellevue_150th_Eastgate__2017-09-11_02-08-29,19,19,82,105381,100
bellevue_150th_eastgate,target_estimation,Bellevue_150th_Eastgate__2017-09-11_03-08-30,37,35,13,106394,94.5945945946
bellevue_150th_eastgate,target_estimation,Bellevue_150th_Eastgate__2017-09-11_04-08-29,88,86,214,106953,97.7272727273
bellevue_150th_eastgate,target_estimation,Bellevue_150th_Eastgate__2017-09-11_05-08-30,272,267,0,107625,98.1617647059
bellevue_150th_eastgate,target_estimation,Bellevue_150th_Eastgate__2017-09-11_06-08-30,879,868,0,107675,98.7485779295
bellevue_150th_eastgate,target_estimation,Bellevue_150th_Eastgate__2017-09-11_07-08-31,1898,1856,0,107735,97.7871443625
bellevue_150th_eastgate,target_estimation,Bellevue_150th_Eastgate__2017-09-11_08-08-31,2515,2445,0,107822,97.2166998012
bellevue_150th_eastgate,model_selection,Bellevue_150th_Eastgate__2017-09-11_09-08-31,1956,1906,0,107509,97.4437627812
bellevue_150th_eastgate,model_selection,Bellevue_150th_Eastgate__2017-09-11_10-08-31,1498,1451,0,107854,96.8624833111
bellevue_150th_eastgate,model_selection,Bellevue_150th_Eastgate__2017-09-11_11-08-32,1555,1509,0,107840,97.0418006431
bellevue_150th_eastgate,model_selection,Bellevue_150th_Eastgate__2017-09-11_12-08-32,1782,1749,0,107861,98.1481481481
bellevue_150th_eastgate,independent_test,Bellevue_150th_Eastgate__2017-09-11_13-08-32,1377,1348,0,96177,97.8939724038
bellevue_150th_eastgate,independent_test,Bellevue_150th_Eastgate__2017-09-11_14-08-31,1824,1804,0,107882,98.9035087719
bellevue_150th_eastgate,independent_test,Bellevue_150th_Eastgate__2017-09-11_15-08-33,2452,2428,0,107863,99.0212071778
bellevue_150th_eastgate,independent_test,Bellevue_150th_Eastgate__2017-09-11_16-08-33,2638,2617,0,107864,99.2039423806
bellevue_150th_eastgate,independent_test,Bellevue_150th_Eastgate__2017-09-11_17-08-33,2464,2389,0,107823,96.9561688312
bellevue_150th_se38th,target_estimation,Bellevue_150th_SE38th__2017-09-10_18-08-24,659,611,0,107880,92.7162367223
bellevue_150th_se38th,target_estimation,Bellevue_150th_SE38th__2017-09-10_19-08-25,586,505,0,107788,86.1774744027
bellevue_150th_se38th,target_estimation,Bellevue_150th_SE38th__2017-09-10_20-08-25,392,362,0,104086,92.3469387755
bellevue_150th_se38th,target_estimation,Bellevue_150th_SE38th__2017-09-10_21-08-38,293,279,105,107375,95.2218430034
bellevue_150th_se38th,target_estimation,Bellevue_150th_SE38th__2017-09-10_22-08-28,160,155,0,107999,96.875
bellevue_150th_se38th,target_estimation,Bellevue_150th_SE38th__2017-09-10_23-08-29,113,107,1045,107030,94.6902654867
bellevue_150th_se38th,target_estimation,Bellevue_150th_SE38th__2017-09-11_00-08-29,56,51,2561,107161,91.0714285714
bellevue_150th_se38th,target_estimation,Bellevue_150th_SE38th__2017-09-11_01-08-30,32,31,4297,93959,96.875
bellevue_150th_se38th,target_estimation,Bellevue_150th_SE38th__2017-09-11_02-08-29,14,14,814,105428,100
bellevue_150th_se38th,target_estimation,Bellevue_150th_SE38th__2017-09-11_03-08-30,22,22,822,99904,100
bellevue_150th_se38th,target_estimation,Bellevue_150th_SE38th__2017-09-11_04-08-29,55,48,5768,107780,87.2727272727
bellevue_150th_se38th,target_estimation,Bellevue_150th_SE38th__2017-09-11_05-08-30,100,97,818,107730,97
bellevue_150th_se38th,model_selection,Bellevue_150th_SE38th__2017-09-11_06-08-32,486,445,136,107412,91.5637860082
bellevue_150th_se38th,model_selection,Bellevue_150th_SE38th__2017-09-11_07-08-31,697,670,0,83269,96.1262553802
bellevue_150th_se38th,model_selection,Bellevue_150th_SE38th__2017-09-11_08-09-36,110,108,532,11681,98.1818181818
bellevue_150th_se38th,model_selection,Bellevue_150th_SE38th__2017-09-11_09-08-31,838,759,0,99785,90.5727923628
bellevue_150th_se38th,model_selection,Bellevue_150th_SE38th__2017-09-11_10-08-33,734,666,169,105123,90.7356948229
bellevue_150th_se38th,independent_test,Bellevue_150th_SE38th__2017-09-11_11-08-34,751,672,0,105643,89.4806924101
bellevue_150th_se38th,independent_test,Bellevue_150th_SE38th__2017-09-11_12-08-38,840,752,0,103117,89.5238095238
bellevue_150th_se38th,independent_test,Bellevue_150th_SE38th__2017-09-11_13-08-32,750,697,0,94337,92.9333333333
bellevue_150th_se38th,independent_test,Bellevue_150th_SE38th__2017-09-11_14-08-32,937,882,0,104996,94.1302027748
bellevue_150th_se38th,independent_test,Bellevue_150th_SE38th__2017-09-11_16-08-35,223,221,0,15370,99.1031390135
bellevue_150th_se38th,independent_test,Bellevue_150th_SE38th__2017-09-11_17-08-45,212,198,0,13283,93.3962264151
bellevue_ne8th,target_estimation,Bellevue_Bellevue_NE8th__2017-09-10_18-08-23,1261,1151,0,107971,91.2767644726
bellevue_ne8th,target_estimation,Bellevue_Bellevue_NE8th__2017-09-10_19-08-24,1309,954,0,107886,72.8800611154
bellevue_ne8th,target_estimation,Bellevue_Bellevue_NE8th__2017-09-10_20-08-24,758,634,0,107932,83.6411609499
bellevue_ne8th,target_estimation,Bellevue_Bellevue_NE8th__2017-09-10_21-08-28,491,387,0,107825,78.8187372709
bellevue_ne8th,target_estimation,Bellevue_Bellevue_NE8th__2017-09-10_22-08-28,275,223,0,107985,81.0909090909
bellevue_ne8th,target_estimation,Bellevue_Bellevue_NE8th__2017-09-10_23-08-29,189,163,139,107723,86.2433862434
bellevue_ne8th,target_estimation,Bellevue_Bellevue_NE8th__2017-09-11_00-08-29,121,99,666,107464,81.8181818182
bellevue_ne8th,target_estimation,Bellevue_Bellevue_NE8th__2017-09-11_01-08-29,51,36,894,95122,70.5882352941
bellevue_ne8th,target_estimation,Bellevue_Bellevue_NE8th__2017-09-11_02-08-29,36,28,970,106617,77.7777777778
bellevue_ne8th,target_estimation,Bellevue_Bellevue_NE8th__2017-09-11_03-08-29,63,48,210,107978,76.1904761905
bellevue_ne8th,target_estimation,Bellevue_Bellevue_NE8th__2017-09-11_04-08-29,134,110,0,106828,82.0895522388
bellevue_ne8th,target_estimation,Bellevue_Bellevue_NE8th__2017-09-11_05-08-29,307,267,7,107930,86.9706840391
bellevue_ne8th,target_estimation,Bellevue_Bellevue_NE8th__2017-09-11_06-08-29,581,453,56,107975,77.9690189329
bellevue_ne8th,model_selection,Bellevue_Bellevue_NE8th__2017-09-11_07-08-31,1104,950,0,107889,86.0507246377
bellevue_ne8th,model_selection,Bellevue_Bellevue_NE8th__2017-09-11_08-08-31,1236,1187,0,107980,96.0355987055
bellevue_ne8th,model_selection,Bellevue_Bellevue_NE8th__2017-09-11_09-08-30,1218,1139,0,107983,93.5139573071
bellevue_ne8th,model_selection,Bellevue_Bellevue_NE8th__2017-09-11_10-08-31,1287,1202,0,107969,93.3954933955
bellevue_ne8th,model_selection,Bellevue_Bellevue_NE8th__2017-09-11_11-08-31,1476,1376,0,107972,93.2249322493
bellevue_ne8th,independent_test,Bellevue_Bellevue_NE8th__2017-09-11_12-08-31,1599,1472,0,107627,92.05753596
bellevue_ne8th,independent_test,Bellevue_Bellevue_NE8th__2017-09-11_13-08-32,1378,1268,0,96267,92.0174165457
bellevue_ne8th,independent_test,Bellevue_Bellevue_NE8th__2017-09-11_14-08-31,1579,1446,0,107975,91.5769474351
