repository_relative_path,size_bytes,size_mb,scene_id_inferred,detected_file_type,likely_raw_yolov11_detection_output,should_upload_to_onedrive,recommended_priority,recommended_onedrive_folder,parquet_columns_sample,sha256
TNVD2_UPLOAD_PACKAGE/03_yolo_tracking_outputs/data/interim/bellevue_116th_ne12th/rebuild_v1/tracks.parquet,288370349,275.011395,bellevue_116th_ne12th,tracker output,false,true,P1,03_yolo_tracking_outputs/,frame;track_id;cls;conf;cx;cy;w;h,NOT_COMPUTED_LARGE_FILE_GT_268435456_BYTES
TNVD2_UPLOAD_PACKAGE/03_yolo_tracking_outputs/data/interim/bellevue_116th_ne12th/tracks.parquet,288753657,275.376946,bellevue_116th_ne12th,tracker output,false,true,P1,03_yolo_tracking_outputs/,frame;track_id;cls;conf;cx;cy;w;h,NOT_COMPUTED_LARGE_FILE_GT_268435456_BYTES
TNVD2_UPLOAD_PACKAGE/03_yolo_tracking_outputs/data/interim/bellevue_116th_ne12th/tracks_Bellevue_116th_NE12th__2017-09-10_19-08-25.parquet,44560171,42.495891,bellevue_116th_ne12th,tracker output,false,true,P1,03_yolo_tracking_outputs/,frame;track_id;cls;conf;cx;cy;w;h,b068313f869dc5d2b8e2b963b295a74593b61bb348d9cc1d6c849b6323eb1c7b
TNVD2_UPLOAD_PACKAGE/03_yolo_tracking_outputs/data/interim/bellevue_116th_ne12th/tracks_Bellevue_116th_NE12th__2017-09-10_20-09-12.parquet,11057412,10.54517,bellevue_116th_ne12th,tracker output,false,true,P1,03_yolo_tracking_outputs/,frame;track_id;cls;conf;cx;cy;w;h,bd0eca29c673aaa26f1307a0d5e552648ad838e51d238d58240912d393824c9f
TNVD2_UPLOAD_PACKAGE/03_yolo_tracking_outputs/data/interim/bellevue_116th_ne12th/tracks_Bellevue_116th_NE12th__2017-09-10_21-08-54.parquet,20254237,19.315946,bellevue_116th_ne12th,tracker output,false,true,P1,03_yolo_tracking_outputs/,frame;track_id;cls;conf;cx;cy;w;h,ad024efff91a68a4ef554cfa6a9f07d34a845d242770952037688b6bfa5e6317
TNVD2_UPLOAD_PACKAGE/03_yolo_tracking_outputs/data/interim/bellevue_116th_ne12th/tracks_Bellevue_116th_NE12th__2017-09-10_22-08-50.parquet,3411991,3.253928,bellevue_116th_ne12th,tracker output,false,true,P1,03_yolo_tracking_outputs/,frame;track_id;cls;conf;cx;cy;w;h,a028f4409d9ccbf84e99b842174cdb2713d4b2169522ac1718dd4320e2344500
TNVD2_UPLOAD_PACKAGE/03_yolo_tracking_outputs/data/interim/bellevue_116th_ne12th/tracks_Bellevue_116th_NE12th__2017-09-10_23-08-29.parquet,20735095,19.774528,bellevue_116th_ne12th,tracker output,false,true,P1,03_yolo_tracking_outputs/,frame;track_id;cls;conf;cx;cy;w;h,31046a227dc21d93d0d18b6bf3310b914743b8f9bd6b32b0acce705bc0a42f3a
TNVD2_UPLOAD_PACKAGE/03_yolo_tracking_outputs/data/interim/bellevue_116th_ne12th/tracks_Bellevue_116th_NE12th__2017-09-11_00-08-29.parquet,14572568,13.897484,bellevue_116th_ne12th,tracker output,false,true,P1,03_yolo_tracking_outputs/,frame;track_id;cls;conf;cx;cy;w;h,500469495ba5fcd1a3a20a03d89707045e0ea04d0bd2d22ea56bba1004bef881
TNVD2_UPLOAD_PACKAGE/03_yolo_tracking_outputs/data/interim/bellevue_116th_ne12th/tracks_Bellevue_116th_NE12th__2017-09-11_01-08-29.parquet,18262116,17.416111,bellevue_116th_ne12th,tracker output,false,true,P1,03_yolo_tracking_outputs/,frame;track_id;cls;conf;cx;cy;w;h,98dee9b6c58875db2988b453d0d8ea7764549ac1917a4f31d44f7b34fe7d6701
TNVD2_UPLOAD_PACKAGE/03_yolo_tracking_outputs/data/interim/bellevue_116th_ne12th/tracks_Bellevue_116th_NE12th__2017-09-11_02-08-32.parquet,19410341,18.511144,bellevue_116th_ne12th,tracker output,false,true,P1,03_yolo_tracking_outputs/,frame;track_id;cls;conf;cx;cy;w;h,710673b84aaa8f1af4d66fd40e10a1a1a19e5b902b6a83e64fe10a7c051c01c9
