artifact_id,path,role,split,sha256,size_bytes,status,reference_label_access,redistribution
line_ending_policy,publications/hg-msa-tc-future-transportation/.gitattributes,metadata,none,1bf457245e0410f5dbba0c4e3a80fa06819e6d2eaee2b7fba39438d0aee88c5c,90,created,false,github
trajectory_manifest,publications/hg-msa-tc-future-transportation/data/manifests/trajectory_manifest.csv,frozen_input,all,0b26f59168f0c3996290cc1832ddd423321a5988e27fca93e78d2a02ecde7a03,49990970,local_not_packaged,false,source_terms_apply
evaluation_split,publications/hg-msa-tc-future-transportation/data/splits/evaluation_split.csv,frozen_input,all,0ec1e76f7024ecbea46b832be56ae07ab2d9b16dc57a99654d0d8390d909774f,26769282,local_not_packaged,false,source_terms_apply
frozen_evaluation_protocol,publications/hg-msa-tc-future-transportation/configs/frozen_evaluation_protocol.yaml,frozen_input,none,865513b8be4d59365bd430e5909fbd72b6a9d37f3e8b805917af3a80e66a1337,42775,verified,false,github
frozen_selection_manifest,publications/hg-msa-tc-future-transportation/results/development/frozen_selection_manifest.json,frozen_input,model_selection,65c70bb5f3bb89434df214af1b662159d074d77a339ef54e2dd2c62bccc797db,539,verified,false,github
task08_result_manifest,publications/hg-msa-tc-future-transportation/results/homography/task_08_result_manifest.json,frozen_input,target_estimation,4a14beac18e6467350d6392e71994721ea5eae492519a7b1e7b55704dc75d32d,3747,verified,false,github
task08_quality_metrics,publications/hg-msa-tc-future-transportation/results/homography/homography_quality_metrics.csv,frozen_input,target_estimation,db2156caab6ac8829c31636bf0e7416a8e1417f11904a395e8c4f5f11f84b146,3785,verified,false,github
frozen_scene_parameters,publications/hg-msa-tc-future-transportation/results/target_estimation/frozen_scene_parameters.csv,frozen_input,target_estimation,59502133baabd043b85c9161582a83e96e44451eb06550c2dc830f0b490b8170,2417,verified,false,github
publication_readme,publications/hg-msa-tc-future-transportation/README.md,documentation,none,8a6317efbd5ef52767df4b00f59957732d6a29e8b0efcea0a485de2edbf35204,16029,created_or_modified,false,github
citation,publications/hg-msa-tc-future-transportation/CITATION.cff,metadata,none,6eb991d9dd9b414007a5d97996226e21e6ed8e846947d5ba83f71d901d95b978,794,created,false,github
reproduce_powershell,publications/hg-msa-tc-future-transportation/reproduce_publication.ps1,reproduction_entrypoint,none,47b071f705c2077cc6563a9a6eeac2dde6818808a9ddaac078f012f2a6243e66,770,created,false,github
reproduction_init,publications/hg-msa-tc-future-transportation/code/reproduction/__init__.py,source,none,88659f51a14887bb5a57a20a8f92e9e23580148cfafe8a00e28762ae5255b075,76,created,false,github
reproduction_cli,publications/hg-msa-tc-future-transportation/code/reproduction/cli.py,source,none,8ecf833ac3388c328b11195ec0db54b5ceba235621b3217746ad4a7a759501e8,4656,created,false,github
ablation_protocol,publications/hg-msa-tc-future-transportation/configs/hg_smg_ablation_protocol.yaml,protocol,none,e02cb6a22355fa66cd66c392e3199ccbb7508413e2db3b0f3977fc1796f0ccd6,3051,created_frozen,false,github
hg_smg_protocol,publications/hg-msa-tc-future-transportation/configs/hg_smg_protocol_v1.yaml,protocol,none,2e892f25b1c1770a55fa29e36206b634f424f9ff2508bf045c92d388e69b4be6,12339,created_frozen,false,github
hg_smg_protocol_hash,publications/hg-msa-tc-future-transportation/configs/hg_smg_protocol_v1.sha256,checksum,none,a746646cc93a9d0839249f4d0dba494f04c93cd69bffdbe42a0b3992c46cbb5d,98,created,false,github
data_availability_plan,publications/hg-msa-tc-future-transportation/docs/data_availability_plan.md,documentation,none,084742e6b7bc8e2ef552eddd3542ea6704cd67301376fde533d477c530f33beb,3656,modified,false,github
literature_register,publications/hg-msa-tc-future-transportation/docs/literature_register_hg_smg.md,documentation,none,9fc6e4170c59849fdd912f968b240fe16c271f547e710e37aa80561125bdf9cb,7997,created,false,github
novelty_matrix,publications/hg-msa-tc-future-transportation/docs/hg_smg_novelty_matrix.md,documentation,none,5becc8b6ef64e8d21ee2b5f7f6db6344d1167eb491dd9e2449526728bb0b25b0,2681,created,false,github
mathematical_specification,publications/hg-msa-tc-future-transportation/docs/hg_smg_mathematical_specification.md,documentation,none,0611cf5ddcbb5a0c16a042f8a3c799227b16d179424eaf01f819cbdf84140765,7805,created,false,github
hypotheses,publications/hg-msa-tc-future-transportation/docs/hg_smg_preregistered_hypotheses.md,documentation,none,52840e45de1643d9cb2d228d3e7ffaaa08562a01fd183e720f3170575ced93cd,3914,created_frozen,false,github
holdout_audit,publications/hg-msa-tc-future-transportation/docs/post_review_holdout_audit.md,audit,none,59ca8000e4f27c804ef7eb5d395ab05185b24c2ca445aafcd7ecedca1b5d7eca,2356,created,false,github
public_release_plan,publications/hg-msa-tc-future-transportation/docs/public_release_plan.md,documentation,none,c503409749e156c8cfc262c881e70f3f7c3ca247926d82ea4784204dd5af886c,2309,created,false,github
protocol_freeze_report,publications/hg-msa-tc-future-transportation/docs/hg_smg_protocol_freeze_report.md,documentation,none,11ee77d28e3664b421a36330d285b6d8559bd7fb909d2038717f2c3197f18d3b,3240,created,false,github
task09a_execution_report,publications/hg-msa-tc-future-transportation/docs/task_09a_execution_report.md,documentation,none,616c33e650d8792152896b38aaf664ffa5566151ccb567d8c5a0f390f32ddd4c,2384,created,false,github
experiment_registry,publications/hg-msa-tc-future-transportation/reproducibility/experiment_registry.yaml,registry,all,cca5f561ddbedea6bd3a313f1df597f366af9119711090694027d27ce34276a6,6162,created,false,github
data_provenance,publications/hg-msa-tc-future-transportation/reproducibility/DATA_PROVENANCE.md,documentation,none,c85028e00c7c7e800c3daa8bcde2db74819a5cd1dfa94dc9f492f07dd2a49874,1568,created,false,github
data_dictionary,publications/hg-msa-tc-future-transportation/reproducibility/DATA_DICTIONARY.md,documentation,none,2a168d4d37d8912a037ffec3a8ee40046cf64f30cb1126dbee61411bf2cdc87d,1883,created,false,github
licenses,publications/hg-msa-tc-future-transportation/reproducibility/LICENSES.md,documentation,none,e50e3df402bb432d9b31ff88b9ba9b2f1651b06d8f2118960ebaba07a9088504,1111,created,false,github
reproducibility_guide,publications/hg-msa-tc-future-transportation/reproducibility/REPRODUCIBILITY.md,documentation,none,4be55464a042cb212c86e55c913956b229b27b5c6d5c9dd703014f97555581bf,1809,created,false,github
preregistration_tests,publications/hg-msa-tc-future-transportation/tests/test_hg_smg_preregistration.py,test,none,e94f20b177087ec38cabfaa69b627a57dd4d48969d2a6784628802a1357c891a,6580,created,false,github
