scene,method,selection_strategy,split,n_trajectories,hg_estimated_target,coordinate_representation,feature_columns_json,normalization_parameters_json,params_json,fit_random_seed,selection_key_json,trial_index,n_clusters,cluster_count_error,pct_outliers,largest_cluster_ratio,silhouette_clustered_only,davies_bouldin_clustered_only,calinski_harabasz_clustered_only,quick_score,EMAS_HG
bellevue_116th_ne12th,kmeans,untargeted_selection,model_selection,634,10,camera_isotropic_shared_scale,"[""start_x"", ""start_y"", ""end_x"", ""end_y""]","{""shared_scale"": 1262.6338365761835, ""x_min"": 3.580070561599546, ""x_range"": 1262.6338365761835, ""y_min"": 24.42323527480615, ""y_range"": 686.4493841691444}","{""max_iter"": 300, ""n_clusters"": 10, ""n_init"": 10}",20260711,"[-0.8066763101492748, 0.26884006434666297, -3165.89735429552, 0.27602523659305994, ""{\""max_iter\"": 300, \""n_clusters\"": 10, \""n_init\"": 10}""]",9,10,0,0.0,0.27602523659305994,0.8066763101492748,0.26884006434666297,3165.89735429552,0.952137361537284,0.9415434312264102
bellevue_116th_ne12th,kmeans,hg_expected_aware_selection,model_selection,634,10,camera_isotropic_shared_scale,"[""start_x"", ""start_y"", ""end_x"", ""end_y""]","{""shared_scale"": 1262.6338365761835, ""x_min"": 3.580070561599546, ""x_range"": 1262.6338365761835, ""y_min"": 24.42323527480615, ""y_range"": 686.4493841691444}","{""max_iter"": 300, ""n_clusters"": 10, ""n_init"": 10}",20260711,"[0.0, -0.8066763101492748, 0.26884006434666297, -3165.89735429552, 0.27602523659305994, ""{\""max_iter\"": 300, \""n_clusters\"": 10, \""n_init\"": 10}""]",9,10,0,0.0,0.27602523659305994,0.8066763101492748,0.26884006434666297,3165.89735429552,0.952137361537284,0.9415434312264102
bellevue_116th_ne12th,hdbscan,untargeted_selection,model_selection,634,10,camera_isotropic_shared_scale,"[""start_x"", ""start_y"", ""end_x"", ""end_y""]","{""shared_scale"": 1262.6338365761835, ""x_min"": 3.580070561599546, ""x_range"": 1262.6338365761835, ""y_min"": 24.42323527480615, ""y_range"": 686.4493841691444}","{""min_cluster_size"": 80, ""min_samples"": 10}",20260703,"[-0.7143497645807769, 0.42012450702313275, -1423.6982182934707, 0.4174603174603175, ""{\""min_cluster_size\"": 80, \""min_samples\"": 10}""]",1,4,6,0.6309148264984227,0.4174603174603175,0.7143497645807769,0.42012450702313275,1423.6982182934707,0.45648923591851903,0.6131259878641706
bellevue_116th_ne12th,hdbscan,hg_expected_aware_selection,model_selection,634,10,camera_isotropic_shared_scale,"[""start_x"", ""start_y"", ""end_x"", ""end_y""]","{""shared_scale"": 1262.6338365761835, ""x_min"": 3.580070561599546, ""x_range"": 1262.6338365761835, ""y_min"": 24.42323527480615, ""y_range"": 686.4493841691444}","{""min_cluster_size"": 80, ""min_samples"": 10}",20260703,"[6.0, 0.6309148264984227, -0.7143497645807769, 0.42012450702313275, -1423.6982182934707, 0.4174603174603175, ""{\""min_cluster_size\"": 80, \""min_samples\"": 10}""]",1,4,6,0.6309148264984227,0.4174603174603175,0.7143497645807769,0.42012450702313275,1423.6982182934707,0.45648923591851903,0.6131259878641706
bellevue_116th_ne12th,optics,untargeted_selection,model_selection,634,10,camera_isotropic_shared_scale,"[""start_x"", ""start_y"", ""end_x"", ""end_y""]","{""shared_scale"": 1262.6338365761835, ""x_min"": 3.580070561599546, ""x_range"": 1262.6338365761835, ""y_min"": 24.42323527480615, ""y_range"": 686.4493841691444}","{""max_eps"": 0.028528990860990387, ""min_samples"": 40, ""xi"": 0.05}",20260703,"[-0.965340495392891, 0.04912309566539761, -62864.578588499615, 0.425, ""{\""max_eps\"": 0.028528990860990387, \""min_samples\"": 40, \""xi\"": 0.05}""]",1,3,7,68.45425867507886,0.425,0.965340495392891,0.04912309566539761,62864.578588499615,0.33526735718323925,0.4641762069469916
bellevue_116th_ne12th,optics,hg_expected_aware_selection,model_selection,634,10,camera_isotropic_shared_scale,"[""start_x"", ""start_y"", ""end_x"", ""end_y""]","{""shared_scale"": 1262.6338365761835, ""x_min"": 3.580070561599546, ""x_range"": 1262.6338365761835, ""y_min"": 24.42323527480615, ""y_range"": 686.4493841691444}","{""max_eps"": 0.31873943664454396, ""min_samples"": 40, ""xi"": 0.05}",20260706,"[5.0, 16.876971608832807, -0.8491730113229672, 0.25217750893065227, -3484.0461859320326, 0.31688804554079697, ""{\""max_eps\"": 0.31873943664454396, \""min_samples\"": 40, \""xi\"": 0.05}""]",4,5,5,16.876971608832807,0.31688804554079697,0.8491730113229672,0.25217750893065227,3484.0461859320326,0.45861301034776125,0.6568767845677861
bellevue_150th_newport,kmeans,untargeted_selection,model_selection,3101,12,camera_isotropic_shared_scale,"[""start_x"", ""start_y"", ""end_x"", ""end_y""]","{""shared_scale"": 1096.3660142979609, ""x_min"": 3.854053691503674, ""x_range"": 1096.3660142979609, ""y_min"": 34.488688012325376, ""y_range"": 652.2052499019734}","{""max_iter"": 300, ""n_clusters"": 7, ""n_init"": 10}",20261708,"[-0.888957749100115, 0.15309598944553554, -35949.279400448504, 0.36633344082554015, ""{\""max_iter\"": 300, \""n_clusters\"": 7, \""n_init\"": 10}""]",6,7,5,0.0,0.36633344082554015,0.888957749100115,0.15309598944553554,35949.279400448504,0.4928427345415516,0.7362042590439848
bellevue_150th_newport,kmeans,hg_expected_aware_selection,model_selection,3101,12,camera_isotropic_shared_scale,"[""start_x"", ""start_y"", ""end_x"", ""end_y""]","{""shared_scale"": 1096.3660142979609, ""x_min"": 3.854053691503674, ""x_range"": 1096.3660142979609, ""y_min"": 34.488688012325376, ""y_range"": 652.2052499019734}","{""max_iter"": 300, ""n_clusters"": 12, ""n_init"": 10}",20261713,"[0.0, -0.6799288266882095, 0.40905242158144267, -79792.39994865551, 0.3140922283134473, ""{\""max_iter\"": 300, \""n_clusters\"": 12, \""n_init\"": 10}""]",11,12,0,0.0,0.3140922283134473,0.6799288266882095,0.40905242158144267,79792.39994865551,0.9380720586936689,0.9235568988842722
bellevue_150th_newport,hdbscan,untargeted_selection,model_selection,3101,12,camera_isotropic_shared_scale,"[""start_x"", ""start_y"", ""end_x"", ""end_y""]","{""shared_scale"": 1096.3660142979609, ""x_min"": 3.854053691503674, ""x_range"": 1096.3660142979609, ""y_min"": 34.488688012325376, ""y_range"": 652.2052499019734}","{""min_cluster_size"": 80, ""min_samples"": 20}",20261704,"[-0.8945741739500087, 0.14479924233603972, -46986.95437617456, 0.36907486106570775, ""{\""min_cluster_size\"": 80, \""min_samples\"": 20}""]",2,6,6,1.3544018058690745,0.36907486106570775,0.8945741739500087,0.14479924233603972,46986.95437617456,0.47735962767951995,0.6924639792369911
bellevue_150th_newport,hdbscan,hg_expected_aware_selection,model_selection,3101,12,camera_isotropic_shared_scale,"[""start_x"", ""start_y"", ""end_x"", ""end_y""]","{""shared_scale"": 1096.3660142979609, ""x_min"": 3.854053691503674, ""x_range"": 1096.3660142979609, ""y_min"": 34.488688012325376, ""y_range"": 652.2052499019734}","{""min_cluster_size"": 80, ""min_samples"": 10}",20261703,"[6.0, 1.3221541438245727, -0.8945074956513663, 0.14474996421825226, -46612.27221288506, 0.369281045751634, ""{\""min_cluster_size\"": 80, \""min_samples\"": 10}""]",1,6,6,1.3221541438245727,0.369281045751634,0.8945074956513663,0.14474996421825226,46612.27221288506,0.47740205073391245,0.692508282405212
bellevue_150th_newport,optics,untargeted_selection,model_selection,3101,12,camera_isotropic_shared_scale,"[""start_x"", ""start_y"", ""end_x"", ""end_y""]","{""shared_scale"": 1096.3660142979609, ""x_min"": 3.854053691503674, ""x_range"": 1096.3660142979609, ""y_min"": 34.488688012325376, ""y_range"": 652.2052499019734}","{""max_eps"": 0.012798475487971639, ""min_samples"": 80, ""xi"": 0.05}",20261712,"[-0.9615318182716166, 0.05105601219059602, -466436.64590299386, 0.4353577871316897, ""{\""max_eps\"": 0.012798475487971639, \""min_samples\"": 80, \""xi\"": 0.05}""]",10,4,8,46.37213801999355,0.4353577871316897,0.9615318182716166,0.05105601219059602,466436.64590299386,0.37047885129879865,0.523605610881617
