scene,support_threshold,support_threshold_percent,support_threshold_absolute_count,n_entry_regions,n_exit_regions,hg_estimated_target,od_coverage,smallest_valid_od_pair_share,n_trajectories,target_local_instability,selected
bellevue_116th_ne12th,0.001,0.1,1,4,4,10,1.0,0.006915629322268326,723,0.0,False
bellevue_116th_ne12th,0.0025,0.25,2,4,4,10,1.0,0.006915629322268326,723,0.0,True
bellevue_116th_ne12th,0.005,0.5,4,4,4,10,1.0,0.006915629322268326,723,1.0,False
bellevue_116th_ne12th,0.01,1.0,8,4,4,8,0.9847856154910097,0.012448132780082987,723,2.0,False
bellevue_116th_ne12th,0.02,2.0,15,4,4,6,0.9571230982019364,0.02627939142461964,723,2.0,False
bellevue_150th_newport,0.001,0.1,3,4,4,12,1.0,0.004127115146512587,2423,0.0,True
bellevue_150th_newport,0.0025,0.25,7,4,4,12,1.0,0.004127115146512587,2423,1.0,False
bellevue_150th_newport,0.005,0.5,13,4,4,10,0.9909203466776723,0.006190672719768881,2423,2.5,False
bellevue_150th_newport,0.01,1.0,25,4,4,7,0.9698720594304581,0.04746182418489476,2423,1.5,False
bellevue_150th_newport,0.02,2.0,49,4,4,7,0.9698720594304581,0.04746182418489476,2423,0.0,False
bellevue_150th_eastgate,0.001,0.1,9,4,4,11,0.999197247706422,0.0017201834862385322,8720,1.0,False
bellevue_150th_eastgate,0.0025,0.25,22,4,4,10,0.9974770642201835,0.003211009174311927,8720,1.0,False
bellevue_150th_eastgate,0.005,0.5,44,4,4,9,0.9942660550458715,0.018119266055045873,8720,0.5,True
bellevue_150th_eastgate,0.01,1.0,88,4,4,9,0.9942660550458715,0.018119266055045873,8720,0.5,False
bellevue_150th_eastgate,0.02,2.0,175,4,4,8,0.9761467889908257,0.02912844036697248,8720,1.0,False
bellevue_150th_se38th,0.001,0.1,3,7,3,19,0.999597099113618,0.00201450443190975,2482,1.0,False
bellevue_150th_se38th,0.0025,0.25,7,7,3,18,0.9975825946817083,0.004431909750201451,2482,1.0,True
bellevue_150th_se38th,0.005,0.5,13,7,3,17,0.9931506849315068,0.0060435132957292505,2482,2.0,False
bellevue_150th_se38th,0.01,1.0,25,7,3,14,0.9738114423851733,0.011684125705076551,2482,2.5,False
bellevue_150th_se38th,0.02,2.0,50,7,3,12,0.9452054794520548,0.021756647864625302,2482,2.0,False
bellevue_ne8th,0.001,0.1,6,4,4,10,0.9998206599713056,0.0023314203730272595,5576,1.0,False
bellevue_ne8th,0.0025,0.25,14,4,4,9,0.9974892395982783,0.011657101865136299,5576,0.5,False
bellevue_ne8th,0.005,0.5,28,4,4,9,0.9974892395982783,0.011657101865136299,5576,0.0,True
bellevue_ne8th,0.01,1.0,56,4,4,9,0.9974892395982783,0.011657101865136299,5576,1.0,False
bellevue_ne8th,0.02,2.0,112,4,4,7,0.9725609756097561,0.04644906743185079,5576,2.0,False
