scene,od_pair,count,share
bellevue_116th_ne12th,0->1,276,0.3817427385892116
bellevue_116th_ne12th,1->0,207,0.2863070539419087
bellevue_116th_ne12th,3->2,76,0.10511756569847856
bellevue_116th_ne12th,2->3,74,0.10235131396957123
bellevue_116th_ne12th,0->3,40,0.05532503457814661
bellevue_116th_ne12th,1->2,19,0.02627939142461964
bellevue_116th_ne12th,2->0,11,0.015214384508990318
bellevue_116th_ne12th,0->2,9,0.012448132780082987
bellevue_116th_ne12th,2->1,6,0.008298755186721992
bellevue_116th_ne12th,3->0,5,0.006915629322268326
bellevue_150th_newport,0->2,920,0.37969459347915807
bellevue_150th_newport,1->1,540,0.22286421791167974
bellevue_150th_newport,0->0,278,0.11473380107304994
bellevue_150th_newport,2->1,197,0.08130416838629798
bellevue_150th_newport,2->2,169,0.06974824597606273
bellevue_150th_newport,2->3,131,0.0540652084193149
bellevue_150th_newport,3->0,115,0.04746182418489476
bellevue_150th_newport,1->3,18,0.007428807263722658
bellevue_150th_newport,1->0,18,0.007428807263722658
bellevue_150th_newport,1->2,15,0.006190672719768881
bellevue_150th_newport,3->2,12,0.004952538175815105
bellevue_150th_newport,2->0,10,0.004127115146512587
bellevue_150th_eastgate,0->2,2176,0.24954128440366974
bellevue_150th_eastgate,1->0,2012,0.23073394495412844
bellevue_150th_eastgate,2->2,1245,0.14277522935779816
bellevue_150th_eastgate,0->1,983,0.11272935779816513
bellevue_150th_eastgate,2->1,871,0.09988532110091743
bellevue_150th_eastgate,2->0,627,0.07190366972477064
bellevue_150th_eastgate,3->0,344,0.03944954128440367
bellevue_150th_eastgate,3->3,254,0.02912844036697248
bellevue_150th_eastgate,1->3,158,0.018119266055045873
bellevue_150th_eastgate,0->0,28,0.003211009174311927
bellevue_150th_eastgate,0->3,15,0.0017201834862385322
bellevue_150th_eastgate,2->3,7,0.0008027522935779817
bellevue_150th_se38th,0->0,617,0.24858984689766317
bellevue_150th_se38th,3->1,571,0.23005640612409348
bellevue_150th_se38th,2->0,308,0.12409347300564061
bellevue_150th_se38th,6->1,173,0.06970185334407736
bellevue_150th_se38th,1->0,123,0.04955680902497985
bellevue_150th_se38th,0->2,119,0.04794520547945205
bellevue_150th_se38th,4->1,91,0.036663980660757454
bellevue_150th_se38th,5->0,90,0.0362610797743755
bellevue_150th_se38th,5->1,75,0.030217566478646252
bellevue_150th_se38th,1->2,65,0.026188557614826753
bellevue_150th_se38th,2->1,60,0.024174053182917002
bellevue_150th_se38th,1->1,54,0.021756647864625302
bellevue_150th_se38th,0->1,42,0.016921837228041903
bellevue_150th_se38th,4->0,29,0.011684125705076551
bellevue_150th_se38th,3->2,17,0.00684931506849315
bellevue_150th_se38th,3->0,16,0.0064464141821112
bellevue_150th_se38th,5->2,15,0.0060435132957292505
bellevue_150th_se38th,6->0,11,0.004431909750201451
bellevue_150th_se38th,4->2,5,0.00201450443190975
bellevue_150th_se38th,2->2,1,0.00040290088638195
bellevue_ne8th,0->1,1838,0.32962697274031566
bellevue_ne8th,1->3,1061,0.19027977044476327
bellevue_ne8th,3->0,785,0.1407819225251076
bellevue_ne8th,2->2,769,0.13791248206599713
bellevue_ne8th,0->0,434,0.0778335724533716
bellevue_ne8th,2->1,277,0.04967718794835007
bellevue_ne8th,1->2,259,0.04644906743185079
bellevue_ne8th,1->0,74,0.01327116212338594
bellevue_ne8th,3->3,65,0.011657101865136299
bellevue_ne8th,2->3,13,0.0023314203730272595
bellevue_ne8th,3->1,1,0.0001793400286944046
