scene,endpoint_role,n_regions,silhouette,davies_bouldin,n_trajectories,metric_sample_size,random_seed,selected
bellevue_116th_ne12th,entry,3,0.7935155228483332,0.38787769830039637,723,723,20260702,False
bellevue_116th_ne12th,entry,4,0.9176394823524273,0.12859535039214987,723,723,20260702,True
bellevue_116th_ne12th,entry,5,0.815720760656348,0.2666931488553411,723,723,20260702,False
bellevue_116th_ne12th,entry,6,0.7926772720780021,0.34533078675174766,723,723,20260702,False
bellevue_116th_ne12th,entry,7,0.8100198907015557,0.3049942845701509,723,723,20260702,False
bellevue_116th_ne12th,entry,8,0.6543493934017933,0.4766842906243029,723,723,20260702,False
bellevue_116th_ne12th,exit,3,0.750590563760525,0.42091155272330694,723,723,20260719,False
bellevue_116th_ne12th,exit,4,0.911133882771053,0.1339753375521034,723,723,20260719,True
bellevue_116th_ne12th,exit,5,0.7923217640086233,0.3168313560331225,723,723,20260719,False
bellevue_116th_ne12th,exit,6,0.788883641196234,0.33706006186062193,723,723,20260719,False
bellevue_116th_ne12th,exit,7,0.7729459363879788,0.4109794932576442,723,723,20260719,False
bellevue_116th_ne12th,exit,8,0.8011211043711065,0.3559044137420463,723,723,20260719,False
bellevue_150th_newport,entry,3,0.7937008661186861,0.432046242030719,2423,2423,20261702,False
bellevue_150th_newport,entry,4,0.8467299077409189,0.23314299220281146,2423,2423,20261702,True
bellevue_150th_newport,entry,5,0.8418800026481201,0.3251451483968507,2423,2423,20261702,False
bellevue_150th_newport,entry,6,0.7837509284139899,0.36059960854302336,2423,2423,20261702,False
bellevue_150th_newport,entry,7,0.7687023502732062,0.4009229718815033,2423,2423,20261702,False
bellevue_150th_newport,entry,8,0.7345701463375501,0.4420433193650631,2423,2423,20261702,False
bellevue_150th_newport,exit,3,0.9031975047722771,0.16079359537897575,2423,2423,20261719,False
bellevue_150th_newport,exit,4,0.9372345331493621,0.07385005497899727,2423,2423,20261719,True
bellevue_150th_newport,exit,5,0.760552043631691,0.3053700936303976,2423,2423,20261719,False
bellevue_150th_newport,exit,6,0.7578543094553858,0.33299750116596255,2423,2423,20261719,False
bellevue_150th_newport,exit,7,0.6575365014358244,0.4465361999302244,2423,2423,20261719,False
bellevue_150th_newport,exit,8,0.657239920904277,0.43882681371005733,2423,2423,20261719,False
bellevue_150th_eastgate,entry,3,0.8338345889478249,0.2529239339081446,8720,2500,20262702,False
bellevue_150th_eastgate,entry,4,0.8420577638480874,0.22372075470350505,8720,2500,20262702,True
bellevue_150th_eastgate,entry,5,0.759270856144356,0.4298779857057039,8720,2500,20262702,False
bellevue_150th_eastgate,entry,6,0.7373501434082143,0.4107191185930928,8720,2500,20262702,False
