scope,scene,method,statistic,variable_x,variable_y,value
all,ALL,ALL,variance,T,,0.09414166441207322
all,ALL,ALL,pearson_with_original_EMAS,T,EMAS_HG,0.9438006730615897
all,ALL,ALL,fraction_at_zero,T,,0.19215686274509805
all,ALL,ALL,fraction_at_one,T,,0.03137254901960784
all,ALL,ALL,variance,O,,0.054849090620322186
all,ALL,ALL,pearson_with_original_EMAS,O,EMAS_HG,0.3164692203480647
all,ALL,ALL,fraction_at_zero,O,,0.01568627450980392
all,ALL,ALL,fraction_at_one,O,,0.5725490196078431
all,ALL,ALL,variance,B,,0.021672406423918926
all,ALL,ALL,pearson_with_original_EMAS,B,EMAS_HG,0.21921306538258023
all,ALL,ALL,fraction_at_zero,B,,0.01568627450980392
all,ALL,ALL,fraction_at_one,B,,0.0
all,ALL,ALL,variance,S,,0.009309235368811581
all,ALL,ALL,pearson_with_original_EMAS,S,EMAS_HG,0.5653598854191585
all,ALL,ALL,fraction_at_zero,S,,0.0
all,ALL,ALL,fraction_at_one,S,,0.0
all,ALL,ALL,variance,D,,0.012338865334143015
all,ALL,ALL,pearson_with_original_EMAS,D,EMAS_HG,0.47301211143209326
all,ALL,ALL,fraction_at_zero,D,,0.0
all,ALL,ALL,fraction_at_one,D,,0.0
all,ALL,ALL,component_pearson,T,T,1.0
all,ALL,ALL,component_pearson,T,O,0.010584498491436384
all,ALL,ALL,component_pearson,T,B,-0.0016137533295395392
all,ALL,ALL,component_pearson,T,S,0.4705790649875233
all,ALL,ALL,component_pearson,T,D,0.4836230120102666
all,ALL,ALL,component_pearson,O,O,1.0
all,ALL,ALL,component_pearson,O,B,0.5207249656959868
all,ALL,ALL,component_pearson,O,S,0.11412903567148579
all,ALL,ALL,component_pearson,O,D,-0.20770768920955687
all,ALL,ALL,component_pearson,B,B,1.0
all,ALL,ALL,component_pearson,B,S,0.07388989208865357
all,ALL,ALL,component_pearson,B,D,-0.13800888489573152
all,ALL,ALL,component_pearson,S,S,1.0
all,ALL,ALL,component_pearson,S,D,0.8861810935508041
all,ALL,ALL,component_pearson,D,D,0.9999999999999999
scene_method,bellevue_116th_ne12th,hdbscan,variance,T,,0.02472222222222223
scene_method,bellevue_116th_ne12th,hdbscan,pearson_with_original_EMAS,T,EMAS_HG,0.9933266734343544
scene_method,bellevue_116th_ne12th,hdbscan,fraction_at_zero,T,,0.3333333333333333
scene_method,bellevue_116th_ne12th,hdbscan,fraction_at_one,T,,0.0
scene_method,bellevue_116th_ne12th,hdbscan,variance,O,,0.2190925264346236
scene_method,bellevue_116th_ne12th,hdbscan,pearson_with_original_EMAS,O,EMAS_HG,0.9938954863429511
scene_method,bellevue_116th_ne12th,hdbscan,fraction_at_zero,O,,0.3333333333333333
scene_method,bellevue_116th_ne12th,hdbscan,fraction_at_one,O,,0.16666666666666666
scene_method,bellevue_116th_ne12th,hdbscan,variance,B,,0.001503907995633693
scene_method,bellevue_116th_ne12th,hdbscan,pearson_with_original_EMAS,B,EMAS_HG,0.9936094159031683
scene_method,bellevue_116th_ne12th,hdbscan,fraction_at_zero,B,,0.0
scene_method,bellevue_116th_ne12th,hdbscan,fraction_at_one,B,,0.0
scene_method,bellevue_116th_ne12th,hdbscan,variance,S,,0.02385867736817134
scene_method,bellevue_116th_ne12th,hdbscan,pearson_with_original_EMAS,S,EMAS_HG,0.9998195645015199
scene_method,bellevue_116th_ne12th,hdbscan,fraction_at_zero,S,,0.0
scene_method,bellevue_116th_ne12th,hdbscan,fraction_at_one,S,,0.0
scene_method,bellevue_116th_ne12th,hdbscan,variance,D,,0.0055165652586677974
scene_method,bellevue_116th_ne12th,hdbscan,pearson_with_original_EMAS,D,EMAS_HG,0.965568077062582
scene_method,bellevue_116th_ne12th,hdbscan,fraction_at_zero,D,,0.0
scene_method,bellevue_116th_ne12th,hdbscan,fraction_at_one,D,,0.0
scene_method,bellevue_116th_ne12th,hdbscan,component_pearson,T,T,1.0
scene_method,bellevue_116th_ne12th,hdbscan,component_pearson,T,O,0.9745393642573688
scene_method,bellevue_116th_ne12th,hdbscan,component_pearson,T,B,0.9745405513657087
scene_method,bellevue_116th_ne12th,hdbscan,component_pearson,T,S,0.9912707397452176
scene_method,bellevue_116th_ne12th,hdbscan,component_pearson,T,D,0.9890902747202399
scene_method,bellevue_116th_ne12th,hdbscan,component_pearson,O,O,0.9999999999999998
scene_method,bellevue_116th_ne12th,hdbscan,component_pearson,O,B,0.9994838852391132
scene_method,bellevue_116th_ne12th,hdbscan,component_pearson,O,S,0.995498635413739
scene_method,bellevue_116th_ne12th,hdbscan,component_pearson,O,D,0.9309944310754515
scene_method,bellevue_116th_ne12th,hdbscan,component_pearson,B,B,1.0
scene_method,bellevue_116th_ne12th,hdbscan,component_pearson,B,S,0.994858403276143
scene_method,bellevue_116th_ne12th,hdbscan,component_pearson,B,D,0.930938121664869
scene_method,bellevue_116th_ne12th,hdbscan,component_pearson,S,S,0.9999999999999999
scene_method,bellevue_116th_ne12th,hdbscan,component_pearson,S,D,0.9612956003755367
scene_method,bellevue_116th_ne12th,hdbscan,component_pearson,D,D,0.9999999999999998
