weight_id,family,T,O,B,S,D
local_0000,local,0.30000000000000004,0.1,0.1,0.25,0.25
local_0001,local,0.30000000000000004,0.1,0.15000000000000002,0.2,0.25
local_0002,local,0.30000000000000004,0.1,0.15000000000000002,0.25,0.2
local_0003,local,0.30000000000000004,0.1,0.2,0.15000000000000002,0.25
local_0004,local,0.30000000000000004,0.1,0.2,0.2,0.2
local_0005,local,0.30000000000000004,0.1,0.2,0.25,0.15000000000000002
local_0006,local,0.30000000000000004,0.1,0.25,0.1,0.25
local_0007,local,0.30000000000000004,0.1,0.25,0.15000000000000002,0.2
local_0008,local,0.30000000000000004,0.1,0.25,0.2,0.15000000000000002
local_0009,local,0.30000000000000004,0.1,0.25,0.25,0.1
local_0010,local,0.30000000000000004,0.15000000000000002,0.05,0.25,0.25
local_0011,local,0.30000000000000004,0.15000000000000002,0.1,0.2,0.25
local_0012,local,0.30000000000000004,0.15000000000000002,0.1,0.25,0.2
local_0013,local,0.30000000000000004,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.25
local_0014,local,0.30000000000000004,0.15000000000000002,0.15000000000000002,0.2,0.2
local_0015,local,0.30000000000000004,0.15000000000000002,0.15000000000000002,0.25,0.15000000000000002
local_0016,local,0.30000000000000004,0.15000000000000002,0.2,0.1,0.25
local_0017,local,0.30000000000000004,0.15000000000000002,0.2,0.15000000000000002,0.2
local_0018,local,0.30000000000000004,0.15000000000000002,0.2,0.2,0.15000000000000002
local_0019,local,0.30000000000000004,0.15000000000000002,0.2,0.25,0.1
local_0020,local,0.30000000000000004,0.15000000000000002,0.25,0.05,0.25
local_0021,local,0.30000000000000004,0.15000000000000002,0.25,0.1,0.2
local_0022,local,0.30000000000000004,0.15000000000000002,0.25,0.15000000000000002,0.15000000000000002
local_0023,local,0.30000000000000004,0.15000000000000002,0.25,0.2,0.1
local_0024,local,0.30000000000000004,0.15000000000000002,0.25,0.25,0.05
local_0025,local,0.30000000000000004,0.2,0.05,0.2,0.25
local_0026,local,0.30000000000000004,0.2,0.05,0.25,0.2
local_0027,local,0.30000000000000004,0.2,0.1,0.15000000000000002,0.25
local_0028,local,0.30000000000000004,0.2,0.1,0.2,0.2
local_0029,local,0.30000000000000004,0.2,0.1,0.25,0.15000000000000002
local_0030,local,0.30000000000000004,0.2,0.15000000000000002,0.1,0.25
local_0031,local,0.30000000000000004,0.2,0.15000000000000002,0.15000000000000002,0.2
local_0032,local,0.30000000000000004,0.2,0.15000000000000002,0.2,0.15000000000000002
local_0033,local,0.30000000000000004,0.2,0.15000000000000002,0.25,0.1
local_0034,local,0.30000000000000004,0.2,0.2,0.05,0.25
local_0035,local,0.30000000000000004,0.2,0.2,0.1,0.2
local_0036,local,0.30000000000000004,0.2,0.2,0.15000000000000002,0.15000000000000002
local_0037,local,0.30000000000000004,0.2,0.2,0.2,0.1
local_0038,local,0.30000000000000004,0.2,0.2,0.25,0.05
local_0039,local,0.30000000000000004,0.2,0.25,0.05,0.2
local_0040,local,0.30000000000000004,0.2,0.25,0.1,0.15000000000000002
local_0041,local,0.30000000000000004,0.2,0.25,0.15000000000000002,0.1
local_0042,local,0.30000000000000004,0.2,0.25,0.2,0.05
local_0043,local,0.30000000000000004,0.25,0.05,0.15000000000000002,0.25
