family,scene,method,n_weight_vectors,original_top_candidate_id,original_top_frequency,original_top_stability_pct,n_distinct_top_candidates,most_frequent_top_candidate_id,most_frequent_top_frequency
named,bellevue_116th_ne12th,hdbscan,7,bellevue_116th_ne12th|hdbscan|trial_001,7,100.0,1,bellevue_116th_ne12th|hdbscan|trial_001,7
named,bellevue_116th_ne12th,kmeans,7,bellevue_116th_ne12th|kmeans|trial_009,7,100.0,1,bellevue_116th_ne12th|kmeans|trial_009,7
named,bellevue_116th_ne12th,optics,7,bellevue_116th_ne12th|optics|trial_004,5,71.42857142857143,2,bellevue_116th_ne12th|optics|trial_004,5
named,bellevue_150th_eastgate,hdbscan,7,bellevue_150th_eastgate|hdbscan|trial_005,7,100.0,1,bellevue_150th_eastgate|hdbscan|trial_005,7
named,bellevue_150th_eastgate,kmeans,7,bellevue_150th_eastgate|kmeans|trial_008,7,100.0,1,bellevue_150th_eastgate|kmeans|trial_008,7
named,bellevue_150th_eastgate,optics,7,bellevue_150th_eastgate|optics|trial_015,7,100.0,1,bellevue_150th_eastgate|optics|trial_015,7
named,bellevue_150th_newport,hdbscan,7,bellevue_150th_newport|hdbscan|trial_001,7,100.0,1,bellevue_150th_newport|hdbscan|trial_001,7
named,bellevue_150th_newport,kmeans,7,bellevue_150th_newport|kmeans|trial_011,7,100.0,1,bellevue_150th_newport|kmeans|trial_011,7
named,bellevue_150th_newport,optics,7,bellevue_150th_newport|optics|trial_008,7,100.0,1,bellevue_150th_newport|optics|trial_008,7
named,bellevue_150th_se38th,hdbscan,7,bellevue_150th_se38th|hdbscan|trial_002,5,71.42857142857143,2,bellevue_150th_se38th|hdbscan|trial_002,5
named,bellevue_150th_se38th,kmeans,7,bellevue_150th_se38th|kmeans|trial_017,7,100.0,1,bellevue_150th_se38th|kmeans|trial_017,7
named,bellevue_150th_se38th,optics,7,bellevue_150th_se38th|optics|trial_004,7,100.0,1,bellevue_150th_se38th|optics|trial_004,7
named,bellevue_ne8th,hdbscan,7,bellevue_ne8th|hdbscan|trial_003,7,100.0,1,bellevue_ne8th|hdbscan|trial_003,7
named,bellevue_ne8th,kmeans,7,bellevue_ne8th|kmeans|trial_008,7,100.0,1,bellevue_ne8th|kmeans|trial_008,7
named,bellevue_ne8th,optics,7,bellevue_ne8th|optics|trial_016,7,100.0,1,bellevue_ne8th|optics|trial_016,7
local,bellevue_116th_ne12th,hdbscan,465,bellevue_116th_ne12th|hdbscan|trial_001,465,100.0,1,bellevue_116th_ne12th|hdbscan|trial_001,465
local,bellevue_116th_ne12th,kmeans,465,bellevue_116th_ne12th|kmeans|trial_009,465,100.0,1,bellevue_116th_ne12th|kmeans|trial_009,465
local,bellevue_116th_ne12th,optics,465,bellevue_116th_ne12th|optics|trial_004,260,55.91397849462365,2,bellevue_116th_ne12th|optics|trial_004,260
local,bellevue_150th_eastgate,hdbscan,465,bellevue_150th_eastgate|hdbscan|trial_005,465,100.0,1,bellevue_150th_eastgate|hdbscan|trial_005,465
local,bellevue_150th_eastgate,kmeans,465,bellevue_150th_eastgate|kmeans|trial_008,465,100.0,1,bellevue_150th_eastgate|kmeans|trial_008,465
local,bellevue_150th_eastgate,optics,465,bellevue_150th_eastgate|optics|trial_015,465,100.0,1,bellevue_150th_eastgate|optics|trial_015,465
local,bellevue_150th_newport,hdbscan,465,bellevue_150th_newport|hdbscan|trial_001,406,87.31182795698925,2,bellevue_150th_newport|hdbscan|trial_001,406
local,bellevue_150th_newport,kmeans,465,bellevue_150th_newport|kmeans|trial_011,464,99.78494623655914,2,bellevue_150th_newport|kmeans|trial_011,464
local,bellevue_150th_newport,optics,465,bellevue_150th_newport|optics|trial_008,465,100.0,1,bellevue_150th_newport|optics|trial_008,465
local,bellevue_150th_se38th,hdbscan,465,bellevue_150th_se38th|hdbscan|trial_002,345,74.19354838709677,2,bellevue_150th_se38th|hdbscan|trial_002,345
local,bellevue_150th_se38th,kmeans,465,bellevue_150th_se38th|kmeans|trial_017,465,100.0,1,bellevue_150th_se38th|kmeans|trial_017,465
local,bellevue_150th_se38th,optics,465,bellevue_150th_se38th|optics|trial_004,465,100.0,1,bellevue_150th_se38th|optics|trial_004,465
local,bellevue_ne8th,hdbscan,465,bellevue_ne8th|hdbscan|trial_003,465,100.0,1,bellevue_ne8th|hdbscan|trial_003,465
local,bellevue_ne8th,kmeans,465,bellevue_ne8th|kmeans|trial_008,465,100.0,1,bellevue_ne8th|kmeans|trial_008,465
local,bellevue_ne8th,optics,465,bellevue_ne8th|optics|trial_016,423,90.96774193548387,2,bellevue_ne8th|optics|trial_016,423
global,bellevue_116th_ne12th,hdbscan,1000,bellevue_116th_ne12th|hdbscan|trial_001,998,99.8,2,bellevue_116th_ne12th|hdbscan|trial_001,998
global,bellevue_116th_ne12th,kmeans,1000,bellevue_116th_ne12th|kmeans|trial_009,951,95.1,3,bellevue_116th_ne12th|kmeans|trial_009,951
global,bellevue_116th_ne12th,optics,1000,bellevue_116th_ne12th|optics|trial_004,433,43.3,4,bellevue_116th_ne12th|optics|trial_003,491
global,bellevue_150th_eastgate,hdbscan,1000,bellevue_150th_eastgate|hdbscan|trial_005,807,80.7,3,bellevue_150th_eastgate|hdbscan|trial_005,807
global,bellevue_150th_eastgate,kmeans,1000,bellevue_150th_eastgate|kmeans|trial_008,876,87.6,8,bellevue_150th_eastgate|kmeans|trial_008,876
global,bellevue_150th_eastgate,optics,1000,bellevue_150th_eastgate|optics|trial_015,698,69.8,6,bellevue_150th_eastgate|optics|trial_015,698
global,bellevue_150th_newport,hdbscan,1000,bellevue_150th_newport|hdbscan|trial_001,628,62.8,2,bellevue_150th_newport|hdbscan|trial_001,628
global,bellevue_150th_newport,kmeans,1000,bellevue_150th_newport|kmeans|trial_011,323,32.300000000000004,6,bellevue_150th_newport|kmeans|trial_011,323
global,bellevue_150th_newport,optics,1000,bellevue_150th_newport|optics|trial_008,568,56.8,8,bellevue_150th_newport|optics|trial_008,568
global,bellevue_150th_se38th,hdbscan,1000,bellevue_150th_se38th|hdbscan|trial_002,431,43.1,5,bellevue_150th_se38th|hdbscan|trial_002,431
global,bellevue_150th_se38th,kmeans,1000,bellevue_150th_se38th|kmeans|trial_017,641,64.1,5,bellevue_150th_se38th|kmeans|trial_017,641
global,bellevue_150th_se38th,optics,1000,bellevue_150th_se38th|optics|trial_004,439,43.9,7,bellevue_150th_se38th|optics|trial_016,456
global,bellevue_ne8th,hdbscan,1000,bellevue_ne8th|hdbscan|trial_003,820,82.0,3,bellevue_ne8th|hdbscan|trial_003,820
global,bellevue_ne8th,kmeans,1000,bellevue_ne8th|kmeans|trial_008,889,88.9,5,bellevue_ne8th|kmeans|trial_008,889
global,bellevue_ne8th,optics,1000,bellevue_ne8th|optics|trial_016,859,85.9,4,bellevue_ne8th|optics|trial_016,859
