source,source_row,scene,method,selection_strategy,trial_index,expected_target,cluster_count_error,pct_outliers,largest_cluster_ratio,silhouette_clustered_only,davies_bouldin_clustered_only,T,O,B,S,D,stored_EMAS_HG,recomputed_EMAS_HG,absolute_difference,tolerance,within_tolerance
development_candidates,0,bellevue_116th_ne12th,kmeans,,1.0,10,8,0.0,0.6829652996845426,0.5335929331086898,0.887839730002715,0.19999999999999996,1.0,0.31703470031545744,0.766796466554345,0.529705983038381,0.4613537149908183,0.46135371499081834,5.551115123125783e-17,1e-12,True
development_candidates,1,bellevue_116th_ne12th,kmeans,,2.0,10,7,0.0,0.4148264984227129,0.6280549876180954,0.6002543079198633,0.30000000000000004,1.0,0.5851735015772871,0.8140274938090477,0.6249006767554831,0.5524101672141818,0.5524101672141818,0.0,1e-12,True
development_candidates,2,bellevue_116th_ne12th,kmeans,,3.0,10,6,0.0,0.4148264984227129,0.7070359096075188,0.4272491765975109,0.4,1.0,0.5851735015772871,0.8535179548037595,0.7006485037069343,0.6139339960087982,0.6139339960087982,0.0,1e-12,True
development_candidates,3,bellevue_116th_ne12th,kmeans,,4.0,10,5,0.0,0.305993690851735,0.7556127080478844,0.3549022259576058,0.5,1.0,0.694006309148265,0.8778063540239422,0.7380606370273167,0.6809873300199524,0.6809873300199524,0.0,1e-12,True
development_candidates,4,bellevue_116th_ne12th,kmeans,,5.0,10,4,0.0,0.277602523659306,0.7854900106671044,0.303072143057064,0.6,1.0,0.722397476340694,0.8927450053335522,0.767417218860927,0.7382559700535173,0.7382559700535173,0.0,1e-12,True
development_candidates,5,bellevue_116th_ne12th,kmeans,,6.0,10,3,0.0,0.277602523659306,0.780474490831128,0.3358238536364373,0.7,1.0,0.722397476340694,0.890237245415564,0.7486016942112217,0.786123641596748,0.786123641596748,0.0,1e-12,True
development_candidates,6,bellevue_116th_ne12th,kmeans,,7.0,10,2,0.0,0.2760252365930599,0.7888828798142948,0.3222821612714975,0.8,1.0,0.7239747634069401,0.8944414399071474,0.7562682378157525,0.8374684441129842,0.8374684441129842,0.0,1e-12,True
development_candidates,7,bellevue_116th_ne12th,kmeans,,8.0,10,1,0.0,0.2760252365930599,0.7928659416523834,0.2985425834651917,0.9,1.0,0.7239747634069401,0.8964329708261918,0.7700941137652,0.8890501847998333,0.8890501847998333,0.0,1e-12,True
development_candidates,8,bellevue_116th_ne12th,kmeans,,9.0,10,0,0.0,0.2760252365930599,0.8066763101492748,0.2688400643466629,1.0,1.0,0.7239747634069401,0.9033381550746373,0.7881213937825245,0.9415434312264102,0.9415434312264103,1.1102230246251565e-16,1e-12,True
development_candidates,9,bellevue_116th_ne12th,kmeans,,10.0,10,1,0.0,0.2618296529968454,0.7626804924606689,0.3743998191396649,0.9,1.0,0.7381703470031546,0.8813402462303345,0.7275903169326459,0.8847100910166135,0.8847100910166135,0.0,1e-12,True
