scene,method,trial_index,fit_random_seed,params_json,n_total,n_clusters,cluster_count_error,n_outliers,pct_outliers,largest_cluster_ratio,fit_time_s,hg_estimated_target,silhouette_clustered_only,davies_bouldin_clustered_only,calinski_harabasz_clustered_only,quick_score,EMAS_HG,error,untargeted_selection_key_json,hg_expected_selection_key_json,selected_untargeted,selected_hg_expected_aware,interval_lower,interval_upper,interval_distance,pcms_strategy_id,selected_pcms,pcms_selection_key_json
bellevue_116th_ne12th,kmeans,1,20260703,"{""max_iter"": 300, ""n_clusters"": 2, ""n_init"": 10}",634,2,8,0,0,0.682965299684543,1.30139619996771,10,0.53359293310869,0.887839730002715,666.903747779104,0.39597952695001,0.461353714990818,,"[-0.5335929331086898, 0.887839730002715, -666.9037477791044, 0.6829652996845426, ""{\""max_iter\"": 300, \""n_clusters\"": 2, \""n_init\"": 10}""]","[8.0, -0.5335929331086898, 0.887839730002715, -666.9037477791044, 0.6829652996845426, ""{\""max_iter\"": 300, \""n_clusters\"": 2, \""n_init\"": 10}""]",False,False,8,13,6,A5,False,
bellevue_116th_ne12th,kmeans,2,20260704,"{""max_iter"": 300, ""n_clusters"": 3, ""n_init"": 10}",634,3,7,0,0,0.414826498422713,0.0233099000761285,10,0.628054987618095,0.600254307919863,928.973261218874,0.439915133376408,0.552410167214182,,"[-0.6280549876180954, 0.6002543079198633, -928.9732612188737, 0.4148264984227129, ""{\""max_iter\"": 300, \""n_clusters\"": 3, \""n_init\"": 10}""]","[7.0, -0.6280549876180954, 0.6002543079198633, -928.9732612188737, 0.4148264984227129, ""{\""max_iter\"": 300, \""n_clusters\"": 3, \""n_init\"": 10}""]",False,False,8,13,5,A5,False,
bellevue_116th_ne12th,kmeans,3,20260705,"{""max_iter"": 300, ""n_clusters"": 4, ""n_init"": 10}",634,4,6,0,0,0.414826498422713,0.0226168999215587,10,0.707035909607519,0.427249176597511,1393.74082483302,0.45747299939488,0.613933996008798,,"[-0.7070359096075188, 0.42724917659751094, -1393.7408248330246, 0.4148264984227129, ""{\""max_iter\"": 300, \""n_clusters\"": 4, \""n_init\"": 10}""]","[6.0, -0.7070359096075188, 0.42724917659751094, -1393.7408248330246, 0.4148264984227129, ""{\""max_iter\"": 300, \""n_clusters\"": 4, \""n_init\"": 10}""]",False,False,8,13,4,A5,False,
bellevue_116th_ne12th,kmeans,4,20260706,"{""max_iter"": 300, ""n_clusters"": 5, ""n_init"": 10}",634,5,5,0,0,0.305993690851735,0.0243704000022262,10,0.755612708047884,0.354902225957606,1981.30771966369,0.485750964835253,0.680987330019952,,"[-0.7556127080478844, 0.35490222595760584, -1981.3077196636934, 0.305993690851735, ""{\""max_iter\"": 300, \""n_clusters\"": 5, \""n_init\"": 10}""]","[5.0, -0.7556127080478844, 0.35490222595760584, -1981.3077196636934, 0.305993690851735, ""{\""max_iter\"": 300, \""n_clusters\"": 5, \""n_init\"": 10}""]",False,False,8,13,3,A5,False,
bellevue_116th_ne12th,kmeans,5,20260707,"{""max_iter"": 300, ""n_clusters"": 6, ""n_init"": 10}",634,6,4,0,0,0.277602523659306,0.0231130000902339,10,0.785490010667104,0.303072143057064,2197.86453852611,0.509885109110471,0.738255970053517,,"[-0.7854900106671044, 0.303072143057064, -2197.864538526107, 0.277602523659306, ""{\""max_iter\"": 300, \""n_clusters\"": 6, \""n_init\"": 10}""]","[4.0, -0.7854900106671044, 0.303072143057064, -2197.864538526107, 0.277602523659306, ""{\""max_iter\"": 300, \""n_clusters\"": 6, \""n_init\"": 10}""]",False,False,8,13,2,A5,False,
bellevue_116th_ne12th,kmeans,6,20260708,"{""max_iter"": 300, ""n_clusters"": 7, ""n_init"": 10}",634,7,3,0,0,0.277602523659306,0.02388490003068,10,0.780474490831128,0.335823853636437,2278.06540289048,0.536193556886187,0.786123641596748,,"[-0.780474490831128, 0.33582385363643735, -2278.065402890479, 0.277602523659306, ""{\""max_iter\"": 300, \""n_clusters\"": 7, \""n_init\"": 10}""]","[3.0, -0.780474490831128, 0.33582385363643735, -2278.065402890479, 0.277602523659306, ""{\""max_iter\"": 300, \""n_clusters\"": 7, \""n_init\"": 10}""]",False,False,8,13,1,A5,False,
bellevue_116th_ne12th,kmeans,7,20260709,"{""max_iter"": 300, ""n_clusters"": 8, ""n_init"": 10}",634,8,2,0,0,0.27602523659306,0.0330885999137535,10,0.788882879814295,0.322282161271498,2562.62644860155,0.58298836555553,0.837468444112984,,"[-0.7888828798142948, 0.32228216127149756, -2562.6264486015484, 0.27602523659305994, ""{\""max_iter\"": 300, \""n_clusters\"": 8, \""n_init\"": 10}""]","[2.0, -0.7888828798142948, 0.32228216127149756, -2562.6264486015484, 0.27602523659305994, ""{\""max_iter\"": 300, \""n_clusters\"": 8, \""n_init\"": 10}""]",False,False,8,13,0,A5,False,
bellevue_116th_ne12th,kmeans,8,20260710,"{""max_iter"": 300, ""n_clusters"": 9, ""n_init"": 10}",634,9,1,0,0,0.27602523659306,0.039405999938026,10,0.792865941652383,0.298542583465192,2828.71687974065,0.675545479111573,0.889050184799833,,"[-0.7928659416523834, 0.2985425834651917, -2828.7168797406484, 0.27602523659305994, ""{\""max_iter\"": 300, \""n_clusters\"": 9, \""n_init\"": 10}""]","[1.0, -0.7928659416523834, 0.2985425834651917, -2828.7168797406484, 0.27602523659305994, ""{\""max_iter\"": 300, \""n_clusters\"": 9, \""n_init\"": 10}""]",False,False,8,13,0,A5,False,
bellevue_116th_ne12th,kmeans,9,20260711,"{""max_iter"": 300, ""n_clusters"": 10, ""n_init"": 10}",634,10,0,0,0,0.27602523659306,0.0421304000774398,10,0.806676310149275,0.268840064346663,3165.89735429552,0.952137361537284,0.94154343122641,,"[-0.8066763101492748, 0.26884006434666297, -3165.89735429552, 0.27602523659305994, ""{\""max_iter\"": 300, \""n_clusters\"": 10, \""n_init\"": 10}""]","[0.0, -0.8066763101492748, 0.26884006434666297, -3165.89735429552, 0.27602523659305994, ""{\""max_iter\"": 300, \""n_clusters\"": 10, \""n_init\"": 10}""]",True,True,8,13,0,A5,True,"[0, -0.8066763101492748, 0.2688400643466629, -3165.89735429552, 0.2760252365930599, ""{\""max_iter\"": 300, \""n_clusters\"": 10, \""n_init\"": 10}""]"
bellevue_116th_ne12th,kmeans,10,20260712,"{""max_iter"": 300, ""n_clusters"": 11, ""n_init"": 10}",634,11,1,0,0,0.261829652996845,0.0430429999250918,10,0.762680492460669,0.374399819139665,3532.17229074842,0.673330575169981,0.884710091016613,,"[-0.7626804924606689, 0.37439981913966497, -3532.1722907484163, 0.2618296529968454, ""{\""max_iter\"": 300, \""n_clusters\"": 11, \""n_init\"": 10}""]","[1.0, -0.7626804924606689, 0.37439981913966497, -3532.1722907484163, 0.2618296529968454, ""{\""max_iter\"": 300, \""n_clusters\"": 11, \""n_init\"": 10}""]",False,False,8,13,0,A5,False,
