scene,variant_id,smg_target,bootstrap_replicates,mode,median,entropy_bits,probability_full_split_target,failed_replicates,distinct_targets,target_histogram_json,interval_80_lower,interval_80_upper,interval_80_width,interval_90_lower,interval_90_upper,interval_90_width,interval_95_lower,interval_95_upper,interval_95_width,interval_level,interval_lower,interval_upper
bellevue_116th_ne12th,sensitivity_heading_w3,10.0,,,,,,,,,,,,,,,,,,,,
bellevue_116th_ne12th,sensitivity_heading_w7,10.0,,,,,,,,,,,,,,,,,,,,
bellevue_116th_ne12th,sensitivity_self_consistency_q090,10.0,,,,,,,,,,,,,,,,,,,,
bellevue_116th_ne12th,sensitivity_self_consistency_q0975,10.0,,,,,,,,,,,,,,,,,,,,
bellevue_150th_newport,sensitivity_heading_w3,8.0,,,,,,,,,,,,,,,,,,,,
bellevue_150th_newport,sensitivity_heading_w7,8.0,,,,,,,,,,,,,,,,,,,,
bellevue_150th_newport,sensitivity_self_consistency_q090,12.0,,,,,,,,,,,,,,,,,,,,
bellevue_150th_newport,sensitivity_self_consistency_q0975,8.0,,,,,,,,,,,,,,,,,,,,
bellevue_150th_eastgate,sensitivity_heading_w3,9.0,,,,,,,,,,,,,,,,,,,,
bellevue_150th_eastgate,sensitivity_heading_w7,9.0,,,,,,,,,,,,,,,,,,,,
bellevue_150th_eastgate,sensitivity_self_consistency_q090,9.0,,,,,,,,,,,,,,,,,,,,
bellevue_150th_eastgate,sensitivity_self_consistency_q0975,9.0,,,,,,,,,,,,,,,,,,,,
bellevue_150th_se38th,sensitivity_heading_w3,10.0,,,,,,,,,,,,,,,,,,,,
bellevue_150th_se38th,sensitivity_heading_w7,10.0,,,,,,,,,,,,,,,,,,,,
bellevue_150th_se38th,sensitivity_self_consistency_q090,12.0,,,,,,,,,,,,,,,,,,,,
bellevue_150th_se38th,sensitivity_self_consistency_q0975,8.0,,,,,,,,,,,,,,,,,,,,
bellevue_ne8th,sensitivity_heading_w3,9.0,,,,,,,,,,,,,,,,,,,,
bellevue_ne8th,sensitivity_heading_w7,9.0,,,,,,,,,,,,,,,,,,,,
bellevue_ne8th,sensitivity_self_consistency_q090,9.0,,,,,,,,,,,,,,,,,,,,
bellevue_ne8th,sensitivity_self_consistency_q0975,9.0,,,,,,,,,,,,,,,,,,,,
bellevue_116th_ne12th,sensitivity_uatp_interval_80,,,10.0,10.0,1.82819656189342,,,,,,,,,,,,,,0.8,8.0,11.0
bellevue_116th_ne12th,sensitivity_uatp_interval_90,,,10.0,10.0,1.82819656189342,,,,,,,,,,,,,,0.9,8.0,13.0
bellevue_116th_ne12th,sensitivity_uatp_interval_95,,,10.0,10.0,1.82819656189342,,,,,,,,,,,,,,0.95,7.0,14.0
bellevue_150th_newport,sensitivity_uatp_interval_80,,,8.0,9.0,2.76167522769819,,,,,,,,,,,,,,0.8,7.0,12.0
bellevue_150th_newport,sensitivity_uatp_interval_90,,,8.0,9.0,2.76167522769819,,,,,,,,,,,,,,0.9,7.0,13.0
bellevue_150th_newport,sensitivity_uatp_interval_95,,,8.0,9.0,2.76167522769819,,,,,,,,,,,,,,0.95,6.0,14.0
bellevue_150th_eastgate,sensitivity_uatp_interval_80,,,9.0,9.0,2.16883747957107,,,,,,,,,,,,,,0.8,7.0,10.0
bellevue_150th_eastgate,sensitivity_uatp_interval_90,,,9.0,9.0,2.16883747957107,,,,,,,,,,,,,,0.9,7.0,11.0
bellevue_150th_eastgate,sensitivity_uatp_interval_95,,,9.0,9.0,2.16883747957107,,,,,,,,,,,,,,0.95,7.0,11.0
bellevue_150th_se38th,sensitivity_uatp_interval_80,,,10.0,10.0,3.45424974621157,,,,,,,,,,,,,,0.8,9.0,17.0
bellevue_150th_se38th,sensitivity_uatp_interval_90,,,10.0,10.0,3.45424974621157,,,,,,,,,,,,,,0.9,8.0,20.0
bellevue_150th_se38th,sensitivity_uatp_interval_95,,,10.0,10.0,3.45424974621157,,,,,,,,,,,,,,0.95,7.0,22.0
bellevue_ne8th,sensitivity_uatp_interval_80,,,9.0,9.0,1.22066243919735,,,,,,,,,,,,,,0.8,9.0,10.0
bellevue_ne8th,sensitivity_uatp_interval_90,,,9.0,9.0,1.22066243919735,,,,,,,,,,,,,,0.9,9.0,10.0
bellevue_ne8th,sensitivity_uatp_interval_95,,,9.0,9.0,1.22066243919735,,,,,,,,,,,,,,0.95,8.0,10.0
