scene,variant_id,role,merge_step,left_members,right_members,merged_members,complete_link_distance
bellevue_116th_ne12th,A7,entry,1,0,3,0;3,0.305359739304629
bellevue_116th_ne12th,A7,entry,2,1,2,1;2,0.37458488432878
bellevue_116th_ne12th,A7,entry,3,0;3,1;2,0;1;2;3,0.893951824145675
bellevue_116th_ne12th,A7,exit,1,0,3,0;3,0.307971705160658
bellevue_116th_ne12th,A7,exit,2,1,2,1;2,0.636919452429071
bellevue_116th_ne12th,A7,exit,3,0;3,1;2,0;1;2;3,0.978153415463501
bellevue_150th_newport,A5,entry,1,1,2,1;2,0.586772045233933
bellevue_150th_newport,A6,entry,1,1,2,1;2,0.586772045233933
bellevue_150th_newport,A7,entry,1,0,3,0;3,0.109536519640858
bellevue_150th_newport,A7,entry,2,1,2,1;2,0.416771668424779
bellevue_150th_newport,A7,entry,3,0;3,1;2,0;1;2;3,0.737647772277324
bellevue_150th_newport,A7,exit,1,1,3,1;3,0.285567850552623
bellevue_150th_newport,A7,exit,2,0,2,0;2,0.497870891210554
bellevue_150th_newport,A9,entry,1,1,2,1;2,0.586772045233933
bellevue_150th_newport,sensitivity_heading_w3,entry,1,1,2,1;2,0.586772045233933
bellevue_150th_newport,sensitivity_heading_w7,entry,1,1,2,1;2,0.586772045233933
bellevue_150th_newport,sensitivity_self_consistency_q0975,entry,1,1,2,1;2,0.463121888604772
bellevue_150th_eastgate,A7,entry,1,0,3,0;3,0.396087559438233
bellevue_150th_eastgate,A7,entry,2,1,2,1;2,0.44349461704532
bellevue_150th_eastgate,A7,exit,1,0,3,0;3,0.511414008060397
bellevue_150th_eastgate,A7,exit,2,1,2,1;2,0.704002709231347
bellevue_150th_se38th,A5,entry,1,4,5,4;5,0.696786632520487
bellevue_150th_se38th,A5,entry,2,1,3,1;3,0.867275105247077
bellevue_150th_se38th,A5,exit,1,1,2,1;2,0.512342113197613
bellevue_150th_se38th,A6,entry,1,4,5,4;5,0.696786632520487
bellevue_150th_se38th,A6,entry,2,1,3,1;3,0.867275105247077
bellevue_150th_se38th,A6,exit,1,1,2,1;2,0.393260868722733
bellevue_150th_se38th,A7,entry,1,5,6,5;6,0.0130272383265204
bellevue_150th_se38th,A7,entry,2,0,2,0;2,0.0521633728011651
bellevue_150th_se38th,A7,entry,3,0;2,5;6,0;2;5;6,0.107251965834266
bellevue_150th_se38th,A7,entry,4,0;2;5;6,4,0;2;4;5;6,0.184729604845756
bellevue_150th_se38th,A7,entry,5,1,3,1;3,0.39751546572282
bellevue_150th_se38th,A7,entry,6,0;2;4;5;6,1;3,0;1;2;3;4;5;6,0.726267813937793
bellevue_150th_se38th,A7,exit,1,0,2,0;2,0.00720919584339131
bellevue_150th_se38th,A7,exit,2,0;2,1,0;1;2,0.720417727906119
bellevue_150th_se38th,A9,entry,1,4,5,4;5,0.696786632520487
bellevue_150th_se38th,A9,entry,2,1,3,1;3,0.867275105247077
bellevue_150th_se38th,A9,exit,1,1,2,1;2,0.509860738982173
bellevue_150th_se38th,sensitivity_heading_w3,entry,1,4,5,4;5,0.696786632520487
bellevue_150th_se38th,sensitivity_heading_w3,entry,2,1,3,1;3,0.867275105247077
bellevue_150th_se38th,sensitivity_heading_w3,exit,1,1,2,1;2,0.511817870915861
bellevue_150th_se38th,sensitivity_heading_w7,entry,1,4,5,4;5,0.696786632520487
bellevue_150th_se38th,sensitivity_heading_w7,entry,2,1,3,1;3,0.867275105247077
bellevue_150th_se38th,sensitivity_heading_w7,exit,1,1,2,1;2,0.518095039603075
bellevue_150th_se38th,sensitivity_self_consistency_q090,entry,1,4,5,4;5,0.832493401631337
bellevue_150th_se38th,sensitivity_self_consistency_q090,exit,1,1,2,1;2,0.534674604512861
bellevue_150th_se38th,sensitivity_self_consistency_q0975,entry,1,1,3,1;3,0.632065737686046
bellevue_150th_se38th,sensitivity_self_consistency_q0975,entry,2,4,5,4;5,0.639481262286292
bellevue_150th_se38th,sensitivity_self_consistency_q0975,entry,3,0,2,0;2,0.925302771240169
bellevue_150th_se38th,sensitivity_self_consistency_q0975,exit,1,1,2,1;2,0.496151607135153
bellevue_ne8th,A7,entry,1,1,2,1;2,0.243458089454041
bellevue_ne8th,A7,entry,2,0,3,0;3,0.346332058883671
bellevue_ne8th,A7,entry,3,0;3,1;2,0;1;2;3,0.974484127937983
bellevue_ne8th,A7,exit,1,0,1,0;1,0.380228881189829
