scene,role,micro_region,n_support,n_finite_bearings,n_finite_headings,centroid_x_topview,centroid_y_topview,role_center_x_topview,role_center_y_topview,bearing,heading,bearing_circular_mad,heading_circular_mad,bearing_radius,heading_radius,self_consistency_quantile,bootstrap_replicates,bootstrap_seed,invalid_bearing_descriptor,invalid_heading_descriptor,zero_support_region,variant_id
bellevue_116th_ne12th,entry,0,325,325,325,1098.57910341021,355.982989210099,957.138674029365,358.948026171591,-0.0209600802036196,-0.209865143879683,0.0361402632532388,0.123725386476488,0.226663227768626,1.32115755345615,0.95,500,1420300885,False,False,False,A5
bellevue_116th_ne12th,entry,1,226,226,226,691.603045515111,451.892365661022,957.138674029365,358.948026171591,2.80489478727371,2.7422542343399,0.0283354172254038,0.22417568691477,0.125624296158692,1.98116735766626,0.95,500,2061809336,False,False,False,A5
bellevue_116th_ne12th,entry,2,91,91,91,892.445637326474,225.668752738448,957.138674029365,358.948026171591,-2.02269147640987,-2.2028650425316,0.0883190574079871,0.121409869189904,0.477957126894581,1.59096298257898,0.95,500,1138608299,False,False,False,A5
bellevue_116th_ne12th,entry,3,81,81,81,956.720274298413,609.407593091865,957.138674029365,358.948026171591,1.57246685328703,0.838600068776466,0.00734214408138367,0.228387242544669,0.112451172905308,2.11238353825336,0.95,500,1088857149,False,False,False,A5
bellevue_116th_ne12th,exit,0,223,223,223,1108.20870778447,397.010882953129,931.06620031253,400.0710631337,-0.0172735265975881,2.66077048794953,0.0286944586138413,0.118256362890167,0.0861078632179643,0.952199196429575,0.95,500,1414617986,False,False,False,A5
bellevue_116th_ne12th,exit,1,282,282,282,686.891508138712,401.181228173192,931.06620031253,400.0710631337,3.13704608334502,-1.04523669339794,0.0994876770788591,0.241443290157374,0.283974473080554,1.68253895925219,0.95,500,261846655,False,False,False,A5
bellevue_116th_ne12th,exit,2,104,104,104,943.646134267774,258.363712426312,931.06620031253,400.0710631337,-1.4822543950891,0.896654420460308,0.057110906049139,0.119845552770802,0.251899263824349,1.36634125072146,0.95,500,1502572934,False,False,False,A5
bellevue_116th_ne12th,exit,3,114,114,114,923.544731006871,690.613046548275,931.06620031253,400.0710631337,1.59667826530687,-2.65701533216972,0.0490034362451128,0.211263699006834,0.303897166868636,2.18250269625478,0.95,500,1959908453,False,False,False,A5
bellevue_116th_ne12th,entry,0,325,325,325,1098.57910341021,355.982989210099,957.138674029365,358.948026171591,-0.0209600802036196,-0.209865143879683,0.0361402632532388,0.123725386476488,0.226663227768626,1.32115755345615,0.95,500,1420300885,False,False,False,A6
bellevue_116th_ne12th,entry,1,226,226,226,691.603045515111,451.892365661022,957.138674029365,358.948026171591,2.80489478727371,2.7422542343399,0.0283354172254038,0.22417568691477,0.125624296158692,1.98116735766626,0.95,500,2061809336,False,False,False,A6
bellevue_116th_ne12th,entry,2,91,91,91,892.445637326474,225.668752738448,957.138674029365,358.948026171591,-2.02269147640987,-2.2028650425316,0.0883190574079871,0.121409869189904,0.477957126894581,1.59096298257898,0.95,500,1138608299,False,False,False,A6
bellevue_116th_ne12th,entry,3,81,81,81,956.720274298413,609.407593091865,957.138674029365,358.948026171591,1.57246685328703,0.838600068776466,0.00734214408138367,0.228387242544669,0.112451172905308,2.11238353825336,0.95,500,1088857149,False,False,False,A6
bellevue_116th_ne12th,exit,0,223,223,223,1108.20870778447,397.010882953129,931.06620031253,400.0710631337,-0.0172735265975881,2.66077048794953,0.0286944586138413,0.118256362890167,0.0861078632179643,0.952199196429575,0.95,500,1414617986,False,False,False,A6
bellevue_116th_ne12th,exit,1,282,282,282,686.891508138712,401.181228173192,931.06620031253,400.0710631337,3.13704608334502,-1.04523669339794,0.0994876770788591,0.241443290157374,0.283974473080554,1.68253895925219,0.95,500,261846655,False,False,False,A6
bellevue_116th_ne12th,exit,2,104,104,104,943.646134267774,258.363712426312,931.06620031253,400.0710631337,-1.4822543950891,0.896654420460308,0.057110906049139,0.119845552770802,0.251899263824349,1.36634125072146,0.95,500,1502572934,False,False,False,A6
bellevue_116th_ne12th,exit,3,114,114,114,923.544731006871,690.613046548275,931.06620031253,400.0710631337,1.59667826530687,-2.65701533216972,0.0490034362451128,0.211263699006834,0.303897166868636,2.18250269625478,0.95,500,1959908453,False,False,False,A6
bellevue_116th_ne12th,entry,0,325,325,325,1098.57910341021,355.982989210099,957.138674029365,358.948026171591,-0.0209600802036196,-0.209865143879683,0.0361402632532388,0.123725386476488,0.226663227768626,1.32115755345615,0.95,500,1420300885,False,False,False,A7
bellevue_116th_ne12th,entry,1,226,226,226,691.603045515111,451.892365661022,957.138674029365,358.948026171591,2.80489478727371,2.7422542343399,0.0283354172254038,0.22417568691477,0.125624296158692,1.98116735766626,0.95,500,2061809336,False,False,False,A7
bellevue_116th_ne12th,entry,2,91,91,91,892.445637326474,225.668752738448,957.138674029365,358.948026171591,-2.02269147640987,-2.2028650425316,0.0883190574079871,0.121409869189904,0.477957126894581,1.59096298257898,0.95,500,1138608299,False,False,False,A7
