scene,variant_id,role,left_micro_region,right_micro_region,bearing_separation,heading_separation,combined_bearing_radius,combined_heading_radius,bearing_ratio,heading_ratio,primary_distance,compatible,od_profile_js_distance_diagnostic
bellevue_116th_ne12th,A5,entry,0,1,2.82585486747733,2.95211937821958,0.352287523927318,3.30232491112241,8.02144463129026,0.893951824145675,8.02144463129026,False,0.977170655732344
bellevue_116th_ne12th,A5,entry,0,2,2.00173139620625,1.99299989865191,0.704620354663208,2.91212053603513,2.84086513107194,0.684380977363456,2.84086513107194,False,0.752509178355325
bellevue_116th_ne12th,A5,entry,0,3,1.59342693349065,1.04846521265615,0.339114400673934,3.43354109170951,4.69878875778785,0.305359739304629,4.69878875778785,False,0.953603656461611
bellevue_116th_ne12th,A5,entry,1,2,1.455599043496,1.33806603030809,0.603581423053274,3.57213034024524,2.4116034521618,0.37458488432878,2.4116034521618,False,0.854811943979586
bellevue_116th_ne12th,A5,entry,1,3,1.23242793398668,1.90365416556344,0.238075469064,4.09355089591962,5.17662713773915,0.465037375609759,5.17662713773915,False,0.790141983186268
bellevue_116th_ne12th,A5,entry,2,3,2.68802697748268,3.04146511130806,0.59040829979989,3.70334652083234,4.55282721871246,0.821274783280201,4.55282721871246,False,0.95693943087606
bellevue_116th_ne12th,A5,exit,0,1,3.12886569723698,2.57717812583212,0.370082336298518,2.63473815568176,8.45451238913804,0.978153415463501,8.45451238913804,False,0.98429192685594
bellevue_116th_ne12th,A5,exit,0,2,1.46498086849152,1.76411606748922,0.338007127042314,2.31854044715103,4.33417153451952,0.760873535614581,4.33417153451952,False,0.754345479581908
bellevue_116th_ne12th,A5,exit,0,3,1.61395179190446,0.965399487060342,0.3900050300866,3.13470189268436,4.13828455378148,0.307971705160658,4.13828455378148,False,0.933487303581228
bellevue_116th_ne12th,A5,exit,1,2,1.66388482874546,1.94189111385825,0.535873736904903,3.04888020997365,3.10499416962607,0.636919452429071,3.10499416962607,False,0.885140498822609
bellevue_116th_ne12th,A5,exit,1,3,1.54036781803815,1.61177863877178,0.58787163994919,3.86504165550697,2.62024515789074,0.417014558297267,2.62024515789074,False,0.615184239205354
bellevue_116th_ne12th,A5,exit,2,3,3.07893266039597,2.72951555454956,0.555796430692985,3.54884394697624,5.53967692192097,0.769128086591472,5.53967692192097,False,0.918181875091132
bellevue_116th_ne12th,A6,entry,0,1,2.82585486747733,2.95211937821958,0.352287523927318,3.30232491112241,8.02144463129026,0.893951824145675,8.02144463129026,False,0.977170655732344
bellevue_116th_ne12th,A6,entry,0,2,2.00173139620625,1.99299989865191,0.704620354663208,2.91212053603513,2.84086513107194,0.684380977363456,2.84086513107194,False,0.752509178355325
bellevue_116th_ne12th,A6,entry,0,3,1.59342693349065,1.04846521265615,0.339114400673934,3.43354109170951,4.69878875778785,0.305359739304629,4.69878875778785,False,0.953603656461611
bellevue_116th_ne12th,A6,entry,1,2,1.455599043496,1.33806603030809,0.603581423053274,3.57213034024524,2.4116034521618,0.37458488432878,2.4116034521618,False,0.854811943979586
bellevue_116th_ne12th,A6,entry,1,3,1.23242793398668,1.90365416556344,0.238075469064,4.09355089591962,5.17662713773915,0.465037375609759,5.17662713773915,False,0.790141983186268
bellevue_116th_ne12th,A6,entry,2,3,2.68802697748268,3.04146511130806,0.59040829979989,3.70334652083234,4.55282721871246,0.821274783280201,4.55282721871246,False,0.95693943087606
bellevue_116th_ne12th,A6,exit,0,1,3.12886569723698,2.57717812583212,0.370082336298518,2.63473815568176,8.45451238913804,0.978153415463501,8.45451238913804,False,0.98429192685594
bellevue_116th_ne12th,A6,exit,0,2,1.46498086849152,1.76411606748922,0.338007127042314,2.31854044715103,4.33417153451952,0.760873535614581,4.33417153451952,False,0.754345479581908
bellevue_116th_ne12th,A6,exit,0,3,1.61395179190446,0.965399487060342,0.3900050300866,3.13470189268436,4.13828455378148,0.307971705160658,4.13828455378148,False,0.933487303581228
bellevue_116th_ne12th,A6,exit,1,2,1.66388482874546,1.94189111385825,0.535873736904903,3.04888020997365,3.10499416962607,0.636919452429071,3.10499416962607,False,0.885140498822609
bellevue_116th_ne12th,A6,exit,1,3,1.54036781803815,1.61177863877178,0.58787163994919,3.86504165550697,2.62024515789074,0.417014558297267,2.62024515789074,False,0.615184239205354
bellevue_116th_ne12th,A6,exit,2,3,3.07893266039597,2.72951555454956,0.555796430692985,3.54884394697624,5.53967692192097,0.769128086591472,5.53967692192097,False,0.918181875091132
bellevue_116th_ne12th,A7,entry,0,1,2.82585486747733,2.95211937821958,0.352287523927318,3.30232491112241,8.02144463129026,0.893951824145675,0.893951824145675,True,0.977170655732344
bellevue_116th_ne12th,A7,entry,0,2,2.00173139620625,1.99299989865191,0.704620354663208,2.91212053603513,2.84086513107194,0.684380977363456,0.684380977363456,True,0.752509178355325
bellevue_116th_ne12th,A7,entry,0,3,1.59342693349065,1.04846521265615,0.339114400673934,3.43354109170951,4.69878875778785,0.305359739304629,0.305359739304629,True,0.953603656461611
bellevue_116th_ne12th,A7,entry,1,2,1.455599043496,1.33806603030809,0.603581423053274,3.57213034024524,2.4116034521618,0.37458488432878,0.37458488432878,True,0.854811943979586
bellevue_116th_ne12th,A7,entry,1,3,1.23242793398668,1.90365416556344,0.238075469064,4.09355089591962,5.17662713773915,0.465037375609759,0.465037375609759,True,0.790141983186268
bellevue_116th_ne12th,A7,entry,2,3,2.68802697748268,3.04146511130806,0.59040829979989,3.70334652083234,4.55282721871246,0.821274783280201,0.821274783280201,True,0.95693943087606
bellevue_116th_ne12th,A7,exit,0,1,3.12886569723698,2.57717812583212,0.370082336298518,2.63473815568176,8.45451238913804,0.978153415463501,0.978153415463501,True,0.98429192685594
