scene,role,microregion_count,supernode_count,merge_count,invalid_descriptor_regions,compatible_pair_count,distance_min,distance_median,distance_max,minimum_margin_to_D1,bearing_radius_min,bearing_radius_median,bearing_radius_max,heading_radius_min,heading_radius_median,heading_radius_max
bellevue_116th_ne12th,entry,4,4,0,0,0,2.4116034521618,4.62580798825016,8.02144463129026,1.4116034521618,0.112451172905308,0.176143761963659,0.477957126894581,1.32115755345615,1.78606517012262,2.11238353825336
bellevue_116th_ne12th,exit,4,4,0,0,0,2.62024515789074,4.2362280441505,8.45451238913804,1.62024515789074,0.0861078632179643,0.267936868452452,0.303897166868636,0.952199196429575,1.52444010498683,2.18250269625478
bellevue_150th_newport,entry,4,3,1,0,1,0.586772045233933,1.88557833432845,3.49661423720345,0.37501065192627,0.224739109452817,0.42630077428615,1.00996795214331,0.944876561422159,2.59708252859232,2.91904302206315
bellevue_150th_newport,exit,4,4,0,0,0,5.04814368479363,8.64861732652249,14.8878426605576,4.04814368479363,0.0624011597785451,0.105931081358284,0.175474139621783,0.213925587676274,1.51232346811875,2.35254107104136
bellevue_150th_eastgate,entry,4,4,0,0,0,1.34469935187601,2.89728463076583,4.41884256071086,0.34469935187601,0.190777107509447,0.314639967311998,0.485373148787544,0.825234314896832,1.5219489208919,2.50676960340576
bellevue_150th_eastgate,exit,4,4,0,0,0,1.95798209522575,2.98168300729044,8.78325285729125,0.95798209522575,0.104041378017706,0.31678424153876,0.470399636152172,0.37709075926794,1.20393296235683,1.89112384075467
bellevue_150th_se38th,entry,7,5,2,0,2,0.696786632520487,2.12200061922129,4.55452310790409,0.0441656770380301,0.188992801874048,0.358593259534555,0.5549690676824,1.22086458553737,1.83291001750104,2.9279352789494
bellevue_150th_se38th,exit,3,2,1,0,1,0.512342113197613,1.02569586011976,1.97997961855287,0.0256958601197601,0.643787018012494,0.922674898110136,1.39684497386355,1.10295639908794,2.74252181608604,3.06736032567982
bellevue_ne8th,entry,4,4,0,0,0,2.48093121038289,4.17811323090561,7.99885520438525,1.48093121038289,0.137445328942356,0.193672656206819,0.45053183254289,0.869282979531254,1.91810238356433,2.17464713825042
bellevue_ne8th,exit,4,4,0,0,0,4.22433401891633,6.88353589064804,10.8390136579438,3.22433401891633,0.0581232414431607,0.109008240292547,0.270487042243379,0.30052701313801,1.02523977032645,1.55174096242878
