scene,variant_id,role,micro_region,supernode_id
bellevue_116th_ne12th,A5,entry,0,entry:S01
bellevue_116th_ne12th,A5,entry,1,entry:S03
bellevue_116th_ne12th,A5,entry,2,entry:S00
bellevue_116th_ne12th,A5,entry,3,entry:S02
bellevue_116th_ne12th,A5,exit,0,exit:S01
bellevue_116th_ne12th,A5,exit,1,exit:S03
bellevue_116th_ne12th,A5,exit,2,exit:S00
bellevue_116th_ne12th,A5,exit,3,exit:S02
bellevue_116th_ne12th,A6,entry,0,entry:S01
bellevue_116th_ne12th,A6,entry,1,entry:S03
bellevue_116th_ne12th,A6,entry,2,entry:S00
bellevue_116th_ne12th,A6,entry,3,entry:S02
bellevue_116th_ne12th,A6,exit,0,exit:S01
bellevue_116th_ne12th,A6,exit,1,exit:S03
bellevue_116th_ne12th,A6,exit,2,exit:S00
bellevue_116th_ne12th,A6,exit,3,exit:S02
bellevue_116th_ne12th,A7,entry,0,entry:S00
bellevue_116th_ne12th,A7,entry,1,entry:S00
bellevue_116th_ne12th,A7,entry,2,entry:S00
bellevue_116th_ne12th,A7,entry,3,entry:S00
bellevue_116th_ne12th,A7,exit,0,exit:S00
bellevue_116th_ne12th,A7,exit,1,exit:S00
bellevue_116th_ne12th,A7,exit,2,exit:S00
bellevue_116th_ne12th,A7,exit,3,exit:S00
bellevue_116th_ne12th,A9,entry,0,entry:S01
bellevue_116th_ne12th,A9,entry,1,entry:S03
bellevue_116th_ne12th,A9,entry,2,entry:S00
bellevue_116th_ne12th,A9,entry,3,entry:S02
bellevue_116th_ne12th,A9,exit,0,exit:S01
bellevue_116th_ne12th,A9,exit,1,exit:S03
bellevue_116th_ne12th,A9,exit,2,exit:S00
bellevue_116th_ne12th,A9,exit,3,exit:S02
bellevue_116th_ne12th,sensitivity_heading_w3,entry,0,entry:S01
bellevue_116th_ne12th,sensitivity_heading_w3,entry,1,entry:S03
bellevue_116th_ne12th,sensitivity_heading_w3,entry,2,entry:S00
bellevue_116th_ne12th,sensitivity_heading_w3,entry,3,entry:S02
bellevue_116th_ne12th,sensitivity_heading_w3,exit,0,exit:S01
bellevue_116th_ne12th,sensitivity_heading_w3,exit,1,exit:S03
bellevue_116th_ne12th,sensitivity_heading_w3,exit,2,exit:S00
bellevue_116th_ne12th,sensitivity_heading_w3,exit,3,exit:S02
bellevue_116th_ne12th,sensitivity_heading_w7,entry,0,entry:S01
bellevue_116th_ne12th,sensitivity_heading_w7,entry,1,entry:S03
bellevue_116th_ne12th,sensitivity_heading_w7,entry,2,entry:S00
bellevue_116th_ne12th,sensitivity_heading_w7,entry,3,entry:S02
bellevue_116th_ne12th,sensitivity_heading_w7,exit,0,exit:S01
bellevue_116th_ne12th,sensitivity_heading_w7,exit,1,exit:S03
bellevue_116th_ne12th,sensitivity_heading_w7,exit,2,exit:S00
bellevue_116th_ne12th,sensitivity_heading_w7,exit,3,exit:S02
bellevue_116th_ne12th,sensitivity_self_consistency_q090,entry,0,entry:S01
bellevue_116th_ne12th,sensitivity_self_consistency_q090,entry,1,entry:S03
bellevue_116th_ne12th,sensitivity_self_consistency_q090,entry,2,entry:S00
bellevue_116th_ne12th,sensitivity_self_consistency_q090,entry,3,entry:S02
bellevue_116th_ne12th,sensitivity_self_consistency_q090,exit,0,exit:S01
bellevue_116th_ne12th,sensitivity_self_consistency_q090,exit,1,exit:S03
bellevue_116th_ne12th,sensitivity_self_consistency_q090,exit,2,exit:S00
bellevue_116th_ne12th,sensitivity_self_consistency_q090,exit,3,exit:S02
bellevue_116th_ne12th,sensitivity_self_consistency_q0975,entry,0,entry:S01
bellevue_116th_ne12th,sensitivity_self_consistency_q0975,entry,1,entry:S03
bellevue_116th_ne12th,sensitivity_self_consistency_q0975,entry,2,entry:S00
bellevue_116th_ne12th,sensitivity_self_consistency_q0975,entry,3,entry:S02
bellevue_116th_ne12th,sensitivity_self_consistency_q0975,exit,0,exit:S01
bellevue_116th_ne12th,sensitivity_self_consistency_q0975,exit,1,exit:S03
bellevue_116th_ne12th,sensitivity_self_consistency_q0975,exit,2,exit:S00
bellevue_116th_ne12th,sensitivity_self_consistency_q0975,exit,3,exit:S02
bellevue_150th_newport,A5,entry,0,entry:S00
bellevue_150th_newport,A5,entry,1,entry:S02
bellevue_150th_newport,A5,entry,2,entry:S02
bellevue_150th_newport,A5,entry,3,entry:S01
bellevue_150th_newport,A5,exit,0,exit:S00
bellevue_150th_newport,A5,exit,1,exit:S01
bellevue_150th_newport,A5,exit,2,exit:S03
bellevue_150th_newport,A5,exit,3,exit:S02
bellevue_150th_newport,A6,entry,0,entry:S00
bellevue_150th_newport,A6,entry,1,entry:S02
bellevue_150th_newport,A6,entry,2,entry:S02
bellevue_150th_newport,A6,entry,3,entry:S01
bellevue_150th_newport,A6,exit,0,exit:S00
bellevue_150th_newport,A6,exit,1,exit:S01
bellevue_150th_newport,A6,exit,2,exit:S03
bellevue_150th_newport,A6,exit,3,exit:S02
bellevue_150th_newport,A7,entry,0,entry:S00
bellevue_150th_newport,A7,entry,1,entry:S00
bellevue_150th_newport,A7,entry,2,entry:S00
bellevue_150th_newport,A7,entry,3,entry:S00
bellevue_150th_newport,A7,exit,0,exit:S01
bellevue_150th_newport,A7,exit,1,exit:S00
bellevue_150th_newport,A7,exit,2,exit:S01
bellevue_150th_newport,A7,exit,3,exit:S00
bellevue_150th_newport,A9,entry,0,entry:S00
bellevue_150th_newport,A9,entry,1,entry:S02
