scene,variant_id,role,supernode_id,member_micro_regions,n_micro_regions,n_support,bearing,heading,contains_invalid_descriptor
bellevue_116th_ne12th,A5,entry,entry:S00,2,1,91,-2.02269147640987,-2.2028650425316,False
bellevue_116th_ne12th,A5,entry,entry:S01,0,1,325,-0.0209600802036194,-0.209865143879683,False
bellevue_116th_ne12th,A5,entry,entry:S02,3,1,81,1.57246685328703,0.838600068776466,False
bellevue_116th_ne12th,A5,entry,entry:S03,1,1,226,2.80489478727371,2.7422542343399,False
bellevue_116th_ne12th,A5,exit,exit:S00,2,1,104,-1.4822543950891,0.896654420460308,False
bellevue_116th_ne12th,A5,exit,exit:S01,0,1,223,-0.0172735265975881,2.66077048794953,False
bellevue_116th_ne12th,A5,exit,exit:S02,3,1,114,1.59667826530687,-2.65701533216972,False
bellevue_116th_ne12th,A5,exit,exit:S03,1,1,282,3.13704608334502,-1.04523669339794,False
bellevue_116th_ne12th,A6,entry,entry:S00,2,1,91,-2.02269147640987,-2.2028650425316,False
bellevue_116th_ne12th,A6,entry,entry:S01,0,1,325,-0.0209600802036194,-0.209865143879683,False
bellevue_116th_ne12th,A6,entry,entry:S02,3,1,81,1.57246685328703,0.838600068776466,False
bellevue_116th_ne12th,A6,entry,entry:S03,1,1,226,2.80489478727371,2.7422542343399,False
bellevue_116th_ne12th,A6,exit,exit:S00,2,1,104,-1.4822543950891,0.896654420460308,False
bellevue_116th_ne12th,A6,exit,exit:S01,0,1,223,-0.0172735265975881,2.66077048794953,False
bellevue_116th_ne12th,A6,exit,exit:S02,3,1,114,1.59667826530687,-2.65701533216972,False
bellevue_116th_ne12th,A6,exit,exit:S03,1,1,282,3.13704608334502,-1.04523669339794,False
bellevue_116th_ne12th,A7,entry,entry:S00,0;1;2;3,4,723,1.57246685328703,-0.209865143879683,False
bellevue_116th_ne12th,A7,exit,exit:S00,0;1;2;3,4,723,-1.4822543950891,-2.65701533216972,False
bellevue_116th_ne12th,A9,entry,entry:S00,2,1,91,-2.02269147640987,1.902343447993,False
bellevue_116th_ne12th,A9,entry,entry:S01,0,1,325,-0.0209600802036194,-2.88656748482245,False
bellevue_116th_ne12th,A9,entry,entry:S02,3,1,81,1.57246685328703,-1.64553962676289,False
bellevue_116th_ne12th,A9,entry,entry:S03,1,1,226,2.80489478727371,-0.18706831366955,False
bellevue_116th_ne12th,A9,exit,exit:S00,2,1,104,-1.4822543950891,-1.62005784859565,False
bellevue_116th_ne12th,A9,exit,exit:S01,0,1,223,-0.0172735265975881,-0.510546291917501,False
bellevue_116th_ne12th,A9,exit,exit:S02,3,1,114,1.59667826530687,1.3371748539839,False
bellevue_116th_ne12th,A9,exit,exit:S03,1,1,282,3.13704608334502,2.74279101084982,False
bellevue_116th_ne12th,sensitivity_heading_w3,entry,entry:S00,2,1,91,-2.02269147640987,-2.20555099849337,False
bellevue_116th_ne12th,sensitivity_heading_w3,entry,entry:S01,0,1,325,-0.0209600802036194,-0.198811491344781,False
bellevue_116th_ne12th,sensitivity_heading_w3,entry,entry:S02,3,1,81,1.57246685328703,0.796159712412425,False
bellevue_116th_ne12th,sensitivity_heading_w3,entry,entry:S03,1,1,226,2.80489478727371,2.71176837142357,False
bellevue_116th_ne12th,sensitivity_heading_w3,exit,exit:S00,2,1,104,-1.4822543950891,0.890872272121012,False
