scene,variant_id,entry_supernode,exit_supernode,od_pair,count,share,supported_at_selected_threshold
bellevue_116th_ne12th,A5,entry:S00,exit:S01,entry:S00>exit:S01,11,0.0152143845089903,True
bellevue_116th_ne12th,A5,entry:S00,exit:S02,entry:S00>exit:S02,74,0.102351313969571,True
bellevue_116th_ne12th,A5,entry:S00,exit:S03,entry:S00>exit:S03,6,0.00829875518672199,True
bellevue_116th_ne12th,A5,entry:S01,exit:S00,entry:S01>exit:S00,9,0.012448132780083,True
bellevue_116th_ne12th,A5,entry:S01,exit:S02,entry:S01>exit:S02,40,0.0553250345781466,True
bellevue_116th_ne12th,A5,entry:S01,exit:S03,entry:S01>exit:S03,276,0.381742738589212,True
bellevue_116th_ne12th,A5,entry:S02,exit:S00,entry:S02>exit:S00,76,0.105117565698479,True
bellevue_116th_ne12th,A5,entry:S02,exit:S01,entry:S02>exit:S01,5,0.00691562932226833,True
bellevue_116th_ne12th,A5,entry:S03,exit:S00,entry:S03>exit:S00,19,0.0262793914246196,True
bellevue_116th_ne12th,A5,entry:S03,exit:S01,entry:S03>exit:S01,207,0.286307053941909,True
bellevue_116th_ne12th,A6,entry:S00,exit:S01,entry:S00>exit:S01,11,0.0152143845089903,True
bellevue_116th_ne12th,A6,entry:S00,exit:S02,entry:S00>exit:S02,74,0.102351313969571,True
bellevue_116th_ne12th,A6,entry:S00,exit:S03,entry:S00>exit:S03,6,0.00829875518672199,True
bellevue_116th_ne12th,A6,entry:S01,exit:S00,entry:S01>exit:S00,9,0.012448132780083,True
bellevue_116th_ne12th,A6,entry:S01,exit:S02,entry:S01>exit:S02,40,0.0553250345781466,True
bellevue_116th_ne12th,A6,entry:S01,exit:S03,entry:S01>exit:S03,276,0.381742738589212,True
bellevue_116th_ne12th,A6,entry:S02,exit:S00,entry:S02>exit:S00,76,0.105117565698479,True
bellevue_116th_ne12th,A6,entry:S02,exit:S01,entry:S02>exit:S01,5,0.00691562932226833,True
bellevue_116th_ne12th,A6,entry:S03,exit:S00,entry:S03>exit:S00,19,0.0262793914246196,True
bellevue_116th_ne12th,A6,entry:S03,exit:S01,entry:S03>exit:S01,207,0.286307053941909,True
bellevue_116th_ne12th,A7,entry:S00,exit:S00,entry:S00>exit:S00,723,1,True
bellevue_116th_ne12th,A9,entry:S00,exit:S01,entry:S00>exit:S01,11,0.0152143845089903,True
bellevue_116th_ne12th,A9,entry:S00,exit:S02,entry:S00>exit:S02,74,0.102351313969571,True
bellevue_116th_ne12th,A9,entry:S00,exit:S03,entry:S00>exit:S03,6,0.00829875518672199,True
bellevue_116th_ne12th,A9,entry:S01,exit:S00,entry:S01>exit:S00,9,0.012448132780083,True
bellevue_116th_ne12th,A9,entry:S01,exit:S02,entry:S01>exit:S02,40,0.0553250345781466,True
bellevue_116th_ne12th,A9,entry:S01,exit:S03,entry:S01>exit:S03,276,0.381742738589212,True
bellevue_116th_ne12th,A9,entry:S02,exit:S00,entry:S02>exit:S00,76,0.105117565698479,True
bellevue_116th_ne12th,A9,entry:S02,exit:S01,entry:S02>exit:S01,5,0.00691562932226833,True
bellevue_116th_ne12th,A9,entry:S03,exit:S00,entry:S03>exit:S00,19,0.0262793914246196,True
bellevue_116th_ne12th,A9,entry:S03,exit:S01,entry:S03>exit:S01,207,0.286307053941909,True
