scene,variant_id,n_entry_supernodes,n_exit_supernodes,support_threshold,support_threshold_percent,smg_target,supported_trajectory_coverage,valid_assignment_denominator,missing_geometry_count,supported_edges,unsupported_edges,zero_supported_edges
bellevue_116th_ne12th,A5,4,4,0.0025,0.25,10,1,723,0,10,0,False
bellevue_116th_ne12th,A6,4,4,0.0025,0.25,10,1,723,0,10,0,False
bellevue_116th_ne12th,A7,1,1,0.005,0.5,1,1,723,0,1,0,False
bellevue_116th_ne12th,A9,4,4,0.0025,0.25,10,1,723,0,10,0,False
bellevue_116th_ne12th,sensitivity_heading_w3,4,4,0.0025,0.25,10,1,723,0,10,0,False
bellevue_116th_ne12th,sensitivity_heading_w7,4,4,0.0025,0.25,10,1,723,0,10,0,False
bellevue_116th_ne12th,sensitivity_self_consistency_q090,4,4,0.0025,0.25,10,1,723,0,10,0,False
bellevue_116th_ne12th,sensitivity_self_consistency_q0975,4,4,0.0025,0.25,10,1,723,0,10,0,False
bellevue_150th_newport,A5,3,4,0.001,0.1,8,1,2423,0,8,0,False
bellevue_150th_newport,A6,3,4,0.001,0.1,8,1,2423,0,8,0,False
bellevue_150th_newport,A7,1,2,0.005,0.5,2,1,2423,0,2,0,False
bellevue_150th_newport,A9,3,4,0.001,0.1,8,1,2423,0,8,0,False
bellevue_150th_newport,sensitivity_heading_w3,3,4,0.001,0.1,8,1,2423,0,8,0,False
bellevue_150th_newport,sensitivity_heading_w7,3,4,0.001,0.1,8,1,2423,0,8,0,False
bellevue_150th_newport,sensitivity_self_consistency_q090,4,4,0.001,0.1,12,1,2423,0,12,0,False
bellevue_150th_newport,sensitivity_self_consistency_q0975,3,4,0.001,0.1,8,1,2423,0,8,0,False
bellevue_150th_eastgate,A5,4,4,0.005,0.5,9,0.994266055045872,8720,0,9,3,False
bellevue_150th_eastgate,A6,4,4,0.005,0.5,9,0.994266055045872,8720,0,9,3,False
bellevue_150th_eastgate,A7,2,2,0.005,0.5,4,1,8720,0,4,0,False
bellevue_150th_eastgate,A9,4,4,0.005,0.5,9,0.994266055045872,8720,0,9,3,False
bellevue_150th_eastgate,sensitivity_heading_w3,4,4,0.005,0.5,9,0.994266055045872,8720,0,9,3,False
bellevue_150th_eastgate,sensitivity_heading_w7,4,4,0.005,0.5,9,0.994266055045872,8720,0,9,3,False
bellevue_150th_eastgate,sensitivity_self_consistency_q090,4,4,0.005,0.5,9,0.994266055045872,8720,0,9,3,False
bellevue_150th_eastgate,sensitivity_self_consistency_q0975,4,4,0.005,0.5,9,0.994266055045872,8720,0,9,3,False
bellevue_150th_se38th,A5,5,2,0.001,0.1,10,1,2482,0,10,0,False
bellevue_150th_se38th,A6,5,2,0.001,0.1,10,1,2482,0,10,0,False
bellevue_150th_se38th,A7,1,1,0.005,0.5,1,1,2482,0,1,0,False
bellevue_150th_se38th,A9,5,2,0.001,0.1,10,1,2482,0,10,0,False
bellevue_150th_se38th,sensitivity_heading_w3,5,2,0.001,0.1,10,1,2482,0,10,0,False
bellevue_150th_se38th,sensitivity_heading_w7,5,2,0.001,0.1,10,1,2482,0,10,0,False
bellevue_150th_se38th,sensitivity_self_consistency_q090,6,2,0.001,0.1,12,1,2482,0,12,0,False
bellevue_150th_se38th,sensitivity_self_consistency_q0975,4,2,0.001,0.1,8,1,2482,0,8,0,False
bellevue_ne8th,A5,4,4,0.005,0.5,9,0.997489239598278,5576,0,9,2,False
bellevue_ne8th,A6,4,4,0.005,0.5,9,0.997489239598278,5576,0,9,2,False
bellevue_ne8th,A7,1,3,0.005,0.5,3,1,5576,0,3,0,False
bellevue_ne8th,A9,4,4,0.005,0.5,9,0.997489239598278,5576,0,9,2,False
bellevue_ne8th,sensitivity_heading_w3,4,4,0.005,0.5,9,0.997489239598278,5576,0,9,2,False
bellevue_ne8th,sensitivity_heading_w7,4,4,0.005,0.5,9,0.997489239598278,5576,0,9,2,False
bellevue_ne8th,sensitivity_self_consistency_q090,4,4,0.005,0.5,9,0.997489239598278,5576,0,9,2,False
bellevue_ne8th,sensitivity_self_consistency_q0975,4,4,0.005,0.5,9,0.997489239598278,5576,0,9,2,False
