scene,variant_id,support_threshold,support_threshold_percent,support_threshold_absolute_count,n_entry_regions,n_exit_regions,smg_target,od_coverage,smallest_valid_od_pair_share,n_trajectories,target_local_instability,selected
bellevue_116th_ne12th,A5,0.001,0.1,1,4,4,10,1,0.00691562932226833,723,0,False
bellevue_116th_ne12th,A5,0.0025,0.25,2,4,4,10,1,0.00691562932226833,723,0,True
bellevue_116th_ne12th,A5,0.005,0.5,4,4,4,10,1,0.00691562932226833,723,1,False
bellevue_116th_ne12th,A5,0.01,1,8,4,4,8,0.98478561549101,0.012448132780083,723,2,False
bellevue_116th_ne12th,A5,0.02,2,15,4,4,6,0.957123098201936,0.0262793914246196,723,2,False
bellevue_116th_ne12th,A6,0.001,0.1,1,4,4,10,1,0.00691562932226833,723,0,False
bellevue_116th_ne12th,A6,0.0025,0.25,2,4,4,10,1,0.00691562932226833,723,0,True
bellevue_116th_ne12th,A6,0.005,0.5,4,4,4,10,1,0.00691562932226833,723,1,False
bellevue_116th_ne12th,A6,0.01,1,8,4,4,8,0.98478561549101,0.012448132780083,723,2,False
bellevue_116th_ne12th,A6,0.02,2,15,4,4,6,0.957123098201936,0.0262793914246196,723,2,False
bellevue_116th_ne12th,A7,0.001,0.1,1,1,1,1,1,1,723,0,False
bellevue_116th_ne12th,A7,0.0025,0.25,2,1,1,1,1,1,723,0,False
bellevue_116th_ne12th,A7,0.005,0.5,4,1,1,1,1,1,723,0,True
bellevue_116th_ne12th,A7,0.01,1,8,1,1,1,1,1,723,0,False
bellevue_116th_ne12th,A7,0.02,2,15,1,1,1,1,1,723,0,False
bellevue_116th_ne12th,A9,0.001,0.1,1,4,4,10,1,0.00691562932226833,723,0,False
bellevue_116th_ne12th,A9,0.0025,0.25,2,4,4,10,1,0.00691562932226833,723,0,True
bellevue_116th_ne12th,A9,0.005,0.5,4,4,4,10,1,0.00691562932226833,723,1,False
bellevue_116th_ne12th,A9,0.01,1,8,4,4,8,0.98478561549101,0.012448132780083,723,2,False
bellevue_116th_ne12th,A9,0.02,2,15,4,4,6,0.957123098201936,0.0262793914246196,723,2,False
bellevue_116th_ne12th,sensitivity_heading_w3,0.001,0.1,1,4,4,10,1,0.00691562932226833,723,0,False
bellevue_116th_ne12th,sensitivity_heading_w3,0.0025,0.25,2,4,4,10,1,0.00691562932226833,723,0,True
bellevue_116th_ne12th,sensitivity_heading_w3,0.005,0.5,4,4,4,10,1,0.00691562932226833,723,1,False
bellevue_116th_ne12th,sensitivity_heading_w3,0.01,1,8,4,4,8,0.98478561549101,0.012448132780083,723,2,False
bellevue_116th_ne12th,sensitivity_heading_w3,0.02,2,15,4,4,6,0.957123098201936,0.0262793914246196,723,2,False
bellevue_116th_ne12th,sensitivity_heading_w7,0.001,0.1,1,4,4,10,1,0.00691562932226833,723,0,False
bellevue_116th_ne12th,sensitivity_heading_w7,0.0025,0.25,2,4,4,10,1,0.00691562932226833,723,0,True
bellevue_116th_ne12th,sensitivity_heading_w7,0.005,0.5,4,4,4,10,1,0.00691562932226833,723,1,False
bellevue_116th_ne12th,sensitivity_heading_w7,0.01,1,8,4,4,8,0.98478561549101,0.012448132780083,723,2,False
bellevue_116th_ne12th,sensitivity_heading_w7,0.02,2,15,4,4,6,0.957123098201936,0.0262793914246196,723,2,False
