scene,variant_id,replicate,bootstrap_seed,emd_seed,sampled_trajectory_count,sampled_recording_count,emd_entry_regions,emd_exit_regions,entry_supernodes,exit_supernodes,support_threshold,smg_target,coverage,invalid_replicate,failure_reason
bellevue_116th_ne12th,A5,0,49892580,1479260155,777,4,4,4,4,4,0.0025,9,0.998712998712999,False,
bellevue_116th_ne12th,A6,0,49892580,1479260155,777,4,4,4,4,4,0.0025,9,0.998712998712999,False,
bellevue_116th_ne12th,A7,0,49892580,1479260155,777,4,4,4,2,2,0.005,4,1,False,
bellevue_116th_ne12th,A9,0,49892580,1479260155,777,4,4,4,4,4,0.0025,9,0.998712998712999,False,
bellevue_116th_ne12th,A5,1,304879433,326428880,688,4,4,4,4,4,0.0025,10,1,False,
bellevue_116th_ne12th,A6,1,304879433,326428880,688,4,4,4,4,4,0.0025,10,1,False,
bellevue_116th_ne12th,A7,1,304879433,326428880,688,4,4,4,2,2,0.005,4,1,False,
bellevue_116th_ne12th,A9,1,304879433,326428880,688,4,4,4,4,4,0.0025,10,1,False,
bellevue_116th_ne12th,A5,2,1450557340,426688966,1075,3,4,4,4,4,0.0025,10,1,False,
bellevue_116th_ne12th,A6,2,1450557340,426688966,1075,3,4,4,4,4,0.0025,10,1,False,
bellevue_116th_ne12th,A7,2,1450557340,426688966,1075,3,4,4,1,2,0.005,2,1,False,
bellevue_116th_ne12th,A9,2,1450557340,426688966,1075,3,4,4,4,4,0.0025,10,1,False,
bellevue_116th_ne12th,A5,3,1356869064,675574258,1075,3,4,4,4,4,0.0025,10,1,False,
bellevue_116th_ne12th,A6,3,1356869064,675574258,1075,3,4,4,4,4,0.0025,10,1,False,
bellevue_116th_ne12th,A7,3,1356869064,675574258,1075,3,4,4,2,1,0.005,2,1,False,
bellevue_116th_ne12th,A9,3,1356869064,675574258,1075,3,4,4,4,4,0.0025,10,1,False,
bellevue_116th_ne12th,A5,4,910470991,376382288,688,4,4,4,4,4,0.001,10,1,False,
bellevue_116th_ne12th,A6,4,910470991,376382288,688,4,4,4,4,4,0.001,10,1,False,
bellevue_116th_ne12th,A7,4,910470991,376382288,688,4,4,4,1,1,0.005,1,1,False,
bellevue_116th_ne12th,A9,4,910470991,376382288,688,4,4,4,4,4,0.001,10,1,False,
bellevue_116th_ne12th,A5,5,1746357660,158966176,368,3,7,4,5,4,0.001,15,1,False,
bellevue_116th_ne12th,A6,5,1746357660,158966176,368,3,7,4,5,4,0.001,15,1,False,
bellevue_116th_ne12th,A7,5,1746357660,158966176,368,3,7,4,2,1,0.005,2,1,False,
bellevue_116th_ne12th,A9,5,1746357660,158966176,368,3,7,4,5,4,0.001,15,1,False,
bellevue_116th_ne12th,A5,6,597608268,1601687028,1357,3,4,4,4,4,0.001,10,1,False,
bellevue_116th_ne12th,A6,6,597608268,1601687028,1357,3,4,4,4,4,0.001,10,1,False,
bellevue_116th_ne12th,A7,6,597608268,1601687028,1357,3,4,4,1,2,0.005,2,1,False,
bellevue_116th_ne12th,A9,6,597608268,1601687028,1357,3,4,4,4,4,0.001,10,1,False,
bellevue_116th_ne12th,A5,7,547588905,16813439,935,3,4,4,4,4,0.001,10,1,False,
bellevue_116th_ne12th,A6,7,547588905,16813439,935,3,4,4,4,4,0.001,10,1,False,
bellevue_116th_ne12th,A7,7,547588905,16813439,935,3,4,4,2,2,0.005,4,1,False,
bellevue_116th_ne12th,A9,7,547588905,16813439,935,3,4,4,4,4,0.001,10,1,False,
bellevue_116th_ne12th,A5,8,1972941653,1508750036,570,3,4,4,4,4,0.001,10,1,False,
bellevue_116th_ne12th,A6,8,1972941653,1508750036,570,3,4,4,4,4,0.001,10,1,False,
bellevue_116th_ne12th,A7,8,1972941653,1508750036,570,3,4,4,2,2,0.005,4,1,False,
bellevue_116th_ne12th,A9,8,1972941653,1508750036,570,3,4,4,4,4,0.001,10,1,False,
