scene,variant_id,bootstrap_replicates,mode,median,entropy_bits,probability_full_split_target,failed_replicates,distinct_targets,target_histogram_json,interval_80_lower,interval_80_upper,interval_80_width,interval_90_lower,interval_90_upper,interval_90_width,interval_95_lower,interval_95_upper,interval_95_width
bellevue_116th_ne12th,A5,500,10,10,1.82819656189342,0.686,0,12,"{""5"":2,""6"":3,""7"":15,""8"":33,""9"":36,""10"":343,""11"":19,""12"":22,""13"":13,""14"":6,""15"":7,""17"":1}",8,11,3,8,13,5,7,14,7
bellevue_116th_ne12th,A6,500,10,10,1.82819656189342,0.686,0,12,"{""5"":2,""6"":3,""7"":15,""8"":33,""9"":36,""10"":343,""11"":19,""12"":22,""13"":13,""14"":6,""15"":7,""17"":1}",8,11,3,8,13,5,7,14,7
bellevue_116th_ne12th,A7,500,2,2,1.79411560755213,0.156,0,7,"{""1"":78,""2"":214,""3"":7,""4"":182,""5"":4,""6"":10,""7"":5}",1,4,3,1,4,3,1,6,5
bellevue_116th_ne12th,A9,500,10,10,1.82819656189342,0.686,0,12,"{""5"":2,""6"":3,""7"":15,""8"":33,""9"":36,""10"":343,""11"":19,""12"":22,""13"":13,""14"":6,""15"":7,""17"":1}",8,11,3,8,13,5,7,14,7
bellevue_150th_newport,A5,500,8,9,2.76167522769819,0.322,0,14,"{""4"":1,""6"":16,""7"":38,""8"":161,""9"":42,""10"":130,""11"":47,""12"":26,""13"":23,""14"":4,""15"":7,""16"":2,""17"":2,""28"":1}",7,12,5,7,13,6,6,14,8
bellevue_150th_newport,A6,500,8,9,2.77108785996507,0.314,0,14,"{""4"":1,""6"":16,""7"":37,""8"":157,""9"":43,""10"":132,""11"":48,""12"":27,""13"":23,""14"":4,""15"":7,""16"":2,""17"":2,""28"":1}",7,12,5,7,13,6,6,14,8
bellevue_150th_newport,A7,500,2,2,1.1871828325185,0.73,0,4,"{""1"":88,""2"":365,""3"":24,""4"":23}",1,2,1,1,3,2,1,4,3
bellevue_150th_newport,A9,500,8,9,2.75585995381251,0.316,0,14,"{""4"":1,""6"":16,""7"":37,""8"":158,""9"":43,""10"":132,""11"":49,""12"":26,""13"":23,""14"":4,""15"":7,""16"":2,""17"":1,""28"":1}",7,12,5,7,13,6,6,14,8
bellevue_150th_eastgate,A5,500,9,9,2.16883747957107,0.418,0,11,"{""7"":112,""8"":50,""9"":209,""10"":96,""11"":22,""14"":3,""15"":1,""16"":4,""17"":1,""19"":1,""20"":1}",7,10,3,7,11,4,7,11,4
bellevue_150th_eastgate,A6,500,9,9,2.16883747957107,0.418,0,11,"{""7"":112,""8"":50,""9"":209,""10"":96,""11"":22,""14"":3,""15"":1,""16"":4,""17"":1,""19"":1,""20"":1}",7,10,3,7,11,4,7,11,4
bellevue_150th_eastgate,A7,500,4,3,1.5529707919058,0.444,0,5,"{""2"":203,""3"":65,""4"":222,""5"":1,""6"":9}",2,4,2,2,4,2,2,4,2
bellevue_150th_eastgate,A9,500,9,9,2.16883747957107,0.418,0,11,"{""7"":112,""8"":50,""9"":209,""10"":96,""11"":22,""14"":3,""15"":1,""16"":4,""17"":1,""19"":1,""20"":1}",7,10,3,7,11,4,7,11,4
bellevue_150th_se38th,A5,500,10,10,3.45424974621157,0.262,0,21,"{""6"":1,""7"":13,""8"":34,""9"":85,""10"":131,""11"":62,""12"":27,""13"":16,""14"":27,""15"":33,""16"":10,""17"":14,""18"":7,""19"":10,""20"":8,""21"":2,""22"":10,""23"":3,""24"":3,""25"":2,""26"":2}",9,17,8,8,20,12,7,22,15
bellevue_150th_se38th,A6,500,10,10,3.44600763185638,0.264,0,21,"{""6"":1,""7"":15,""8"":34,""9"":86,""10"":132,""11"":61,""12"":28,""13"":14,""14"":26,""15"":33,""16"":9,""17"":14,""18"":7,""19"":10,""20"":8,""21"":2,""22"":10,""23"":3,""24"":3,""25"":2,""26"":2}",8,17,9,8,20,12,7,22,15
bellevue_150th_se38th,A7,500,1,1,0.489505337687065,0.898,0,3,"{""1"":449,""2"":50,""4"":1}",1,2,1,1,2,1,1,2,1
bellevue_150th_se38th,A9,500,10,10,3.44568666562881,0.264,0,21,"{""6"":1,""7"":15,""8"":34,""9"":86,""10"":132,""11"":61,""12"":29,""13"":14,""14"":25,""15"":33,""16"":9,""17"":14,""18"":7,""19"":10,""20"":8,""21"":2,""22"":10,""23"":3,""24"":3,""25"":2,""26"":2}",8,17,9,8,20,12,7,22,15
bellevue_ne8th,A5,500,9,9,1.22066243919735,0.516,0,5,"{""7"":3,""8"":11,""9"":258,""10"":225,""11"":3}",9,10,1,9,10,1,8,10,2
bellevue_ne8th,A6,500,9,9,1.22066243919735,0.516,0,5,"{""7"":3,""8"":11,""9"":258,""10"":225,""11"":3}",9,10,1,9,10,1,8,10,2
bellevue_ne8th,A7,500,3,3,1.25412486486711,0.606,0,4,"{""2"":8,""3"":303,""4"":21,""5"":168}",3,5,2,3,5,2,3,5,2
bellevue_ne8th,A9,500,9,9,1.22066243919735,0.516,0,5,"{""7"":3,""8"":11,""9"":258,""10"":225,""11"":3}",9,10,1,9,10,1,8,10,2
