scene_id,noise_scale_px,replicate_count,target_preservation_probability,target_mean,target_std,target_min,target_max,endpoint_displacement_median_px,endpoint_displacement_p95_px,entry_region_change_mean,exit_region_change_mean,od_pair_change_mean,frozen_entry_regions,frozen_exit_regions,frozen_support_threshold,entry_k_preservation_probability,exit_k_preservation_probability,threshold_preservation_probability,target_distribution_json
bellevue_116th_ne12th,1.0,20,1.0,10.0,0.0,10,10,0.9963708536385736,2.708319105696855,0.0,0.0,0.0,4,4,0.0025,1.0,1.0,1.0,"{""10"": 20}"
bellevue_116th_ne12th,2.0,20,1.0,10.0,0.0,10,10,2.187631161578464,5.129630844644892,0.0,0.0,0.0,4,4,0.0025,1.0,1.0,1.0,"{""10"": 20}"
bellevue_116th_ne12th,3.0,20,1.0,10.0,0.0,10,10,3.205312073340145,8.813180501712175,0.0,0.0,0.0,4,4,0.0025,1.0,1.0,1.0,"{""10"": 20}"
bellevue_116th_ne12th,5.0,20,1.0,10.0,0.0,10,10,4.637918993392381,15.333832754381191,0.0,0.0,0.0,4,4,0.0025,1.0,1.0,1.0,"{""10"": 20}"
bellevue_116th_ne12th,10.0,20,1.0,10.0,0.0,10,10,6.240893971300901,30.058083087709534,0.0,0.0,0.0,4,4,0.0025,1.0,1.0,1.0,"{""10"": 20}"
bellevue_150th_newport,1.0,20,0.85,11.25,1.8317377426626162,7,12,0.7382901172716344,4.055472346033274,0.0015270326042096573,0.0,0.0015270326042096573,4,4,0.001,1.0,1.0,0.85,"{""12"": 17, ""7"": 3}"
bellevue_150th_newport,2.0,20,0.85,11.25,1.831737742662616,7,12,3.724922432515522,13.095892986124158,0.0023730912092447378,0.0,0.0023730912092447378,4,4,0.001,1.0,1.0,0.85,"{""12"": 17, ""7"": 3}"
bellevue_150th_newport,3.0,20,0.95,11.75,1.1180339887498945,7,12,5.649297529555353,22.878259016403103,0.002888980602558811,0.0,0.002888980602558811,4,4,0.001,1.0,1.0,0.95,"{""12"": 19, ""7"": 1}"
bellevue_150th_newport,5.0,20,0.85,11.25,1.831737742662616,7,12,5.557988266134801,26.333357771713423,0.0028064382996285595,0.0,0.0028064382996285595,4,4,0.001,1.0,1.0,0.85,"{""12"": 17, ""7"": 3}"
bellevue_150th_newport,10.0,20,0.7,10.85,2.1830688201896455,7,13,15.274157199526258,44.508303913332114,0.009451093685513825,0.0,0.009451093685513825,4,4,0.001,0.9,1.0,0.75,"{""12"": 14, ""13"": 1, ""7"": 4, ""8"": 1}"
bellevue_150th_eastgate,1.0,20,1.0,9.0,0.0,9,9,0.7957451526738057,1.8425823906488867,0.0002981651376146789,0.0003268348623853211,0.000625,4,4,0.005,1.0,1.0,1.0,"{""9"": 20}"
bellevue_150th_eastgate,2.0,20,1.0,9.0,0.0,9,9,4.108904242796579,8.821875893866087,0.0003096330275229358,0.0009977064220183488,0.0013073394495412844,4,4,0.005,1.0,1.0,1.0,"{""9"": 20}"
bellevue_150th_eastgate,3.0,20,0.95,8.95,0.2236067977499789,8,9,3.571557185321221,8.041957758964573,0.004913990825688073,0.001301605504587156,0.006215596330275229,4,4,0.005,0.95,1.0,1.0,"{""8"": 1, ""9"": 19}"
bellevue_150th_eastgate,5.0,20,0.9,9.0,0.324442842261525,8,10,5.842256592998959,12.775239223694616,0.006049311926605504,0.002190366972477064,0.008239678899082569,4,4,0.005,0.95,1.0,1.0,"{""10"": 1, ""8"": 1, ""9"": 18}"
bellevue_150th_eastgate,10.0,20,0.85,8.9,0.5525062514530821,7,10,10.062430124451367,21.032989025857063,0.010217889908256882,0.0020355504587155964,0.012253440366972478,4,4,0.005,0.9,1.0,0.95,"{""10"": 1, ""7"": 1, ""8"": 1, ""9"": 17}"
bellevue_150th_se38th,1.0,20,1.0,18.0,0.0,18,18,0.4525383496908173,2.1292814730442413,0.0006647864625302176,0.0013497179693795327,0.0020145044319097504,7,3,0.0025,1.0,1.0,1.0,"{""18"": 20}"
bellevue_150th_se38th,2.0,20,1.0,18.0,0.0,18,18,2.882702452759602,6.443907084939742,0.0016317485898468976,0.00314262691377921,0.004774375503626108,7,3,0.0025,1.0,1.0,1.0,"{""18"": 20}"
bellevue_150th_se38th,3.0,20,1.0,18.0,0.0,18,18,6.1427045534018445,32.53107224197061,0.0021958098307816275,0.004532634971796938,0.006728444802578566,7,3,0.0025,1.0,1.0,1.0,"{""18"": 20}"
bellevue_150th_se38th,5.0,20,1.0,18.0,0.0,18,18,9.101379555646837,41.80398764159754,0.004149879129734085,0.0064464141821112,0.010515713134568897,7,3,0.0025,1.0,1.0,1.0,"{""18"": 20}"
bellevue_150th_se38th,10.0,20,0.7,20.6,6.6917073582473,16,37,11.822525022112186,37.85924487976088,0.0136986301369863,0.08561643835616438,0.09709911361804996,7,3,0.0025,0.9,0.8,0.7,"{""16"": 2, ""18"": 14, ""20"": 1, ""35"": 1, ""36"": 1, ""37"": 1}"
bellevue_ne8th,1.0,20,1.0,9.0,0.0,9,9,4.037676777386137,21.80361541073899,0.00010760401721664277,0.0,0.00010760401721664277,4,4,0.005,1.0,1.0,1.0,"{""9"": 20}"
bellevue_ne8th,2.0,20,1.0,9.0,0.0,9,9,4.806380839909094,44.41241781262755,0.00013450502152080346,0.0,0.00013450502152080346,4,4,0.005,1.0,1.0,1.0,"{""9"": 20}"
bellevue_ne8th,3.0,20,0.95,9.05,0.22360679774997896,9,10,4.188509883223672,56.41076960861258,0.00020624103299856527,8.96700143472023e-06,0.0002152080344332855,4,4,0.005,1.0,1.0,0.95,"{""10"": 1, ""9"": 19}"
bellevue_ne8th,5.0,20,0.9,9.1,0.3077935056255462,9,10,15.78178743493249,114.84480799601144,0.00022417503586800574,4.483500717360115e-05,0.00026901004304160693,4,4,0.005,1.0,1.0,0.9,"{""10"": 2, ""9"": 18}"
bellevue_ne8th,10.0,20,0.8,9.2,0.41039134083406176,9,10,24.829584738662405,218.3503900494549,0.00026004304160688667,0.00024210903873744623,0.0005021520803443329,4,4,0.005,1.0,1.0,0.8,"{""10"": 4, ""9"": 16}"
