scene,automatic_entry_region,automatic_exit_region,automatic_od_pair,target_estimation_support_count,target_estimation_support_percentage,support_threshold,low_support_mode,mapped_manual_entry,mapped_manual_exit,mapped_manual_movement,mapped_pair_is_legal,empirical_target_reference_movement,empirical_target_reference_purity,empirical_target_valid_count,empirical_target_movements_json,all_target_reference_movements_json,unique_target_reference_movement_count,target_reference_invalid_count,median_canonical_point_count,short_track_fraction_le_30_points,independent_prediction_count,independent_valid_reference_count,independent_reference_movements_json,observed_in_independent_valid_reference,semantic_duplicate_group_size,duplicate_semantic_movement_flag,empirical_dominant_duplicate_group_size,empirical_dominant_duplicate_flag
bellevue_116th_ne12th,0,1,0->1,276,38.17427385892116,0.0025,False,D,F,bellevue_116th_ne12th:D>F,True,bellevue_116th_ne12th:D>F,1.0,247,"{""bellevue_116th_ne12th:D>F"": 247}","{""bellevue_116th_ne12th:D>F"": 247}",1,29,209.0,0.0,207,204,"{""bellevue_116th_ne12th:D>F"": 204}",True,1,False,1,False
bellevue_116th_ne12th,1,0,1->0,207,28.63070539419087,0.0025,False,B,H,bellevue_116th_ne12th:B>H,True,bellevue_116th_ne12th:B>H,1.0,207,"{""bellevue_116th_ne12th:B>H"": 207}","{""bellevue_116th_ne12th:B>H"": 207}",1,0,217.0,0.0,230,223,"{""bellevue_116th_ne12th:B>H"": 223}",True,1,False,1,False
bellevue_116th_ne12th,3,2,3->2,76,10.511756569847856,0.0025,False,C,E,bellevue_116th_ne12th:C>E,True,bellevue_116th_ne12th:C>E,1.0,66,"{""bellevue_116th_ne12th:C>E"": 66}","{""bellevue_116th_ne12th:C>E"": 66}",1,10,435.0,0.0,149,116,"{""bellevue_116th_ne12th:C>E"": 116}",True,1,False,1,False
bellevue_116th_ne12th,2,3,2->3,74,10.235131396957122,0.0025,False,A,G,bellevue_116th_ne12th:A>G,True,bellevue_116th_ne12th:A>G,1.0,73,"{""bellevue_116th_ne12th:A>G"": 73}","{""bellevue_116th_ne12th:A>G"": 73}",1,1,301.0,0.0,160,157,"{""bellevue_116th_ne12th:A>G"": 157}",True,1,False,1,False
bellevue_116th_ne12th,0,3,0->3,40,5.532503457814661,0.0025,False,D,G,bellevue_116th_ne12th:D>G,True,bellevue_116th_ne12th:D>G,1.0,39,"{""bellevue_116th_ne12th:D>G"": 39}","{""bellevue_116th_ne12th:D>G"": 39}",1,1,383.0,0.0,35,34,"{""bellevue_116th_ne12th:D>G"": 34}",True,1,False,1,False
bellevue_116th_ne12th,1,2,1->2,19,2.627939142461964,0.0025,False,B,E,bellevue_116th_ne12th:B>E,True,,0.0,0,{},{},0,19,614.0,0.0,38,10,"{""bellevue_116th_ne12th:B>E"": 10}",True,1,False,0,False
bellevue_116th_ne12th,2,0,2->0,11,1.5214384508990317,0.0025,False,A,H,bellevue_116th_ne12th:A>H,True,bellevue_116th_ne12th:A>H,1.0,11,"{""bellevue_116th_ne12th:A>H"": 11}","{""bellevue_116th_ne12th:A>H"": 11}",1,0,307.0,0.0,41,40,"{""bellevue_116th_ne12th:A>H"": 40}",True,1,False,1,False
bellevue_116th_ne12th,0,2,0->2,9,1.2448132780082988,0.0025,False,D,E,bellevue_116th_ne12th:D>E,True,bellevue_116th_ne12th:D>E,1.0,6,"{""bellevue_116th_ne12th:D>E"": 6}","{""bellevue_116th_ne12th:D>E"": 6}",1,3,195.0,0.0,42,29,"{""bellevue_116th_ne12th:D>E"": 29}",True,1,False,1,False
bellevue_116th_ne12th,2,1,2->1,6,0.8298755186721992,0.0025,False,A,F,bellevue_116th_ne12th:A>F,True,bellevue_116th_ne12th:A>F,1.0,4,"{""bellevue_116th_ne12th:A>F"": 4}","{""bellevue_116th_ne12th:A>F"": 4}",1,2,236.0,0.0,57,46,"{""bellevue_116th_ne12th:A>F"": 45, ""bellevue_116th_ne12th:A>G"": 1}",True,1,False,1,False
bellevue_116th_ne12th,3,0,3->0,5,0.6915629322268326,0.0025,False,C,H,bellevue_116th_ne12th:C>H,True,bellevue_116th_ne12th:C>H,1.0,4,"{""bellevue_116th_ne12th:C>H"": 4}","{""bellevue_116th_ne12th:C>H"": 4}",1,1,333.0,0.0,5,5,"{""bellevue_116th_ne12th:C>H"": 5}",True,1,False,1,False
bellevue_150th_newport,0,2,0->2,920,37.96945934791581,0.001,False,C,E,bellevue_150th_newport:C>E,True,bellevue_150th_newport:C>E,1.0,920,"{""bellevue_150th_newport:C>E"": 920}","{""bellevue_150th_newport:C>E"": 920}",1,0,213.5,0.0,1629,1628,"{""bellevue_150th_newport:C>E"": 1628}",True,1,False,3,True
bellevue_150th_newport,1,1,1->1,540,22.286421791167975,0.001,False,A,G,bellevue_150th_newport:A>G,True,bellevue_150th_newport:A>G,1.0,540,"{""bellevue_150th_newport:A>G"": 540}","{""bellevue_150th_newport:A>G"": 540}",1,0,242.5,0.0,355,355,"{""bellevue_150th_newport:A>G"": 355}",True,1,False,1,False
bellevue_150th_newport,0,0,0->0,278,11.473380107304994,0.001,False,C,H,bellevue_150th_newport:C>H,True,bellevue_150th_newport:C>H,1.0,278,"{""bellevue_150th_newport:C>H"": 278}","{""bellevue_150th_newport:C>H"": 278}",1,0,354.0,0.0,1048,1046,"{""bellevue_150th_newport:C>H"": 1046}",True,1,False,2,True
bellevue_150th_newport,2,1,2->1,197,8.130416838629797,0.001,False,D,G,bellevue_150th_newport:D>G,True,bellevue_150th_newport:D>G,1.0,136,"{""bellevue_150th_newport:D>G"": 136}","{""bellevue_150th_newport:D>G"": 136}",1,61,387.0,0.0,216,185,"{""bellevue_150th_newport:D>G"": 185}",True,1,False,1,False
bellevue_150th_newport,2,2,2->2,169,6.974824597606273,0.001,False,D,E,bellevue_150th_newport:D>E,True,bellevue_150th_newport:C>E,1.0,167,"{""bellevue_150th_newport:C>E"": 167}","{""bellevue_150th_newport:C>E"": 167}",1,2,89.0,0.0,86,86,"{""bellevue_150th_newport:C>E"": 86}",True,1,False,3,True
