scene,endpoint_role,automatic_region_id,dominant_manual_approach,mapping_purity,mapped_endpoint_count,automatic_region_size,unmapped_endpoint_count,counts_by_manual_approach_json,centroid_x_topview,centroid_y_topview,angular_span_rad
bellevue_116th_ne12th,entry,0,D,1.0,325,325,0,"{""D"": 325}",1092.1491929952704,351.46177259758105,0.5941764469839768
bellevue_116th_ne12th,entry,1,B,1.0,226,226,0,"{""B"": 226}",680.6287496420266,452.28482436661494,0.5084605404075169
bellevue_116th_ne12th,entry,2,A,1.0,90,91,1,"{""A"": 90}",892.4140652966779,234.3987076853187,0.6995658366665789
bellevue_116th_ne12th,entry,3,C,1.0,80,81,1,"{""C"": 80}",960.8860728103077,597.5835354233398,0.6362290521009806
bellevue_116th_ne12th,exit,0,H,1.0,223,223,0,"{""H"": 223}",1107.3885701814434,399.76810436223224,0.19393799481316956
bellevue_116th_ne12th,exit,1,F,1.0,251,282,31,"{""F"": 251}",678.9667902349265,405.5577131001884,1.0723640790504534
bellevue_116th_ne12th,exit,2,E,1.0,72,104,32,"{""E"": 72}",948.2514357851749,258.1141898998231,0.8744182099337199
bellevue_116th_ne12th,exit,3,G,1.0,113,114,1,"{""G"": 113}",921.5517566992585,671.2507418557581,0.5570123012435872
bellevue_150th_newport,entry,0,C,1.0,1198,1198,0,"{""C"": 1198}",961.5223612903939,241.3134289553734,1.731432624081183
bellevue_150th_newport,entry,1,A,0.9879725085910653,582,591,9,"{""A"": 575, ""C"": 7}",1025.2593573258898,549.0399069820658,0.4667196703240635
bellevue_150th_newport,entry,2,D,0.6013513513513513,444,507,63,"{""C"": 177, ""D"": 267}",885.1809183607719,456.9609858968791,1.6273031080277724
bellevue_150th_newport,entry,3,B,1.0,109,127,18,"{""B"": 109}",1154.9309759718333,373.35950167133507,0.45027159581388465
bellevue_150th_newport,exit,0,H,1.0,421,421,0,"{""H"": 421}",831.684173789385,516.4769325110835,0.3921184853513149
bellevue_150th_newport,exit,1,G,1.0,737,737,0,"{""G"": 737}",1010.4957549758325,226.81668642604478,0.3652366707091621
bellevue_150th_newport,exit,2,E,1.0,1115,1116,1,"{""E"": 1115}",949.7639061787531,555.76041330333,1.1406804209710073
bellevue_150th_newport,exit,3,F,1.0,143,149,6,"{""F"": 143}",1156.632227964436,394.5670380803379,0.3742681727468654
bellevue_150th_eastgate,entry,0,D,0.9928080050031269,3198,3202,4,"{""A"": 23, ""D"": 3175}",1042.7422104762798,546.3841909933136,1.2708711204055723
bellevue_150th_eastgate,entry,1,B,1.0,2136,2170,34,"{""B"": 2136}",811.8702033394709,265.80195827896085,0.6198768367192384
bellevue_150th_eastgate,entry,2,A,1.0,2750,2750,0,"{""A"": 2750}",1137.9732697312247,382.8511718164498,1.607221465147077
bellevue_150th_eastgate,entry,3,C,0.9625779625779626,481,598,117,"{""B"": 18, ""C"": 463}",783.3885671812928,477.0695668136628,0.7232480769367722
bellevue_150th_eastgate,exit,0,H,1.0,3000,3011,11,"{""H"": 3000}",984.9839720061342,597.2098396792946,0.7425406280395306
bellevue_150th_eastgate,exit,1,G,1.0,1847,1854,7,"{""G"": 1847}",715.8840867586994,444.472414461237,0.9541552339286341
bellevue_150th_eastgate,exit,2,F,0.989152741131633,3411,3421,10,"{""F"": 3374, ""G"": 37}",891.1387171439943,229.72919226920425,1.5648283221173367
bellevue_150th_eastgate,exit,3,E,1.0,367,434,67,"{""E"": 367}",1097.519145247351,452.54723698255543,1.200478197410687
bellevue_150th_se38th,entry,0,A,1.0,777,778,1,"{""A"": 777}",913.1807629092032,237.98509314874184,0.9239210936315383
bellevue_150th_se38th,entry,1,D,0.8189655172413793,232,242,10,"{""A"": 42, ""D"": 190}",1042.251659465147,443.7288316851556,0.6869811339323479
bellevue_150th_se38th,entry,2,A,1.0,369,369,0,"{""A"": 369}",923.5384058163283,242.2416990798142,1.1709359404400708
bellevue_150th_se38th,entry,3,C,0.9121621621621622,592,604,12,"{""A"": 52, ""C"": 540}",946.3546951024144,638.0328715067346,0.5969364965564625
bellevue_150th_se38th,entry,4,B,0.656,125,125,0,"{""A"": 43, ""B"": 82}",766.5762242312103,383.1895484048932,0.7406146495385777
bellevue_150th_se38th,entry,5,A,0.7619047619047619,63,180,117,"{""A"": 48, ""B"": 15}",687.0300148535619,285.43388932000977,0.7340942498448635
bellevue_150th_se38th,entry,6,A,1.0,182,184,2,"{""A"": 182}",933.8519646691271,248.2492619116967,1.1229251525150354
bellevue_150th_se38th,exit,0,G,1.0,1194,1194,0,"{""G"": 1194}",886.5314175031806,735.6534218565403,2.5243197510062343
bellevue_150th_se38th,exit,1,E,0.5891325071496664,1049,1066,17,"{""E"": 618, ""F"": 1, ""G"": 124, ""H"": 306}",994.264728459399,417.5540115214318,2.0683313847952283
bellevue_150th_se38th,exit,2,G,0.7955801104972375,181,222,41,"{""F"": 37, ""G"": 144}",814.5914661006043,562.488848680087,1.6632845449383145
bellevue_ne8th,entry,0,A,1.0,2212,2272,60,"{""A"": 2212}",1062.216050172987,589.7147560887605,1.3315703739337998
bellevue_ne8th,entry,1,C,1.0,1384,1394,10,"{""C"": 1384}",1866.5322677387476,539.6909744510059,0.9741971911413427
bellevue_ne8th,entry,2,D,1.0,1059,1059,0,"{""D"": 1059}",1151.157090706616,343.7238448597644,0.36516718694716616
