scene,entry_region_count,exit_region_count,frozen_support_threshold,target_at_frozen_threshold,coverage_at_frozen_threshold,heuristic_selected_threshold,target_with_threshold_heuristic,coverage_with_threshold_heuristic,is_frozen_region_pair,frozen_target
bellevue_116th_ne12th,3,3,0.0025,7,1.0,0.0025,7,1.0,False,10
bellevue_116th_ne12th,3,4,0.0025,8,1.0,0.0025,8,1.0,False,10
bellevue_116th_ne12th,3,5,0.0025,10,1.0,0.001,10,1.0,False,10
bellevue_116th_ne12th,3,6,0.0025,11,0.9986168741355463,0.001,12,1.0,False,10
bellevue_116th_ne12th,3,7,0.0025,13,0.9986168741355463,0.001,14,1.0,False,10
bellevue_116th_ne12th,3,8,0.0025,14,0.9972337482710927,0.005,12,0.991701244813278,False,10
bellevue_116th_ne12th,4,3,0.0025,8,1.0,0.0025,8,1.0,False,10
bellevue_116th_ne12th,4,4,0.0025,10,1.0,0.0025,10,1.0,True,10
bellevue_116th_ne12th,4,5,0.0025,12,1.0,0.001,12,1.0,False,10
bellevue_116th_ne12th,4,6,0.0025,13,0.9986168741355463,0.001,14,1.0,False,10
bellevue_116th_ne12th,4,7,0.0025,15,0.9986168741355463,0.001,16,1.0,False,10
bellevue_116th_ne12th,4,8,0.0025,16,0.9972337482710927,0.005,14,0.991701244813278,False,10
bellevue_116th_ne12th,5,3,0.0025,9,1.0,0.0025,9,1.0,False,10
bellevue_116th_ne12th,5,4,0.0025,11,0.9986168741355463,0.0025,11,0.9986168741355463,False,10
bellevue_116th_ne12th,5,5,0.0025,14,0.9986168741355463,0.001,15,1.0,False,10
bellevue_116th_ne12th,5,6,0.0025,15,0.9972337482710927,0.0025,15,0.9972337482710927,False,10
bellevue_116th_ne12th,5,7,0.0025,17,0.9972337482710927,0.0025,17,0.9972337482710927,False,10
bellevue_116th_ne12th,5,8,0.0025,19,0.995850622406639,0.0025,19,0.995850622406639,False,10
bellevue_116th_ne12th,6,3,0.0025,10,1.0,0.0025,10,1.0,False,10
bellevue_116th_ne12th,6,4,0.0025,12,0.9986168741355463,0.0025,12,0.9986168741355463,False,10
bellevue_116th_ne12th,6,5,0.0025,15,0.9986168741355463,0.001,16,1.0,False,10
bellevue_116th_ne12th,6,6,0.0025,16,0.9972337482710927,0.0025,16,0.9972337482710927,False,10
bellevue_116th_ne12th,6,7,0.0025,19,0.9972337482710927,0.0025,19,0.9972337482710927,False,10
bellevue_116th_ne12th,6,8,0.0025,21,0.995850622406639,0.0025,21,0.995850622406639,False,10
bellevue_116th_ne12th,7,3,0.0025,11,0.9986168741355463,0.005,10,0.995850622406639,False,10
bellevue_116th_ne12th,7,4,0.0025,13,0.9972337482710927,0.005,12,0.9944674965421854,False,10
bellevue_116th_ne12th,7,5,0.0025,16,0.9972337482710927,0.001,18,1.0,False,10
bellevue_116th_ne12th,7,6,0.0025,17,0.995850622406639,0.005,14,0.9861687413554634,False,10
bellevue_116th_ne12th,7,7,0.0025,20,0.995850622406639,0.001,23,1.0,False,10
bellevue_116th_ne12th,7,8,0.0025,21,0.9930843706777317,0.005,17,0.9806362378976486,False,10
bellevue_116th_ne12th,8,3,0.0025,12,0.9986168741355463,0.005,11,0.995850622406639,False,10
bellevue_116th_ne12th,8,4,0.0025,14,0.9972337482710927,0.005,13,0.9944674965421854,False,10
bellevue_116th_ne12th,8,5,0.0025,17,0.9972337482710927,0.001,19,1.0,False,10
bellevue_116th_ne12th,8,6,0.0025,18,0.995850622406639,0.01,12,0.9681881051175657,False,10
bellevue_116th_ne12th,8,7,0.0025,20,0.9944674965421854,0.005,17,0.9847856154910097,False,10
bellevue_116th_ne12th,8,8,0.0025,22,0.9930843706777317,0.005,18,0.9820193637621023,False,10
bellevue_150th_newport,3,3,0.001,8,1.0,0.001,8,1.0,False,12
bellevue_150th_newport,3,4,0.001,10,1.0,0.001,10,1.0,False,12
bellevue_150th_newport,3,5,0.001,13,1.0,0.02,9,0.9834915394139496,False,12
bellevue_150th_newport,3,6,0.001,14,0.9995872884853487,0.02,9,0.9773008666941808,False,12
bellevue_150th_newport,3,7,0.001,16,0.9995872884853487,0.001,16,0.9995872884853487,False,12
bellevue_150th_newport,3,8,0.001,18,0.9987618654560462,0.005,15,0.9905076351630211,False,12
bellevue_150th_newport,4,3,0.001,10,1.0,0.001,10,1.0,False,12
bellevue_150th_newport,4,4,0.001,12,1.0,0.001,12,1.0,True,12
bellevue_150th_newport,4,5,0.001,15,0.9991745769706974,0.02,9,0.9698720594304581,False,12
bellevue_150th_newport,4,6,0.001,16,0.998349153941395,0.02,9,0.9636813867106893,False,12
bellevue_150th_newport,4,7,0.001,18,0.998349153941395,0.001,18,0.998349153941395,False,12
bellevue_150th_newport,4,8,0.001,20,0.9971110193974412,0.001,20,0.9971110193974412,False,12
bellevue_150th_newport,5,3,0.001,11,0.9991745769706974,0.02,7,0.9818406933553446,False,12
bellevue_150th_newport,5,4,0.001,13,0.9991745769706974,0.02,8,0.974411886091622,False,12
bellevue_150th_newport,5,5,0.001,17,0.9991745769706974,0.005,13,0.9892695006190673,False,12
bellevue_150th_newport,5,6,0.001,18,0.998349153941395,0.0025,16,0.9950474618241849,False,12
bellevue_150th_newport,5,7,0.001,20,0.998349153941395,0.0025,18,0.9950474618241849,False,12
bellevue_150th_newport,5,8,0.001,23,0.9975237309120925,0.02,11,0.9104416013206769,False,12
bellevue_150th_newport,6,3,0.001,13,0.9991745769706974,0.02,8,0.9756500206355757,False,12
bellevue_150th_newport,6,4,0.001,15,0.9991745769706974,0.02,9,0.9682212133718531,False,12
bellevue_150th_newport,6,5,0.001,20,0.9991745769706974,0.0025,18,0.9966983078827899,False,12
bellevue_150th_newport,6,6,0.001,21,0.9979364424267437,0.001,21,0.9979364424267437,False,12
bellevue_150th_newport,6,7,0.001,23,0.9979364424267437,0.001,23,0.9979364424267437,False,12
bellevue_150th_newport,6,8,0.001,27,0.9971110193974412,0.0025,24,0.9917457697069748,False,12
bellevue_150th_newport,7,3,0.001,14,0.998349153941395,0.001,14,0.998349153941395,False,12
bellevue_150th_newport,7,4,0.001,16,0.998349153941395,0.001,16,0.998349153941395,False,12
bellevue_150th_newport,7,5,0.001,22,0.998349153941395,0.001,22,0.998349153941395,False,12
bellevue_150th_newport,7,6,0.001,24,0.9975237309120925,0.0025,21,0.9933966157655798,False,12
bellevue_150th_newport,7,7,0.001,26,0.9975237309120925,0.0025,23,0.9933966157655798,False,12
bellevue_150th_newport,7,8,0.001,31,0.9966983078827899,0.001,31,0.9966983078827899,False,12
bellevue_150th_newport,8,3,0.001,15,0.998349153941395,0.005,12,0.9896822121337185,False,12
bellevue_150th_newport,8,4,0.001,17,0.998349153941395,0.005,14,0.9896822121337185,False,12
bellevue_150th_newport,8,5,0.001,24,0.998349153941395,0.0025,21,0.9933966157655798,False,12
bellevue_150th_newport,8,6,0.001,26,0.9975237309120925,0.0025,22,0.9896822121337185,False,12
bellevue_150th_newport,8,7,0.001,28,0.9975237309120925,0.0025,24,0.9896822121337185,False,12
bellevue_150th_newport,8,8,0.001,34,0.9966983078827899,0.0025,29,0.9867932315311597,False,12
bellevue_150th_eastgate,3,3,0.005,6,0.9964449541284404,0.001,7,1.0,False,9
bellevue_150th_eastgate,3,4,0.005,7,0.9942660550458715,0.01,7,0.9942660550458715,False,9
bellevue_150th_eastgate,3,5,0.005,9,0.9942660550458715,0.005,9,0.9942660550458715,False,9
bellevue_150th_eastgate,3,6,0.005,11,0.9942660550458715,0.02,9,0.9800458715596331,False,9
bellevue_150th_eastgate,3,7,0.005,13,0.9942660550458715,0.02,11,0.9800458715596331,False,9
bellevue_150th_eastgate,3,8,0.005,13,0.9915137614678899,0.02,11,0.9775229357798165,False,9
bellevue_150th_eastgate,4,3,0.005,7,0.9964449541284404,0.001,8,1.0,False,9
bellevue_150th_eastgate,4,4,0.005,9,0.9942660550458715,0.005,9,0.9942660550458715,True,9
bellevue_150th_eastgate,4,5,0.005,11,0.9942660550458715,0.005,11,0.9942660550458715,False,9
bellevue_150th_eastgate,4,6,0.005,13,0.9942660550458715,0.0025,14,0.9974770642201835,False,9
bellevue_150th_eastgate,4,7,0.005,15,0.9942660550458715,0.0025,16,0.9974770642201835,False,9
bellevue_150th_eastgate,4,8,0.005,15,0.9915137614678899,0.001,18,0.999197247706422,False,9
bellevue_150th_eastgate,5,3,0.005,9,0.9961009174311927,0.005,9,0.9961009174311927,False,9
bellevue_150th_eastgate,5,4,0.005,11,0.9944954128440368,0.005,11,0.9944954128440368,False,9
bellevue_150th_eastgate,5,5,0.005,13,0.993348623853211,0.005,13,0.993348623853211,False,9
bellevue_150th_eastgate,5,6,0.005,15,0.9886467889908257,0.005,15,0.9886467889908257,False,9
bellevue_150th_eastgate,5,7,0.005,17,0.9887614678899083,0.005,17,0.9887614678899083,False,9
bellevue_150th_eastgate,5,8,0.005,17,0.9862385321100917,0.005,17,0.9862385321100917,False,9
bellevue_150th_eastgate,6,3,0.005,10,0.9956422018348624,0.005,10,0.9956422018348624,False,9
bellevue_150th_eastgate,6,4,0.005,12,0.9940366972477064,0.005,12,0.9940366972477064,False,9
bellevue_150th_eastgate,6,5,0.005,14,0.9928899082568807,0.005,14,0.9928899082568807,False,9
bellevue_150th_eastgate,6,6,0.005,16,0.9881880733944954,0.005,16,0.9881880733944954,False,9
bellevue_150th_eastgate,6,7,0.005,19,0.988302752293578,0.005,19,0.988302752293578,False,9
bellevue_150th_eastgate,6,8,0.005,19,0.9857798165137615,0.005,19,0.9857798165137615,False,9
bellevue_150th_eastgate,7,3,0.005,11,0.9956422018348624,0.005,11,0.9956422018348624,False,9
bellevue_150th_eastgate,7,4,0.005,13,0.9892201834862385,0.005,13,0.9892201834862385,False,9
bellevue_150th_eastgate,7,5,0.005,15,0.9880733944954129,0.005,15,0.9880733944954129,False,9
bellevue_150th_eastgate,7,6,0.005,17,0.9833715596330275,0.005,17,0.9833715596330275,False,9
bellevue_150th_eastgate,7,7,0.005,20,0.9834862385321101,0.005,20,0.9834862385321101,False,9
bellevue_150th_eastgate,7,8,0.005,20,0.9809633027522936,0.005,20,0.9809633027522936,False,9
bellevue_150th_eastgate,8,3,0.005,12,0.9940366972477064,0.02,11,0.9870412844036697,False,9
bellevue_150th_eastgate,8,4,0.005,14,0.9870412844036697,0.01,13,0.9800458715596331,False,9
bellevue_150th_eastgate,8,5,0.005,16,0.9863532110091743,0.005,16,0.9863532110091743,False,9
bellevue_150th_eastgate,8,6,0.005,18,0.9849770642201835,0.02,14,0.9529816513761468,False,9
bellevue_150th_eastgate,8,7,0.005,21,0.9799311926605505,0.005,21,0.9799311926605505,False,9
bellevue_150th_eastgate,8,8,0.005,22,0.9825688073394495,0.005,22,0.9825688073394495,False,9
bellevue_150th_se38th,3,3,0.0025,8,0.999597099113618,0.005,8,0.999597099113618,False,18
bellevue_150th_se38th,3,4,0.0025,11,0.9991941982272361,0.0025,11,0.9991941982272361,False,18
bellevue_150th_se38th,3,5,0.0025,13,0.9991941982272361,0.0025,13,0.9991941982272361,False,18
bellevue_150th_se38th,3,6,0.0025,16,0.9991941982272361,0.0025,16,0.9991941982272361,False,18
bellevue_150th_se38th,3,7,0.0025,19,0.9991941982272361,0.001,19,0.9991941982272361,False,18
bellevue_150th_se38th,3,8,0.0025,21,0.9991941982272361,0.001,21,0.9991941982272361,False,18
bellevue_150th_se38th,4,3,0.0025,10,0.999597099113618,0.001,10,0.999597099113618,False,18
bellevue_150th_se38th,4,4,0.0025,13,0.9967767929089444,0.01,10,0.9790491539081386,False,18
bellevue_150th_se38th,4,5,0.0025,15,0.9967767929089444,0.02,11,0.9625302175664786,False,18
bellevue_150th_se38th,4,6,0.0025,17,0.9923448831587429,0.005,17,0.9923448831587429,False,18
bellevue_150th_se38th,4,7,0.0025,20,0.9923448831587429,0.005,18,0.984689766317486,False,18
bellevue_150th_se38th,4,8,0.0025,22,0.9923448831587429,0.005,20,0.9863013698630136,False,18
bellevue_150th_se38th,5,3,0.0025,13,0.999597099113618,0.001,13,0.999597099113618,False,18
bellevue_150th_se38th,5,4,0.0025,17,0.9971796937953263,0.001,18,0.9987912973408541,False,18
bellevue_150th_se38th,5,5,0.0025,20,0.9971796937953263,0.02,13,0.9484286865431104,False,18
bellevue_150th_se38th,5,6,0.0025,23,0.9927477840451249,0.02,13,0.9161966156325544,False,18
bellevue_150th_se38th,5,7,0.0025,25,0.9879129734085415,0.0025,25,0.9879129734085415,False,18
bellevue_150th_se38th,5,8,0.0025,26,0.9834810636583401,0.005,24,0.9750201450443191,False,18
bellevue_150th_se38th,6,3,0.0025,16,0.999597099113618,0.001,16,0.999597099113618,False,18
bellevue_150th_se38th,6,4,0.0025,20,0.9951651893634166,0.005,18,0.9867042707493956,False,18
bellevue_150th_se38th,6,5,0.0025,23,0.9927477840451249,0.0025,23,0.9927477840451249,False,18
bellevue_150th_se38th,6,6,0.0025,26,0.9858984689766318,0.0025,26,0.9858984689766318,False,18
bellevue_150th_se38th,6,7,0.0025,29,0.9834810636583401,0.0025,29,0.9834810636583401,False,18
bellevue_150th_se38th,6,8,0.0025,30,0.9794520547945206,0.005,27,0.9669621273166801,False,18
bellevue_150th_se38th,7,3,0.0025,18,0.9975825946817083,0.0025,18,0.9975825946817083,True,18
bellevue_150th_se38th,7,4,0.0025,24,0.9971796937953263,0.001,25,0.9987912973408541,False,18
bellevue_150th_se38th,7,5,0.0025,27,0.9935535858178888,0.0025,27,0.9935535858178888,False,18
bellevue_150th_se38th,7,6,0.0025,30,0.9863013698630136,0.0025,30,0.9863013698630136,False,18
bellevue_150th_se38th,7,7,0.0025,32,0.9818694601128123,0.0025,32,0.9818694601128123,False,18
bellevue_150th_se38th,7,8,0.0025,32,0.9746172441579372,0.005,29,0.9617244157937147,False,18
bellevue_150th_se38th,8,3,0.0025,20,0.9975825946817083,0.0025,20,0.9975825946817083,False,18
bellevue_150th_se38th,8,4,0.0025,26,0.9955680902497985,0.001,28,0.9983883964544722,False,18
bellevue_150th_se38th,8,5,0.0025,29,0.991539081385979,0.0025,29,0.991539081385979,False,18
bellevue_150th_se38th,8,6,0.0025,33,0.9850926672038679,0.0025,33,0.9850926672038679,False,18
bellevue_150th_se38th,8,7,0.0025,36,0.9806607574536664,0.0025,36,0.9806607574536664,False,18
bellevue_150th_se38th,8,8,0.0025,36,0.9734085414987913,0.005,31,0.9532634971796938,False,18
bellevue_ne8th,3,3,0.005,6,0.9976685796269728,0.005,6,0.9976685796269728,False,9
bellevue_ne8th,3,4,0.005,7,0.9976685796269728,0.005,7,0.9976685796269728,False,9
bellevue_ne8th,3,5,0.005,9,0.9976685796269728,0.02,8,0.9892395982783357,False,9
bellevue_ne8th,3,6,0.005,10,0.9976685796269728,0.02,9,0.9892395982783357,False,9
bellevue_ne8th,3,7,0.005,12,0.9976685796269728,0.005,12,0.9976685796269728,False,9
bellevue_ne8th,3,8,0.005,13,0.9953371592539455,0.02,12,0.9869081779053085,False,9
bellevue_ne8th,4,3,0.005,7,0.9974892395982783,0.005,7,0.9974892395982783,False,9
bellevue_ne8th,4,4,0.005,9,0.9974892395982783,0.005,9,0.9974892395982783,True,9
bellevue_ne8th,4,5,0.005,11,0.9974892395982783,0.005,11,0.9974892395982783,False,9
bellevue_ne8th,4,6,0.005,12,0.9973098995695839,0.005,12,0.9973098995695839,False,9
bellevue_ne8th,4,7,0.005,14,0.9973098995695839,0.005,14,0.9973098995695839,False,9
bellevue_ne8th,4,8,0.005,15,0.9949784791965567,0.005,15,0.9949784791965567,False,9
bellevue_ne8th,5,3,0.005,7,0.9944404591104734,0.005,7,0.9944404591104734,False,9
bellevue_ne8th,5,4,0.005,9,0.9944404591104734,0.005,9,0.9944404591104734,False,9
bellevue_ne8th,5,5,0.005,11,0.9944404591104734,0.005,11,0.9944404591104734,False,9
bellevue_ne8th,5,6,0.005,12,0.994261119081779,0.005,12,0.994261119081779,False,9
bellevue_ne8th,5,7,0.005,14,0.994261119081779,0.005,14,0.994261119081779,False,9
bellevue_ne8th,5,8,0.005,15,0.9919296987087518,0.005,15,0.9919296987087518,False,9
bellevue_ne8th,6,3,0.005,8,0.9940817790530847,0.005,8,0.9940817790530847,False,9
bellevue_ne8th,6,4,0.005,10,0.9940817790530847,0.005,10,0.9940817790530847,False,9
bellevue_ne8th,6,5,0.005,12,0.9940817790530847,0.005,12,0.9940817790530847,False,9
bellevue_ne8th,6,6,0.005,13,0.9939024390243902,0.005,13,0.9939024390243902,False,9
bellevue_ne8th,6,7,0.005,16,0.9939024390243902,0.0025,17,0.9965925394548063,False,9
bellevue_ne8th,6,8,0.005,17,0.9881635581061693,0.0025,19,0.994261119081779,False,9
bellevue_ne8th,7,3,0.005,9,0.9935437589670014,0.01,9,0.9935437589670014,False,9
bellevue_ne8th,7,4,0.005,11,0.9933644189383071,0.005,11,0.9933644189383071,False,9
bellevue_ne8th,7,5,0.005,13,0.9933644189383071,0.005,13,0.9933644189383071,False,9
bellevue_ne8th,7,6,0.005,15,0.9931850789096126,0.0025,16,0.996413199426112,False,9
bellevue_ne8th,7,7,0.005,18,0.9931850789096126,0.0025,19,0.996413199426112,False,9
bellevue_ne8th,7,8,0.005,19,0.9895982783357246,0.005,19,0.9895982783357246,False,9
bellevue_ne8th,8,3,0.005,10,0.9944404591104734,0.005,10,0.9944404591104734,False,9
bellevue_ne8th,8,4,0.005,12,0.9944404591104734,0.005,12,0.9944404591104734,False,9
bellevue_ne8th,8,5,0.005,14,0.9944404591104734,0.005,14,0.9944404591104734,False,9
bellevue_ne8th,8,6,0.005,15,0.994261119081779,0.005,15,0.994261119081779,False,9
bellevue_ne8th,8,7,0.005,18,0.994261119081779,0.005,18,0.994261119081779,False,9
bellevue_ne8th,8,8,0.005,19,0.9883428981348638,0.005,19,0.9883428981348638,False,9
