scene,method,selection_strategy,reference_movement_id,movement_support,non_noise_support,noise_count,noise_ratio,unique_non_noise_clusters,clusters_with_at_least_1pct_of_movement,effective_number_of_clusters,dominant_cluster_share_non_noise,cluster_allocation_entropy,normalized_fragmentation_entropy,movement_completeness_proxy,weighted_cluster_purity
bellevue_150th_se38th,hdbscan,hg_expected_aware_selection,bellevue_150th_se38th:A>G,1630,1307,323,0.19815950920245398,3,3,2.5506810725011277,0.5340474368783473,0.9363604107642276,0.8523119761380182,0.14768802386198177,1.0
bellevue_150th_se38th,hdbscan,hg_expected_aware_selection,bellevue_150th_se38th:A>H,182,182,0,0.0,1,1,1.0,1.0,-0.0,0.0,1.0,0.7222222222222221
bellevue_150th_se38th,hdbscan,hg_expected_aware_selection,bellevue_150th_se38th:B>E,204,204,0,0.0,2,2,1.8627411299685972,0.6862745098039216,0.6220491286465615,0.8974271930876951,0.10257280691230486,1.0
bellevue_150th_se38th,hdbscan,hg_expected_aware_selection,bellevue_150th_se38th:B>H,70,70,0,0.0,1,1,1.0,1.0,-0.0,0.0,1.0,0.7222222222222222
bellevue_150th_se38th,hdbscan,hg_expected_aware_selection,bellevue_150th_se38th:C>E,1117,1114,3,0.0026857654431512983,2,2,1.8998425899686424,0.6588868940754039,0.6417710353554356,0.9258798900934625,0.0741201099065375,1.0
bellevue_150th_se38th,hdbscan,hg_expected_aware_selection,bellevue_150th_se38th:C>F,12,0,12,1.0,0,0,0.0,,,,,
bellevue_150th_se38th,hdbscan,hg_expected_aware_selection,bellevue_150th_se38th:C>H,10,0,10,1.0,0,0,0.0,,,,,
bellevue_150th_se38th,hdbscan,hg_expected_aware_selection,bellevue_150th_se38th:D>F,56,56,0,0.0,1,1,1.0,1.0,-0.0,0.0,1.0,1.0
bellevue_150th_se38th,hdbscan,hg_expected_aware_selection,bellevue_150th_se38th:D>G,141,141,0,0.0,1,1,1.0,1.0,-0.0,0.0,1.0,1.0
bellevue_150th_se38th,hdbscan,untargeted_selection,bellevue_150th_se38th:A>G,1630,1142,488,0.29938650306748466,2,2,1.9630015780519174,0.5963222416812609,0.6744747191920739,0.9730613325833812,0.026938667416618767,1.0
bellevue_150th_se38th,hdbscan,untargeted_selection,bellevue_150th_se38th:A>H,182,170,12,0.06593406593406594,1,1,1.0,1.0,-0.0,0.0,1.0,1.0
bellevue_150th_se38th,hdbscan,untargeted_selection,bellevue_150th_se38th:B>E,204,140,64,0.3137254901960784,1,1,1.0,1.0,-0.0,0.0,1.0,1.0
bellevue_150th_se38th,hdbscan,untargeted_selection,bellevue_150th_se38th:B>H,70,0,70,1.0,0,0,0.0,,,,,
bellevue_150th_se38th,hdbscan,untargeted_selection,bellevue_150th_se38th:C>E,1117,1112,5,0.004476275738585497,2,2,1.8994848577764172,0.6591726618705036,0.6415827219245969,0.9256082112406587,0.07439178875934127,1.0
bellevue_150th_se38th,hdbscan,untargeted_selection,bellevue_150th_se38th:C>F,12,0,12,1.0,0,0,0.0,,,,,
bellevue_150th_se38th,hdbscan,untargeted_selection,bellevue_150th_se38th:C>H,10,0,10,1.0,0,0,0.0,,,,,
bellevue_150th_se38th,hdbscan,untargeted_selection,bellevue_150th_se38th:D>F,56,0,56,1.0,0,0,0.0,,,,,
bellevue_150th_se38th,hdbscan,untargeted_selection,bellevue_150th_se38th:D>G,141,0,141,1.0,0,0,0.0,,,,,
bellevue_150th_se38th,kmeans,hg_expected_aware_selection,bellevue_150th_se38th:A>G,1630,1630,0,0.0,4,3,1.7861730271774607,0.8220858895705522,0.5800753574803935,0.4184359207894282,0.5815640792105718,0.9989366053169734
bellevue_150th_se38th,kmeans,hg_expected_aware_selection,bellevue_150th_se38th:A>H,182,182,0,0.0,3,3,1.2928279796916962,0.9395604395604396,0.25683205125756076,0.23377860770966635,0.7662213922903336,0.9985347985347984
bellevue_150th_se38th,kmeans,hg_expected_aware_selection,bellevue_150th_se38th:B>E,204,204,0,0.0,4,4,3.123373665173872,0.5637254901960784,1.1389137205747943,0.8215525883368272,0.1784474116631728,1.0
bellevue_150th_se38th,kmeans,hg_expected_aware_selection,bellevue_150th_se38th:B>H,70,70,0,0.0,1,1,1.0,1.0,-0.0,0.0,1.0,1.0
bellevue_150th_se38th,kmeans,hg_expected_aware_selection,bellevue_150th_se38th:C>E,1117,1117,0,0.0,2,2,1.900933269118433,0.658012533572068,0.6423449598488367,0.926707888113937,0.073292111886063,1.0
bellevue_150th_se38th,kmeans,hg_expected_aware_selection,bellevue_150th_se38th:C>F,12,12,0,0.0,1,1,1.0,1.0,-0.0,0.0,1.0,1.0
bellevue_150th_se38th,kmeans,hg_expected_aware_selection,bellevue_150th_se38th:C>H,10,10,0,0.0,1,1,1.0,1.0,-0.0,0.0,1.0,1.0
bellevue_150th_se38th,kmeans,hg_expected_aware_selection,bellevue_150th_se38th:D>F,56,56,0,0.0,1,1,1.0,1.0,-0.0,0.0,1.0,1.0
bellevue_150th_se38th,kmeans,hg_expected_aware_selection,bellevue_150th_se38th:D>G,141,141,0,0.0,1,1,1.0,1.0,-0.0,0.0,1.0,1.0
bellevue_150th_se38th,kmeans,untargeted_selection,bellevue_150th_se38th:A>G,1630,1630,0,0.0,2,2,1.1246459370713031,0.9748466257668712,0.11746826351754522,0.16947088123860043,0.8305291187613996,1.0
bellevue_150th_se38th,kmeans,untargeted_selection,bellevue_150th_se38th:A>H,182,182,0,0.0,2,2,1.0623657852814319,0.989010989010989,0.06049829410230214,0.08728058888363333,0.9127194111163667,0.9996947496947498
bellevue_150th_se38th,kmeans,untargeted_selection,bellevue_150th_se38th:B>E,204,204,0,0.0,2,2,1.8627411299685972,0.6862745098039216,0.6220491286465615,0.8974271930876951,0.10257280691230486,1.0
bellevue_150th_se38th,kmeans,untargeted_selection,bellevue_150th_se38th:B>H,70,70,0,0.0,1,1,1.0,1.0,-0.0,0.0,1.0,0.9722222222222222
