automatic_entry_region,automatic_exit_region,automatic_od_pair,target_estimation_support_count,target_estimation_support_percentage,mapped_manual_entry,mapped_manual_exit,mapped_manual_movement,duplicate_semantic_movement_flag,semantic_duplicate_group_size,low_support_mode,empirical_target_reference_movement,empirical_target_reference_purity,empirical_dominant_duplicate_group_size,empirical_dominant_duplicate_flag,all_target_reference_movements_json,unique_target_reference_movement_count,target_reference_invalid_count,median_canonical_point_count,short_track_fraction_le_30_points,independent_prediction_count,independent_valid_reference_count,observed_in_independent_valid_reference
0,0,0->0,617,24.858984689766316,A,G,bellevue_150th_se38th:A>G,True,6,False,bellevue_150th_se38th:A>G,1.0,10,True,"{""bellevue_150th_se38th:A>G"": 616}",1,1,289.0,0.0,616,616,True
3,1,3->1,571,23.005640612409348,C,E,bellevue_150th_se38th:C>E,False,1,False,bellevue_150th_se38th:C>E,0.926391382405745,1,False,"{""bellevue_150th_se38th:A>G"": 6, ""bellevue_150th_se38th:A>H"": 30, ""bellevue_150th_se38th:C>E"": 516, ""bellevue_150th_se38th:C>H"": 5}",4,14,188.0,0.0,1175,1151,True
2,0,2->0,308,12.409347300564061,A,G,bellevue_150th_se38th:A>G,True,6,False,bellevue_150th_se38th:A>G,1.0,10,True,"{""bellevue_150th_se38th:A>G"": 308}",1,0,292.5,0.0,254,254,True
6,1,6->1,173,6.970185334407736,A,E,bellevue_150th_se38th:A>E,True,4,False,bellevue_150th_se38th:A>H,0.9938650306748467,2,True,"{""bellevue_150th_se38th:A>G"": 1, ""bellevue_150th_se38th:A>H"": 162}",2,10,281.0,0.0,168,164,True
1,0,1->0,123,4.955680902497985,D,G,bellevue_150th_se38th:D>G,True,2,False,bellevue_150th_se38th:D>G,1.0,1,False,"{""bellevue_150th_se38th:D>G"": 115}",1,8,308.0,0.0,92,87,True
0,2,0->2,119,4.794520547945205,A,G,bellevue_150th_se38th:A>G,True,6,False,bellevue_150th_se38th:A>G,1.0,10,True,"{""bellevue_150th_se38th:A>G"": 119}",1,0,208.0,0.0,258,258,True
4,1,4->1,91,3.6663980660757454,B,E,bellevue_150th_se38th:B>E,False,1,False,bellevue_150th_se38th:B>E,0.4835164835164835,2,True,"{""bellevue_150th_se38th:A>G"": 9, ""bellevue_150th_se38th:B>E"": 44, ""bellevue_150th_se38th:B>H"": 38}",3,0,358.0,0.0,240,239,True
5,0,5->0,90,3.62610797743755,A,G,bellevue_150th_se38th:A>G,True,6,False,bellevue_150th_se38th:A>G,0.9,10,True,"{""bellevue_150th_se38th:A>G"": 27, ""bellevue_150th_se38th:B>G"": 3}",2,60,487.0,0.0,40,13,True
5,1,5->1,75,3.0217566478646254,A,E,bellevue_150th_se38th:A>E,True,4,False,bellevue_150th_se38th:B>E,0.3333333333333333,2,True,"{""bellevue_150th_se38th:A>G"": 5, ""bellevue_150th_se38th:A>H"": 1, ""bellevue_150th_se38th:B>E"": 6, ""bellevue_150th_se38th:B>H"": 6}",4,57,432.0,0.0,201,80,True
1,2,1->2,65,2.6188557614826755,D,G,bellevue_150th_se38th:D>G,True,2,False,bellevue_150th_se38th:D>F,0.9428571428571428,1,False,"{""bellevue_150th_se38th:D>F"": 33, ""bellevue_150th_se38th:D>G"": 2}",2,30,217.0,0.0,145,75,True
2,1,2->1,60,2.4174053182917,A,E,bellevue_150th_se38th:A>E,True,4,False,bellevue_150th_se38th:A>G,1.0,10,True,"{""bellevue_150th_se38th:A>G"": 59}",1,1,193.5,0.0,260,257,True
1,1,1->1,54,2.17566478646253,D,E,bellevue_150th_se38th:D>E,False,1,False,bellevue_150th_se38th:A>H,0.7735849056603774,2,True,"{""bellevue_150th_se38th:A>H"": 41, ""bellevue_150th_se38th:D>F"": 1, ""bellevue_150th_se38th:D>G"": 11}",3,1,227.0,0.0,42,40,True
0,1,0->1,42,1.6921837228041903,A,E,bellevue_150th_se38th:A>E,True,4,False,bellevue_150th_se38th:A>G,0.8918918918918919,10,True,"{""bellevue_150th_se38th:A>G"": 33, ""bellevue_150th_se38th:A>H"": 4}",2,5,185.5,0.0,135,125,True
4,0,4->0,29,1.1684125705076551,B,G,bellevue_150th_se38th:B>G,False,1,False,bellevue_150th_se38th:A>G,1.0,10,True,"{""bellevue_150th_se38th:A>G"": 29}",1,0,273.0,0.0,19,19,True
3,2,3->2,17,0.684931506849315,C,G,bellevue_150th_se38th:C>G,True,2,False,bellevue_150th_se38th:C>F,1.0,1,False,"{""bellevue_150th_se38th:C>F"": 4}",1,13,384.0,0.0,34,12,True
3,0,3->0,16,0.6446414182111201,C,G,bellevue_150th_se38th:C>G,True,2,False,bellevue_150th_se38th:A>G,1.0,10,True,"{""bellevue_150th_se38th:A>G"": 16}",1,0,248.0,0.0,13,13,True
5,2,5->2,15,0.604351329572925,A,G,bellevue_150th_se38th:A>G,True,6,False,bellevue_150th_se38th:A>G,1.0,10,True,"{""bellevue_150th_se38th:A>G"": 15}",1,0,205.0,0.0,12,10,True
6,0,6->0,11,0.4431909750201451,A,G,bellevue_150th_se38th:A>G,True,6,True,bellevue_150th_se38th:A>G,1.0,10,True,"{""bellevue_150th_se38th:A>G"": 11}",1,0,230.0,0.0,1,1,True
