scene,support_threshold,support_threshold_percent,minimum_required_support_count,resulting_target_count,od_coverage,supported_pair_jaccard_vs_frozen,retained_frozen_pairs,added_pairs_vs_frozen,removed_pairs_vs_frozen,is_frozen_selected_threshold,frozen_target
bellevue_116th_ne12th,0.0005,0.05,1,10,1.0,1.0,10,0,0,False,10
bellevue_116th_ne12th,0.001,0.1,1,10,1.0,1.0,10,0,0,False,10
bellevue_116th_ne12th,0.0015,0.15,2,10,1.0,1.0,10,0,0,False,10
bellevue_116th_ne12th,0.002,0.2,2,10,1.0,1.0,10,0,0,False,10
bellevue_116th_ne12th,0.0025,0.25,2,10,1.0,1.0,10,0,0,True,10
bellevue_116th_ne12th,0.003,0.3,3,10,1.0,1.0,10,0,0,False,10
bellevue_116th_ne12th,0.004,0.4,3,10,1.0,1.0,10,0,0,False,10
bellevue_116th_ne12th,0.005,0.5,4,10,1.0,1.0,10,0,0,False,10
bellevue_116th_ne12th,0.0075,0.75,6,9,0.9930843706777317,0.9,9,0,1,False,10
bellevue_116th_ne12th,0.01,1.0,8,8,0.9847856154910097,0.8,8,0,2,False,10
bellevue_150th_newport,0.0005,0.05,2,12,1.0,1.0,12,0,0,False,12
bellevue_150th_newport,0.001,0.1,3,12,1.0,1.0,12,0,0,True,12
bellevue_150th_newport,0.0015,0.15,4,12,1.0,1.0,12,0,0,False,12
bellevue_150th_newport,0.002,0.2,5,12,1.0,1.0,12,0,0,False,12
bellevue_150th_newport,0.0025,0.25,7,12,1.0,1.0,12,0,0,False,12
bellevue_150th_newport,0.003,0.3,8,12,1.0,1.0,12,0,0,False,12
bellevue_150th_newport,0.004,0.4,10,12,1.0,1.0,12,0,0,False,12
bellevue_150th_newport,0.005,0.5,13,10,0.9909203466776723,0.8333333333333334,10,0,2,False,12
bellevue_150th_newport,0.0075,0.75,19,7,0.9698720594304581,0.5833333333333334,7,0,5,False,12
bellevue_150th_newport,0.01,1.0,25,7,0.9698720594304581,0.5833333333333334,7,0,5,False,12
bellevue_150th_eastgate,0.0005,0.05,5,12,1.0,0.75,9,3,0,False,9
bellevue_150th_eastgate,0.001,0.1,9,11,0.999197247706422,0.8181818181818182,9,2,0,False,9
bellevue_150th_eastgate,0.0015,0.15,14,11,0.999197247706422,0.8181818181818182,9,2,0,False,9
bellevue_150th_eastgate,0.002,0.2,18,10,0.9974770642201835,0.9,9,1,0,False,9
bellevue_150th_eastgate,0.0025,0.25,22,10,0.9974770642201835,0.9,9,1,0,False,9
bellevue_150th_eastgate,0.003,0.3,27,10,0.9974770642201835,0.9,9,1,0,False,9
bellevue_150th_eastgate,0.004,0.4,35,9,0.9942660550458715,1.0,9,0,0,False,9
bellevue_150th_eastgate,0.005,0.5,44,9,0.9942660550458715,1.0,9,0,0,True,9
bellevue_150th_eastgate,0.0075,0.75,66,9,0.9942660550458715,1.0,9,0,0,False,9
bellevue_150th_eastgate,0.01,1.0,88,9,0.9942660550458715,1.0,9,0,0,False,9
bellevue_150th_se38th,0.0005,0.05,2,19,0.999597099113618,0.9473684210526315,18,1,0,False,18
bellevue_150th_se38th,0.001,0.1,3,19,0.999597099113618,0.9473684210526315,18,1,0,False,18
bellevue_150th_se38th,0.0015,0.15,4,19,0.999597099113618,0.9473684210526315,18,1,0,False,18
bellevue_150th_se38th,0.002,0.2,5,19,0.999597099113618,0.9473684210526315,18,1,0,False,18
bellevue_150th_se38th,0.0025,0.25,7,18,0.9975825946817083,1.0,18,0,0,True,18
bellevue_150th_se38th,0.003,0.3,8,18,0.9975825946817083,1.0,18,0,0,False,18
bellevue_150th_se38th,0.004,0.4,10,18,0.9975825946817083,1.0,18,0,0,False,18
bellevue_150th_se38th,0.005,0.5,13,17,0.9931506849315068,0.9444444444444444,17,0,1,False,18
bellevue_150th_se38th,0.0075,0.75,19,14,0.9738114423851733,0.7777777777777778,14,0,4,False,18
bellevue_150th_se38th,0.01,1.0,25,14,0.9738114423851733,0.7777777777777778,14,0,4,False,18
bellevue_ne8th,0.0005,0.05,3,10,0.9998206599713056,0.9,9,1,0,False,9
bellevue_ne8th,0.001,0.1,6,10,0.9998206599713056,0.9,9,1,0,False,9
bellevue_ne8th,0.0015,0.15,9,10,0.9998206599713056,0.9,9,1,0,False,9
bellevue_ne8th,0.002,0.2,12,10,0.9998206599713056,0.9,9,1,0,False,9
bellevue_ne8th,0.0025,0.25,14,9,0.9974892395982783,1.0,9,0,0,False,9
bellevue_ne8th,0.003,0.3,17,9,0.9974892395982783,1.0,9,0,0,False,9
bellevue_ne8th,0.004,0.4,23,9,0.9974892395982783,1.0,9,0,0,False,9
bellevue_ne8th,0.005,0.5,28,9,0.9974892395982783,1.0,9,0,0,True,9
bellevue_ne8th,0.0075,0.75,42,9,0.9974892395982783,1.0,9,0,0,False,9
bellevue_ne8th,0.01,1.0,56,9,0.9974892395982783,1.0,9,0,0,False,9
