release,scene,source_file,method,clustered_tracks,outlier_tracks,outlier_ratio,number_of_clusters,cluster_size_mean,cluster_size_median,small_cluster_ratio,run_idx,source,feature_set,feature_columns_json,normalization,transform,params_json,fit_time_s,n_tracks,max_eps,min_samples,xi,n_total,n_clusters,n_outliers,pct_outliers,target_clusters,cluster_count_error,n_clustered,largest_cluster_ratio,smallest_cluster_size,median_cluster_size,mean_cluster_size,silhouette_clustered_only,davies_bouldin_clustered_only,calinski_harabasz_clustered_only,dbcv_clustered_only,inertia,n_clustered_points,eval_sampled,eval_n_points,error,reachability_mean,reachability_median,reachability_min,reachability_max,quick_score,quick_search_enabled,quick_trials,best_params_json
new_yolo11x_bytetrack,bellevue_150th_eastgate,06_homography_map_correction/data/processed/bellevue_150th_eastgate/experiments/eastgate_edge_touch_trim_v1/topview/audit/normalization_isotropic/methods_summary.csv,hdbscan,32958.0,2306.0,0.06539246823956443,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new_yolo11x_bytetrack,bellevue_150th_eastgate,06_homography_map_correction/data/processed/bellevue_150th_eastgate/experiments/eastgate_edge_touch_trim_v1/topview/audit/normalization_isotropic/methods_summary.csv,kmeans,35264.0,0.0,0.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new_yolo11x_bytetrack,bellevue_150th_eastgate,06_homography_map_correction/data/processed/bellevue_150th_eastgate/experiments/eastgate_edge_touch_trim_v1/topview/audit/normalization_isotropic/methods_summary.csv,optics,7395.0,27869.0,0.7902960526315789,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new_yolo11x_bytetrack,bellevue_150th_eastgate,06_homography_map_correction/data/processed/bellevue_150th_eastgate/experiments/eastgate_edge_touch_trim_v1/topview/audit/normalization_none/methods_summary.csv,hdbscan,32958.0,2306.0,0.06539246823956443,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new_yolo11x_bytetrack,bellevue_150th_eastgate,06_homography_map_correction/data/processed/bellevue_150th_eastgate/experiments/eastgate_edge_touch_trim_v1/topview/audit/normalization_none/methods_summary.csv,kmeans,35264.0,0.0,0.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new_yolo11x_bytetrack,bellevue_150th_eastgate,06_homography_map_correction/data/processed/bellevue_150th_eastgate/experiments/eastgate_edge_touch_trim_v1/topview/audit/normalization_none/methods_summary.csv,optics,7395.0,27869.0,0.7902960526315789,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new_yolo11x_bytetrack,bellevue_150th_eastgate,06_homography_map_correction/data/processed/bellevue_150th_eastgate/experiments/eastgate_edge_touch_trim_v1/topview/audit/normalization_standard/methods_summary.csv,hdbscan,33516.0,1748.0,0.04956896551724138,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new_yolo11x_bytetrack,bellevue_150th_eastgate,06_homography_map_correction/data/processed/bellevue_150th_eastgate/experiments/eastgate_edge_touch_trim_v1/topview/audit/normalization_standard/methods_summary.csv,kmeans,35264.0,0.0,0.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new_yolo11x_bytetrack,bellevue_150th_eastgate,06_homography_map_correction/data/processed/bellevue_150th_eastgate/experiments/eastgate_edge_touch_trim_v1/topview/audit/normalization_standard/methods_summary.csv,optics,6401.0,28863.0,0.818483439201452,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new_yolo11x_bytetrack,bellevue_150th_eastgate,06_homography_map_correction/data/processed/bellevue_150th_eastgate/experiments/eastgate_topview_homography_v1/audit/normalization_isotropic/methods_summary.csv,hdbscan,16806.0,521.0,0.030068678940382062,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new_yolo11x_bytetrack,bellevue_150th_eastgate,06_homography_map_correction/data/processed/bellevue_150th_eastgate/experiments/eastgate_topview_homography_v1/audit/normalization_isotropic/methods_summary.csv,kmeans,17327.0,0.0,0.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new_yolo11x_bytetrack,bellevue_150th_eastgate,06_homography_map_correction/data/processed/bellevue_150th_eastgate/experiments/eastgate_topview_homography_v1/audit/normalization_isotropic/methods_summary.csv,optics,12775.0,4552.0,0.2627113753102095,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new_yolo11x_bytetrack,bellevue_150th_eastgate,06_homography_map_correction/data/processed/bellevue_150th_eastgate/experiments/eastgate_topview_homography_v1/audit/normalization_isotropic/stats_optics.json,optics,,,,,,,,165.0,E:\Education\Doktori_iskola\research\FinalPhase\PathFindRNET_2.0\data\processed\bellevue_150th_eastgate\experiments\eastgate_topview_homography_v1\feature_layers\features_core_raw.parquet,coords4_start_end,"[""start_x"", ""start_y"", ""end_x"", ""end_y""]",isotropic,isotropic_coordinate_normalization,"{""max_eps"": 0.00732104, ""min_samples"": 20, ""xi"": 0.07}",17.585973501205444,17327.0,0.00732104,20.0,0.07,17327.0,12.0,4552.0,26.27113753102095,12.0,0.0,12775.0,0.6781996086105675,22.0,95.0,1064.5833333333333,0.5543383065634556,0.32073539281869695,24585.180051666914,-0.9523481941866664,,12775.0,True,8000.0,,,,,,,,,
new_yolo11x_bytetrack,bellevue_150th_eastgate,06_homography_map_correction/data/processed/bellevue_150th_eastgate/experiments/eastgate_topview_homography_v1/audit/normalization_none/methods_summary.csv,hdbscan,16806.0,521.0,0.030068678940382062,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new_yolo11x_bytetrack,bellevue_150th_eastgate,06_homography_map_correction/data/processed/bellevue_150th_eastgate/experiments/eastgate_topview_homography_v1/audit/normalization_none/methods_summary.csv,kmeans,17327.0,0.0,0.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new_yolo11x_bytetrack,bellevue_150th_eastgate,06_homography_map_correction/data/processed/bellevue_150th_eastgate/experiments/eastgate_topview_homography_v1/audit/normalization_none/methods_summary.csv,optics,12775.0,4552.0,0.2627113753102095,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new_yolo11x_bytetrack,bellevue_150th_eastgate,06_homography_map_correction/data/processed/bellevue_150th_eastgate/experiments/eastgate_topview_homography_v1/audit/normalization_none/stats_optics.json,optics,,,,,,,,41.0,E:\Education\Doktori_iskola\research\FinalPhase\PathFindRNET_2.0\data\processed\bellevue_150th_eastgate\experiments\eastgate_topview_homography_v1\feature_layers\features_core_raw.parquet,coords4_start_end,"[""start_x"", ""start_y"", ""end_x"", ""end_y""]",none,none,"{""max_eps"": 8.25675727, ""min_samples"": 20, ""xi"": 0.07}",17.883323907852173,17327.0,8.25675727,20.0,0.07,17327.0,12.0,4552.0,26.27113753102095,12.0,0.0,12775.0,0.6781996086105675,22.0,95.0,1064.5833333333333,0.5543383065634536,0.32073539281824476,24585.180051666925,-0.9523481935091759,,12775.0,True,8000.0,,,,,,,,,
new_yolo11x_bytetrack,bellevue_150th_eastgate,06_homography_map_correction/data/processed/bellevue_150th_eastgate/experiments/eastgate_topview_homography_v1/audit/normalization_standard/methods_summary.csv,hdbscan,16473.0,854.0,0.0492872395683038,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new_yolo11x_bytetrack,bellevue_150th_eastgate,06_homography_map_correction/data/processed/bellevue_150th_eastgate/experiments/eastgate_topview_homography_v1/audit/normalization_standard/methods_summary.csv,kmeans,17327.0,0.0,0.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new_yolo11x_bytetrack,bellevue_150th_eastgate,06_homography_map_correction/data/processed/bellevue_150th_eastgate/experiments/eastgate_topview_homography_v1/audit/normalization_standard/methods_summary.csv,optics,14155.0,3172.0,0.1830668898251284,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new_yolo11x_bytetrack,bellevue_150th_eastgate,06_homography_map_correction/data/processed/bellevue_150th_eastgate/experiments/eastgate_topview_homography_v1/audit/normalization_standard/stats_optics.json,optics,,,,,,,,103.0,E:\Education\Doktori_iskola\research\FinalPhase\PathFindRNET_2.0\data\processed\bellevue_150th_eastgate\experiments\eastgate_topview_homography_v1\feature_layers\features_core_raw.parquet,coords4_start_end,"[""start_x"", ""start_y"", ""end_x"", ""end_y""]",standard,standardization,"{""max_eps"": 0.05883452, ""min_samples"": 20, ""xi"": 0.07}",19.521814823150635,17327.0,0.05883452,20.0,0.07,17327.0,12.0,3172.0,18.306688982512842,12.0,0.0,14155.0,0.6121511833274461,27.0,81.5,1179.5833333333333,0.5302258117720239,0.3409627500049213,26162.925512405855,-0.9509701218872938,,14155.0,True,8000.0,,,,,,,,,
new_yolo11x_bytetrack,bellevue_150th_eastgate,06_homography_map_correction/data/processed/bellevue_150th_eastgate/experiments/eastgate_topview_prewarp_displacement_v1/audit/normalization_isotropic/methods_summary.csv,hdbscan,33085.0,2260.0,0.06394115150657802,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new_yolo11x_bytetrack,bellevue_150th_eastgate,06_homography_map_correction/data/processed/bellevue_150th_eastgate/experiments/eastgate_topview_prewarp_displacement_v1/audit/normalization_isotropic/methods_summary.csv,kmeans,35345.0,0.0,0.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new_yolo11x_bytetrack,bellevue_150th_eastgate,06_homography_map_correction/data/processed/bellevue_150th_eastgate/experiments/eastgate_topview_prewarp_displacement_v1/audit/normalization_isotropic/methods_summary.csv,optics,21685.0,13660.0,0.3864761635309096,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new_yolo11x_bytetrack,bellevue_150th_eastgate,06_homography_map_correction/data/processed/bellevue_150th_eastgate/experiments/eastgate_topview_prewarp_displacement_v1/audit/normalization_none/methods_summary.csv,hdbscan,33085.0,2260.0,0.06394115150657802,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new_yolo11x_bytetrack,bellevue_150th_eastgate,06_homography_map_correction/data/processed/bellevue_150th_eastgate/experiments/eastgate_topview_prewarp_displacement_v1/audit/normalization_none/methods_summary.csv,kmeans,35345.0,0.0,0.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new_yolo11x_bytetrack,bellevue_150th_eastgate,06_homography_map_correction/data/processed/bellevue_150th_eastgate/experiments/eastgate_topview_prewarp_displacement_v1/audit/normalization_none/methods_summary.csv,optics,21685.0,13660.0,0.3864761635309096,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new_yolo11x_bytetrack,bellevue_150th_eastgate,06_homography_map_correction/data/processed/bellevue_150th_eastgate/experiments/eastgate_topview_prewarp_displacement_v1/audit/normalization_standard/methods_summary.csv,hdbscan,34250.0,1095.0,0.03098033668128448,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new_yolo11x_bytetrack,bellevue_150th_eastgate,06_homography_map_correction/data/processed/bellevue_150th_eastgate/experiments/eastgate_topview_prewarp_displacement_v1/audit/normalization_standard/methods_summary.csv,kmeans,35345.0,0.0,0.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new_yolo11x_bytetrack,bellevue_150th_eastgate,06_homography_map_correction/data/processed/bellevue_150th_eastgate/experiments/eastgate_topview_prewarp_displacement_v1/audit/normalization_standard/methods_summary.csv,optics,9689.0,25656.0,0.7258735323242326,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new_yolo11x_bytetrack,bellevue_150th_newport,06_homography_map_correction/data/processed/bellevue_150th_newport/experiments/newport_topview_prewarp_displacement_v1/audit/normalization_isotropic/methods_summary.csv,hdbscan,16119.0,533.0,0.03200816718712467,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
