release,scene,detection_files,trajectory_files,detection_source_files,trajectory_source_files,source_files,total_detections,total_tracks,total_points,detections_per_source,tracks_per_source,average_confidence,median_confidence,confidence_p10,confidence_p25,confidence_p75,confidence_p90,mean_track_length_frames,median_track_length_frames,track_length_p25,track_length_p75,track_length_p90,track_length_p95,short_track_ratio,mean_detections_per_track,median_detections_per_track,mean_continuity_ratio,median_continuity_ratio,tracks_continuity_ge_0_90_ratio,missing_frame_gaps_per_track,mean_gap_length,max_gap_length,interpolation_demand_proxy,mean_class_consistency,median_class_consistency,trajectory_roughness,position_jump_threshold,position_jump_proxy_ratio,clustered_tracks,outlier_tracks,outlier_ratio,reachability_mean,reachability_median,reachability_min,reachability_max,number_of_clusters,cluster_size_mean,cluster_size_median,small_cluster_ratio,homography_control_points,reprojection_error_mean,reprojection_error_median,reprojection_error_rmse,homography_matrix_available
new_yolo11x_bytetrack,bellevue_116th_ne12th,21,1,21,1,21,9857165,14027,3608361,469388.8095238095,14027.0,0.4548206024309955,0.33726823329925537,0.18408537060022356,0.2404354214668274,0.48433108627796173,0.7410021424293518,257.2439580808441,89.0,32.0,246.0,703.0,1166.3999999999978,0.20945319740500462,257.2439580808441,89.0,1.0,1.0,1.0,,,,0.029635615726918675,0.9609812198719208,1.0,87221.74019095277,11.390315808260791,0.010000183622334485,,,,,,,,,,,,,,,,False
new_yolo11x_bytetrack,bellevue_150th_eastgate,24,1,24,1,24,42725664,97527,30674009,1780236.0,97527.0,0.5003875285163805,0.5121235772967339,0.2118005953729153,0.32123299688100815,0.7053782194852829,0.8765715867280961,314.5181231863997,124.0,38.0,267.0,709.4000000000087,1534.0,0.16758436125380663,314.5181231863997,124.0,1.0,1.0,1.0,,,,0.0198404779759959,0.9556805416025527,1.0,86265.66865117285,10.114853325598157,0.010000005886877371,35345.0,28863.0,0.04956896551724138,,,,,12.0,,,,13.0,7.667132103205225,8.085381636953052,9.016151740073132,True
new_yolo11x_bytetrack,bellevue_150th_newport,24,1,24,1,24,32501895,63475,18967768,1354245.625,63475.0,0.49243281749106943,0.4773677736520767,0.21303126960992813,0.3121376149356365,0.6895242780447006,0.8285501301288605,298.8226545884206,133.0,41.0,296.0,633.0,1056.0,0.15521071287908625,298.8226545884206,133.0,1.0,1.0,1.0,,,,0.020867294454466122,0.9479125839042933,1.0,81873.52305323724,9.525012962343116,0.010000003702862624,16652.0,6948.0,0.03200816718712467,,,,,12.0,,,,20.0,9.518044533581147,8.779707178665568,11.393866211164289,True
new_yolo11x_bytetrack,bellevue_150th_se38th,23,1,23,1,23,35286786,64764,18146284,1534208.0869565217,64764.0,0.5439608502195679,0.5441000759601593,0.21708927154541016,0.3156471773982048,0.7473265379667282,0.8297137379646301,280.1909085294299,101.0,39.0,279.0,708.0,1246.8499999999985,0.16013526032981285,280.1909085294299,101.0,1.0,1.0,1.0,,,,0.023686447318911133,0.9516762699816147,1.0,113410.90433193615,10.394258090896166,0.010000044244067977,20363.0,9281.0,0.0420370279428375,,,,,13.0,,,,24.0,9.964381238037726,10.36586195594371,10.805544141744047,True
new_yolo11x_bytetrack,bellevue_ne8th,23,1,23,1,23,51890099,78061,35513640,2256091.2608695654,78061.0,0.5330693928720348,0.5913668870925903,0.22888317555189136,0.3644168823957443,0.7949435710906982,0.8940478086471558,454.94728481572105,175.0,49.0,375.0,1429.0,2397.0,0.1337671820755563,454.94728481572105,175.0,1.0,1.0,1.0,,,,0.016144585573317743,0.9582094540591566,1.0,40495.3512194398,8.09910212546124,0.010000005926247177,,,,,,,,,,,,,,,,False
old_yolov7_deepsort,bellevue_116th_ne12th,0,1,0,1,1,0,10707,2068612,,10707.0,,,,,,,193.20183057812645,83.0,33.0,181.0,489.0,832.0,0.16848790510880732,193.20183057812645,83.0,1.0,1.0,1.0,,,,0.04315840766658997,,,286699.9748709718,12.989834166878905,0.010000461634526375,1964.0,1266.0,0.030804480651731157,,,,,14.0,,,,,,,,False
old_yolov7_deepsort,bellevue_150th_eastgate,0,1,0,1,1,0,72629,14919421,,72629.0,,,,,,,205.41961200071597,109.0,43.0,185.0,340.0,746.0,0.12687769348331934,205.41961200071597,109.0,1.0,1.0,1.0,,,,0.041132293270630275,,,242883.57203243262,12.106627862150276,0.010000005388369421,21812.0,2636.0,0.022097927746194755,,,,,16.5,,,,,,,,False
old_yolov7_deepsort,bellevue_150th_newport,0,1,0,1,1,0,44123,9000265,,44123.0,,,,,,,203.98125694082452,125.0,47.0,206.0,378.0,711.0,0.11137048704757156,203.98125694082452,125.0,1.0,1.0,1.0,,,,0.03024666495930953,,,149900.55991524836,12.282371539857605,0.010000064760027252,7873.0,1437.0,0.005652229137558746,,,,,15.0,,,,,,,,False
old_yolov7_deepsort,bellevue_150th_se38th,0,1,0,1,1,0,54222,10511999,,54222.0,,,,,,,193.86962856405148,76.0,34.0,193.0,408.0,835.9499999999971,0.17107447161668696,193.86962856405148,76.0,1.0,1.0,1.0,,,,0.04307886635072929,,,215452.45229024926,11.761209168965301,0.010000021993201805,5875.0,5285.0,0.0225531914893617,,,,,15.0,,,,,,,,False
old_yolov7_deepsort,bellevue_ne8th,0,1,0,1,1,0,74279,21318633,,74279.0,,,,,,,287.007539142961,126.0,44.0,251.0,580.0,1372.0,0.12175715882012413,287.007539142961,126.0,1.0,1.0,1.0,,,,0.029555272141511137,,,82951.50431172855,9.124985001988664,0.010000021652811848,17569.0,1296.0,0.015424896123854519,,,,,15.0,,,,,,,,False
