track_id,frame_id,timestamp,class_name,x_image,y_image,bbox_w,bbox_h,speed,inside_application_roi
1,0,0.0,car,100,520,80,42,0.0,1
1,10,0.4,car,145,500,82,43,4.8,1
1,20,0.8,car,195,475,81,42,5.2,1
1,30,1.2,car,245,450,80,41,5.5,1
1,40,1.6,car,300,420,79,41,5.7,1
1,50,2.0,car,355,390,81,42,5.9,1
2,0,0.0,car,700,300,70,35,0.0,1
2,10,0.4,car,703,298,69,36,0.2,1
3,0,0.0,truck,220,610,140,70,0.0,1
3,10,0.4,truck,250,590,142,72,3.5,1
3,20,0.8,truck,285,565,141,71,4.0,1
3,30,1.2,truck,320,540,140,70,4.2,1
4,0,0.0,car,900,200,76,38,0.0,1
4,10,0.4,car,902,201,75,39,0.1,1
4,20,0.8,car,901,201,76,38,0.1,1
4,30,1.2,car,903,200,75,38,0.1,1
4,40,1.6,car,902,202,76,39,0.1,1
5,0,0.0,car,500,800,88,44,0.0,0
5,10,0.4,car,530,780,87,44,3.5,0
5,20,0.8,car,565,760,88,45,3.8,0
5,30,1.2,car,600,740,88,44,4.0,0
6,0,0.0,car,120,650,82,42,0.0,1
6,10,0.4,car,130,645,82,42,1.0,1
6,20,0.8,car,138,642,82,43,1.1,1
6,30,1.2,car,145,640,82,42,1.0,1
